object_id,heat-days-score,timeperiod
18-300-00101,3.176470588235294,2021_01
18-300-00102,3.0,2021_01
18-300-00103,2.4,2021_01
18-300-00104,3.0,2021_01
18-300-00105,5.333333333333333,2021_01
18-300-00106,,2021_01
18-300-00107,6.5,2021_01
18-300-00108,3.0,2021_01
18-301-00109,6.0,2021_01
18-301-00110,6.0,2021_01
18-301-00111,7.333333333333333,2021_01
18-301-00112,9.0,2021_01
18-301-00113,5.0,2021_01
18-301-00114,4.25,2021_01
18-302-00115,6.75,2021_01
18-302-00116,5.5,2021_01
18-302-00117,8.333333333333334,2021_01
18-302-00118,8.333333333333334,2021_01
18-302-00119,9.666666666666666,2021_01
18-303-00120,5.5,2021_01
18-303-00121,6.428571428571429,2021_01
18-303-00122,4.0,2021_01
18-303-00123,5.0,2021_01
18-799-00124,4.5,2021_01
18-799-00125,,2021_01
18-304-00126,6.0,2021_01
18-304-00127,8.5,2021_01
18-304-00128,5.2,2021_01
18-304-00129,6.0,2021_01
18-305-00130,6.4,2021_01
18-305-00131,8.4,2021_01
18-305-00132,9.25,2021_01
18-305-00133,8.4,2021_01
18-305-00134,6.8,2021_01
18-305-00135,4.8,2021_01
18-305-00136,6.2,2021_01
18-306-00137,3.4705882352941178,2021_01
18-306-00138,1.9285714285714286,2021_01
18-306-00139,7.166666666666667,2021_01
18-306-00140,4.111111111111111,2021_01
18-307-00141,0.0,2021_01
18-307-00142,0.2,2021_01
18-307-00143,0.2,2021_01
18-307-00144,1.1428571428571428,2021_01
18-307-00145,0.125,2021_01
18-307-00146,3.857142857142857,2021_01
18-307-00147,0.75,2021_01
18-308-00148,,2021_01
18-308-00149,0.5,2021_01
18-308-00150,3.0,2021_01
18-308-00151,3.75,2021_01
18-308-00152,5.0,2021_01
18-308-00153,0.4,2021_01
18-309-00154,1.5,2021_01
18-309-00155,4.5,2021_01
18-309-00156,4.642857142857143,2021_01
18-309-00157,4.411764705882353,2021_01
18-310-00158,3.3636363636363638,2021_01
18-310-00159,4.0,2021_01
18-310-00160,2.0,2021_01
18-310-00161,2.75,2021_01
18-310-00162,3.8,2021_01
18-310-00163,2.25,2021_01
18-310-00164,0.8571428571428571,2021_01
18-311-00165,3.8333333333333335,2021_01
18-311-00166,4.833333333333333,2021_01
18-311-00167,1.6,2021_01
18-311-00168,0.75,2021_01
18-312-00169,5.2,2021_01
18-312-00170,3.0,2021_01
18-312-00171,2.125,2021_01
18-313-00172,1.1818181818181819,2021_01
18-313-00173,0.8,2021_01
18-313-00174,1.8,2021_01
18-313-00175,1.4,2021_01
18-313-00176,2.25,2021_01
18-313-00177,3.0,2021_01
18-314-00178,5.205882352941177,2021_01
18-314-00179,0.8636363636363636,2021_01
18-315-00180,6.304347826086956,2021_01
18-315-00181,2.7333333333333334,2021_01
18-315-00182,3.8333333333333335,2021_01
18-315-00183,6.923076923076923,2021_01
18-316-00184,8.4,2021_01
18-316-00185,14.545454545454545,2021_01
18-316-00186,12.0,2021_01
18-316-00187,20.53846153846154,2021_01
18-316-00188,14.11111111111111,2021_01
18-317-00189,11.5,2021_01
18-317-00190,12.333333333333334,2021_01
18-317-00191,13.6,2021_01
18-317-00192,18.9,2021_01
18-317-00193,20.666666666666668,2021_01
18-318-00194,14.0,2021_01
18-318-00195,21.0,2021_01
18-318-00196,21.5,2021_01
18-318-00197,20.4,2021_01
18-319-00198,2.5,2021_01
18-319-00199,3.6666666666666665,2021_01
18-319-00200,4.0,2021_01
18-319-00201,2.5,2021_01
18-319-00202,5.0,2021_01
18-320-00203,3.0,2021_01
18-320-00204,,2021_01
18-320-00205,1.6,2021_01
18-320-00206,1.0,2021_01
18-320-00207,2.909090909090909,2021_01
18-321-00208,5.5,2021_01
18-321-00209,6.0,2021_01
18-321-00210,6.666666666666667,2021_01
