object_id,heat-days-score,timeperiod
18-300-00101,17.176470588235293,2023_01
18-300-00102,16.5,2023_01
18-300-00103,17.0,2023_01
18-300-00104,16.615384615384617,2023_01
18-300-00105,17.333333333333332,2023_01
18-300-00106,,2023_01
18-300-00107,17.5,2023_01
18-300-00108,18.0,2023_01
18-301-00109,19.0,2023_01
18-301-00110,17.0,2023_01
18-301-00111,18.333333333333332,2023_01
18-301-00112,19.0,2023_01
18-301-00113,18.5,2023_01
18-301-00114,18.5,2023_01
18-302-00115,19.25,2023_01
18-302-00116,18.625,2023_01
18-302-00117,21.166666666666668,2023_01
18-302-00118,22.666666666666668,2023_01
18-302-00119,25.333333333333332,2023_01
18-303-00120,20.25,2023_01
18-303-00121,20.428571428571427,2023_01
18-303-00122,22.2,2023_01
18-303-00123,23.333333333333332,2023_01
18-799-00124,24.0,2023_01
18-799-00125,,2023_01
18-304-00126,27.5,2023_01
18-304-00127,26.5,2023_01
18-304-00128,29.0,2023_01
18-304-00129,25.0,2023_01
18-305-00130,25.8,2023_01
18-305-00131,25.4,2023_01
18-305-00132,27.75,2023_01
18-305-00133,28.6,2023_01
18-305-00134,27.2,2023_01
18-305-00135,27.2,2023_01
18-305-00136,25.4,2023_01
18-306-00137,22.823529411764707,2023_01
18-306-00138,18.214285714285715,2023_01
18-306-00139,27.166666666666668,2023_01
18-306-00140,24.444444444444443,2023_01
18-307-00141,12.2,2023_01
18-307-00142,19.4,2023_01
18-307-00143,15.6,2023_01
18-307-00144,11.285714285714286,2023_01
18-307-00145,16.75,2023_01
18-307-00146,19.428571428571427,2023_01
18-307-00147,16.75,2023_01
18-308-00148,,2023_01
18-308-00149,10.0,2023_01
18-308-00150,16.666666666666668,2023_01
18-308-00151,18.583333333333332,2023_01
18-308-00152,18.545454545454547,2023_01
18-308-00153,13.6,2023_01
18-309-00154,13.416666666666666,2023_01
18-309-00155,20.714285714285715,2023_01
18-309-00156,21.285714285714285,2023_01
18-309-00157,23.529411764705884,2023_01
18-310-00158,20.727272727272727,2023_01
18-310-00159,18.666666666666668,2023_01
18-310-00160,18.75,2023_01
18-310-00161,19.25,2023_01
18-310-00162,20.0,2023_01
18-310-00163,17.75,2023_01
18-310-00164,16.714285714285715,2023_01
18-311-00165,19.5,2023_01
18-311-00166,19.333333333333332,2023_01
18-311-00167,16.6,2023_01
18-311-00168,16.25,2023_01
18-312-00169,20.6,2023_01
18-312-00170,15.166666666666666,2023_01
18-312-00171,14.625,2023_01
18-313-00172,20.0,2023_01
18-313-00173,20.8,2023_01
18-313-00174,17.8,2023_01
18-313-00175,14.4,2023_01
18-313-00176,20.0,2023_01
18-313-00177,16.545454545454547,2023_01
18-314-00178,18.735294117647058,2023_01
18-314-00179,15.318181818181818,2023_01
18-315-00180,14.217391304347826,2023_01
18-315-00181,11.333333333333334,2023_01
18-315-00182,12.5,2023_01
18-315-00183,15.23076923076923,2023_01
18-316-00184,26.3,2023_01
18-316-00185,30.545454545454547,2023_01
18-316-00186,28.666666666666668,2023_01
18-316-00187,27.23076923076923,2023_01
18-316-00188,29.555555555555557,2023_01
18-317-00189,32.5,2023_01
18-317-00190,31.333333333333332,2023_01
18-317-00191,28.2,2023_01
18-317-00192,23.8,2023_01
18-317-00193,26.166666666666668,2023_01
18-318-00194,32.0,2023_01
18-318-00195,29.0,2023_01
18-318-00196,25.833333333333332,2023_01
18-318-00197,24.8,2023_01
18-319-00198,19.0,2023_01
18-319-00199,18.666666666666668,2023_01
18-319-00200,21.2,2023_01
18-319-00201,19.0,2023_01
18-319-00202,21.5,2023_01
18-320-00203,18.0,2023_01
