object_id,heat-days-score,timeperiod
18-300-00101,15.529411764705882,2026_01
18-300-00102,19.0,2026_01
18-300-00103,15.2,2026_01
18-300-00104,10.23076923076923,2026_01
18-300-00105,17.5,2026_01
18-300-00106,,2026_01
18-300-00107,17.5,2026_01
18-300-00108,17.0,2026_01
18-301-00109,19.0,2026_01
18-301-00110,20.0,2026_01
18-301-00111,20.0,2026_01
18-301-00112,20.25,2026_01
18-301-00113,18.0,2026_01
18-301-00114,17.25,2026_01
18-302-00115,20.0,2026_01
18-302-00116,17.875,2026_01
18-302-00117,20.166666666666668,2026_01
18-302-00118,19.333333333333332,2026_01
18-302-00119,23.666666666666668,2026_01
18-303-00120,19.0,2026_01
18-303-00121,18.285714285714285,2026_01
18-303-00122,19.0,2026_01
18-303-00123,22.0,2026_01
18-799-00124,20.0,2026_01
18-799-00125,,2026_01
18-304-00126,23.0,2026_01
18-304-00127,22.5,2026_01
18-304-00128,28.8,2026_01
18-304-00129,27.0,2026_01
18-305-00130,25.6,2026_01
18-305-00131,25.2,2026_01
18-305-00132,28.0,2026_01
18-305-00133,24.6,2026_01
18-305-00134,25.6,2026_01
18-305-00135,27.6,2026_01
18-305-00136,29.4,2026_01
18-306-00137,15.764705882352942,2026_01
18-306-00138,11.428571428571429,2026_01
18-306-00139,23.833333333333332,2026_01
18-306-00140,20.11111111111111,2026_01
18-307-00141,6.4,2026_01
18-307-00142,16.8,2026_01
18-307-00143,13.2,2026_01
18-307-00144,12.714285714285714,2026_01
18-307-00145,12.375,2026_01
18-307-00146,22.857142857142858,2026_01
18-307-00147,17.5,2026_01
18-308-00148,,2026_01
18-308-00149,6.5,2026_01
18-308-00150,20.333333333333332,2026_01
18-308-00151,18.916666666666668,2026_01
18-308-00152,15.090909090909092,2026_01
18-308-00153,17.0,2026_01
18-309-00154,5.416666666666667,2026_01
18-309-00155,16.428571428571427,2026_01
18-309-00156,17.642857142857142,2026_01
18-309-00157,20.647058823529413,2026_01
18-310-00158,21.0,2026_01
18-310-00159,18.333333333333332,2026_01
18-310-00160,14.75,2026_01
18-310-00161,17.5,2026_01
18-310-00162,24.2,2026_01
18-310-00163,21.5,2026_01
18-310-00164,18.857142857142858,2026_01
18-311-00165,27.166666666666668,2026_01
18-311-00166,28.833333333333332,2026_01
18-311-00167,23.2,2026_01
18-311-00168,23.25,2026_01
18-312-00169,31.2,2026_01
18-312-00170,28.166666666666668,2026_01
18-312-00171,26.5,2026_01
18-313-00172,21.636363636363637,2026_01
18-313-00173,19.4,2026_01
18-313-00174,25.4,2026_01
18-313-00175,27.1,2026_01
18-313-00176,32.5,2026_01
18-313-00177,32.0,2026_01
18-314-00178,28.441176470588236,2026_01
18-314-00179,19.227272727272727,2026_01
18-315-00180,15.304347826086957,2026_01
18-315-00181,4.133333333333334,2026_01
18-315-00182,8.333333333333334,2026_01
18-315-00183,15.807692307692308,2026_01
18-316-00184,30.4,2026_01
18-316-00185,36.81818181818182,2026_01
18-316-00186,32.833333333333336,2026_01
