object_id,heat-days-score,timeperiod
18-300-00101,39.64705882352941,2021_10
18-300-00102,40.5,2021_10
18-300-00103,41.4,2021_10
18-300-00104,42.46153846153846,2021_10
18-300-00105,40.833333333333336,2021_10
18-300-00106,,2021_10
18-300-00107,41.0,2021_10
18-300-00108,38.0,2021_10
18-301-00109,41.333333333333336,2021_10
18-301-00110,40.0,2021_10
18-301-00111,41.333333333333336,2021_10
18-301-00112,42.0,2021_10
18-301-00113,39.5,2021_10
18-301-00114,39.25,2021_10
18-302-00115,41.5,2021_10
18-302-00116,41.0,2021_10
18-302-00117,42.166666666666664,2021_10
18-302-00118,41.666666666666664,2021_10
18-302-00119,45.0,2021_10
18-303-00120,41.0,2021_10
18-303-00121,41.857142857142854,2021_10
18-303-00122,42.0,2021_10
18-303-00123,41.666666666666664,2021_10
18-799-00124,40.0,2021_10
18-799-00125,,2021_10
18-304-00126,41.5,2021_10
18-304-00127,44.5,2021_10
18-304-00128,41.0,2021_10
18-304-00129,41.0,2021_10
18-305-00130,44.4,2021_10
18-305-00131,43.0,2021_10
18-305-00132,43.25,2021_10
18-305-00133,43.4,2021_10
18-305-00134,42.2,2021_10
18-305-00135,39.0,2021_10
18-305-00136,41.2,2021_10
18-306-00137,46.88235294117647,2021_10
18-306-00138,43.42857142857143,2021_10
18-306-00139,43.333333333333336,2021_10
18-306-00140,44.44444444444444,2021_10
18-307-00141,37.2,2021_10
18-307-00142,41.2,2021_10
18-307-00143,42.0,2021_10
18-307-00144,44.0,2021_10
18-307-00145,41.25,2021_10
18-307-00146,43.142857142857146,2021_10
18-307-00147,45.25,2021_10
18-308-00148,,2021_10
18-308-00149,46.0,2021_10
18-308-00150,43.0,2021_10
18-308-00151,41.416666666666664,2021_10
18-308-00152,44.18181818181818,2021_10
18-308-00153,44.4,2021_10
18-309-00154,45.5,2021_10
18-309-00155,44.57142857142857,2021_10
18-309-00156,45.214285714285715,2021_10
18-309-00157,44.94117647058823,2021_10
18-310-00158,41.63636363636363,2021_10
18-310-00159,40.666666666666664,2021_10
18-310-00160,42.625,2021_10
18-310-00161,43.75,2021_10
18-310-00162,43.6,2021_10
18-310-00163,43.0,2021_10
18-310-00164,43.857142857142854,2021_10
18-311-00165,42.833333333333336,2021_10
18-311-00166,44.0,2021_10
18-311-00167,43.4,2021_10
18-311-00168,44.25,2021_10
18-312-00169,44.2,2021_10
18-312-00170,43.166666666666664,2021_10
18-312-00171,46.125,2021_10
18-313-00172,44.36363636363637,2021_10
18-313-00173,39.4,2021_10
18-313-00174,42.2,2021_10
18-313-00175,42.9,2021_10
18-313-00176,42.75,2021_10
18-313-00177,41.90909090909091,2021_10
18-314-00178,42.6764705882353,2021_10
18-314-00179,45.68181818181818,2021_10
18-315-00180,41.43478260869565,2021_10
18-315-00181,37.6,2021_10
18-315-00182,34.0,2021_10
18-315-00183,39.15384615384615,2021_10
18-316-00184,34.4,2021_10
18-316-00185,33.72727272727273,2021_10
18-316-00186,32.166666666666664,2021_10
18-316-00187,29.153846153846153,2021_10
18-316-00188,31.22222222222222,2021_10
18-317-00189,35.0,2021_10
18-317-00190,34.666666666666664,2021_10
18-317-00191,33.2,2021_10
18-317-00192,31.7,2021_10
18-317-00193,33.0,2021_10
18-318-00194,35.0,2021_10
18-318-00195,34.0,2021_10
18-318-00196,32.5,2021_10
18-318-00197,32.8,2021_10
18-319-00198,40.25,2021_10
18-319-00199,40.333333333333336,2021_10
18-319-00200,41.2,2021_10
18-319-00201,40.0,2021_10
18-319-00202,39.5,2021_10
18-320-00203,42.0,2021_10
18-320-00204,,2021_10
18-320-00205,41.9,2021_10
18-320-00206,42.5,2021_10
18-320-00207,39.36363636363637,2021_10
18-321-00208,45.5,2021_10
18-321-00209,46.0,2021_10
18-321-00210,46.333333333333336,2021_10
18-321-00211,43.57142857142857,2021_10
18-321-00212,41.142857142857146,2021_10
18-321-00213,42.0,2021_10
18-321-00214,42.5,2021_10
18-321-00215,42.666666666666664,2021_10
18-321-00216,42.57142857142857,2021_10
18-321-00217,42.0,2021_10
18-321-00218,45.0,2021_10
18-322-00219,45.0,2021_10
18-322-00220,44.375,2021_10
18-322-00221,45.0,2021_10
18-323-00222,42.0,2021_10
18-323-00223,41.333333333333336,2021_10
18-323-00224,42.333333333333336,2021_10
18-323-00225,46.0,2021_10
18-323-00226,43.0,2021_10
18-323-00227,42.0,2021_10
18-323-00228,44.0,2021_10
18-324-00260,42.75,2021_10
18-323-00230,,2021_10
18-324-00231,40.857142857142854,2021_10
18-324-00232,41.0,2021_10
18-324-00233,27.0,2021_10
18-324-00234,42.0,2021_10
18-816-00235,,2021_10
18-816-00236,,2021_10
18-325-00237,,2021_10
18-325-00238,46.5,2021_10
18-325-00239,43.833333333333336,2021_10
18-326-00240,44.0,2021_10
18-326-00241,43.75,2021_10
18-326-00242,,2021_10
18-326-00243,,2021_10
18-326-00244,45.0,2021_10
18-326-00245,43.375,2021_10
18-326-00246,43.0,2021_10
18-326-00247,45.0,2021_10
18-755-00248,42.2,2021_10
18-756-00249,46.84615384615385,2021_10
18-756-00250,44.0,2021_10
18-756-00251,38.25,2021_10
18-757-00252,40.8,2021_10
18-757-00253,42.25,2021_10
18-757-00254,40.416666666666664,2021_10
18-759-00255,43.30952380952381,2021_10
18-758-00256,41.666666666666664,2021_10
18-758-00257,37.6,2021_10
18-816-00258,,2021_10
18-816-00259,45.75,2021_10
18-816-00261,45.285714285714285,2021_10
18-324-00262,41.666666666666664,2021_10
18-324-00263,42.0,2021_10
18-303-00264,39.75,2021_10
18-799-00265,40.0,2021_10
18-303-00266,42.5,2021_10
18-322-00267,42.0,2021_10
18-326-00268,45.333333333333336,2021_10
18-325-00269,45.0,2021_10
18-325-00270,44.666666666666664,2021_10
18-304-00271,43.0,2021_10
18-321-00272,42.666666666666664,2021_10
18-321-00273,42.166666666666664,2021_10
18-301-00274,41.0,2021_10
18-312-00276,40.833333333333336,2021_10
18-312-00277,43.5,2021_10
18-755-00278,44.833333333333336,2021_10
18-755-00279,40.833333333333336,2021_10
18-760-00280,42.0,2021_10
18-760-00281,42.72727272727273,2021_10
18-314-00275,42.854166666666664,2021_10
