object_id,heat-days-score,timeperiod
18-300-00101,3.1176470588235294,2024_02
18-300-00102,2.0,2024_02
18-300-00103,2.6,2024_02
18-300-00104,2.6153846153846154,2024_02
18-300-00105,1.0,2024_02
18-300-00106,,2024_02
18-300-00107,1.0,2024_02
18-300-00108,0.0,2024_02
18-301-00109,1.0,2024_02
18-301-00110,1.0,2024_02
18-301-00111,1.0,2024_02
18-301-00112,1.0,2024_02
18-301-00113,0.5,2024_02
18-301-00114,0.5,2024_02
18-302-00115,1.0,2024_02
18-302-00116,0.625,2024_02
18-302-00117,0.16666666666666666,2024_02
18-302-00118,1.3333333333333333,2024_02
18-302-00119,1.0,2024_02
18-303-00120,0.25,2024_02
18-303-00121,0.0,2024_02
18-303-00122,0.2,2024_02
18-303-00123,0.6666666666666666,2024_02
18-799-00124,0.0,2024_02
18-799-00125,,2024_02
18-304-00126,0.0,2024_02
18-304-00127,0.0,2024_02
18-304-00128,0.0,2024_02
18-304-00129,1.0,2024_02
18-305-00130,0.0,2024_02
18-305-00131,0.6,2024_02
18-305-00132,0.5,2024_02
18-305-00133,0.0,2024_02
18-305-00134,1.2,2024_02
18-305-00135,1.0,2024_02
18-305-00136,1.2,2024_02
18-306-00137,0.6470588235294118,2024_02
18-306-00138,0.6428571428571429,2024_02
18-306-00139,0.0,2024_02
18-306-00140,0.0,2024_02
18-307-00141,0.0,2024_02
18-307-00142,0.6,2024_02
18-307-00143,0.4,2024_02
18-307-00144,1.5714285714285714,2024_02
18-307-00145,0.0,2024_02
18-307-00146,0.0,2024_02
18-307-00147,2.0,2024_02
18-308-00148,,2024_02
18-308-00149,11.0,2024_02
18-308-00150,0.0,2024_02
18-308-00151,0.16666666666666666,2024_02
18-308-00152,2.090909090909091,2024_02
18-308-00153,1.2,2024_02
18-309-00154,3.5833333333333335,2024_02
18-309-00155,1.9285714285714286,2024_02
18-309-00156,0.8571428571428571,2024_02
18-309-00157,1.8823529411764706,2024_02
18-310-00158,0.0,2024_02
18-310-00159,0.0,2024_02
18-310-00160,0.5,2024_02
18-310-00161,0.0,2024_02
18-310-00162,0.0,2024_02
18-310-00163,0.0,2024_02
18-310-00164,0.0,2024_02
18-311-00165,0.0,2024_02
18-311-00166,0.0,2024_02
18-311-00167,0.0,2024_02
18-311-00168,0.0,2024_02
18-312-00169,0.0,2024_02
18-312-00170,0.16666666666666666,2024_02
18-312-00171,0.0,2024_02
18-313-00172,0.0,2024_02
18-313-00173,0.0,2024_02
18-313-00174,0.0,2024_02
18-313-00175,0.5,2024_02
18-313-00176,0.0,2024_02
18-313-00177,1.6363636363636365,2024_02
18-314-00178,1.8823529411764706,2024_02
18-314-00179,0.6818181818181818,2024_02
18-315-00180,2.652173913043478,2024_02
18-315-00181,5.0,2024_02
18-315-00182,8.333333333333334,2024_02
18-315-00183,2.8846153846153846,2024_02
18-316-00184,1.2,2024_02
18-316-00185,0.7272727272727273,2024_02
18-316-00186,0.0,2024_02
18-316-00187,0.5384615384615384,2024_02
18-316-00188,0.0,2024_02
18-317-00189,0.0,2024_02
18-317-00190,0.3333333333333333,2024_02
18-317-00191,1.0,2024_02
18-317-00192,2.5,2024_02
18-317-00193,2.1666666666666665,2024_02
18-318-00194,0.5,2024_02
18-318-00195,1.0,2024_02
18-318-00196,2.0,2024_02
18-318-00197,2.2,2024_02
18-319-00198,0.25,2024_02
18-319-00199,0.0,2024_02
18-319-00200,0.0,2024_02
18-319-00201,0.0,2024_02
18-319-00202,0.5,2024_02
18-320-00203,1.0,2024_02
18-320-00204,,2024_02
18-320-00205,4.6,2024_02
18-320-00206,1.5,2024_02
18-320-00207,1.5454545454545454,2024_02
18-321-00208,1.0,2024_02
18-321-00209,1.0,2024_02
18-321-00210,0.6666666666666666,2024_02
18-321-00211,0.42857142857142855,2024_02
18-321-00212,0.8571428571428571,2024_02
18-321-00213,1.0,2024_02
18-321-00214,1.0,2024_02
18-321-00215,0.3333333333333333,2024_02
18-321-00216,0.8571428571428571,2024_02
18-321-00217,0.0,2024_02
18-321-00218,1.0,2024_02
18-322-00219,0.0,2024_02
18-322-00220,0.25,2024_02
18-322-00221,0.0,2024_02
18-323-00222,0.0,2024_02
18-323-00223,0.0,2024_02
18-323-00224,0.6666666666666666,2024_02
18-323-00225,1.0,2024_02
18-323-00226,1.0,2024_02
18-323-00227,1.0,2024_02
18-323-00228,1.0,2024_02
18-324-00260,4.0,2024_02
18-323-00230,,2024_02
18-324-00231,1.1428571428571428,2024_02
18-324-00232,0.0,2024_02
18-324-00233,0.6666666666666666,2024_02
18-324-00234,1.0,2024_02
18-816-00235,,2024_02
18-816-00236,,2024_02
18-325-00237,,2024_02
18-325-00238,1.0,2024_02
18-325-00239,0.3333333333333333,2024_02
18-326-00240,0.0,2024_02
18-326-00241,0.25,2024_02
18-326-00242,,2024_02
18-326-00243,,2024_02
18-326-00244,0.0,2024_02
18-326-00245,3.5,2024_02
18-326-00246,2.5,2024_02
18-326-00247,1.0,2024_02
18-755-00248,0.0,2024_02
18-756-00249,0.6923076923076923,2024_02
18-756-00250,1.2857142857142858,2024_02
18-756-00251,0.0,2024_02
18-757-00252,2.0,2024_02
18-757-00253,2.0,2024_02
18-757-00254,1.9166666666666667,2024_02
18-759-00255,2.5714285714285716,2024_02
18-758-00256,2.1666666666666665,2024_02
18-758-00257,3.0,2024_02
18-816-00258,,2024_02
18-816-00259,2.0,2024_02
18-816-00261,2.4285714285714284,2024_02
18-324-00262,1.0,2024_02
18-324-00263,0.0,2024_02
18-303-00264,0.25,2024_02
18-799-00265,0.0,2024_02
18-303-00266,0.5,2024_02
18-322-00267,0.0,2024_02
18-326-00268,1.0,2024_02
18-325-00269,0.2857142857142857,2024_02
18-325-00270,0.0,2024_02
18-304-00271,0.125,2024_02
18-321-00272,1.0,2024_02
18-321-00273,0.5,2024_02
18-301-00274,1.0,2024_02
18-312-00276,0.0,2024_02
18-312-00277,0.0,2024_02
18-755-00278,0.0,2024_02
18-755-00279,0.0,2024_02
18-760-00280,0.0,2024_02
18-760-00281,0.0,2024_02
18-314-00275,2.2083333333333335,2024_02
