object_id,heat-days-score,timeperiod
18-300-00101,7.176470588235294,2021_08
18-300-00102,8.0,2021_08
18-300-00103,7.6,2021_08
18-300-00104,7.615384615384615,2021_08
18-300-00105,6.833333333333333,2021_08
18-300-00106,,2021_08
18-300-00107,7.0,2021_08
18-300-00108,7.0,2021_08
18-301-00109,6.666666666666667,2021_08
18-301-00110,9.0,2021_08
18-301-00111,7.666666666666667,2021_08
18-301-00112,9.25,2021_08
18-301-00113,7.0,2021_08
18-301-00114,7.0,2021_08
18-302-00115,7.125,2021_08
18-302-00116,7.0,2021_08
18-302-00117,7.333333333333333,2021_08
18-302-00118,8.0,2021_08
18-302-00119,10.0,2021_08
18-303-00120,7.5,2021_08
18-303-00121,7.285714285714286,2021_08
18-303-00122,8.2,2021_08
18-303-00123,9.0,2021_08
18-799-00124,10.0,2021_08
18-799-00125,,2021_08
18-304-00126,10.5,2021_08
18-304-00127,11.5,2021_08
18-304-00128,9.2,2021_08
18-304-00129,8.0,2021_08
18-305-00130,9.8,2021_08
18-305-00131,9.6,2021_08
18-305-00132,9.75,2021_08
18-305-00133,11.0,2021_08
18-305-00134,9.4,2021_08
18-305-00135,8.8,2021_08
18-305-00136,9.0,2021_08
18-306-00137,13.411764705882353,2021_08
18-306-00138,8.714285714285714,2021_08
18-306-00139,9.166666666666666,2021_08
18-306-00140,9.333333333333334,2021_08
18-307-00141,9.0,2021_08
18-307-00142,12.2,2021_08
18-307-00143,12.4,2021_08
18-307-00144,13.0,2021_08
18-307-00145,11.875,2021_08
18-307-00146,12.0,2021_08
18-307-00147,13.0,2021_08
18-308-00148,,2021_08
18-308-00149,13.0,2021_08
18-308-00150,13.0,2021_08
18-308-00151,13.75,2021_08
18-308-00152,16.636363636363637,2021_08
18-308-00153,12.4,2021_08
18-309-00154,16.5,2021_08
18-309-00155,15.785714285714286,2021_08
18-309-00156,14.428571428571429,2021_08
18-309-00157,13.823529411764707,2021_08
18-310-00158,13.454545454545455,2021_08
18-310-00159,13.666666666666666,2021_08
18-310-00160,15.0,2021_08
18-310-00161,13.5,2021_08
18-310-00162,12.0,2021_08
18-310-00163,11.0,2021_08
18-310-00164,12.285714285714286,2021_08
18-311-00165,10.666666666666666,2021_08
18-311-00166,10.833333333333334,2021_08
18-311-00167,9.6,2021_08
18-311-00168,10.0,2021_08
18-312-00169,11.6,2021_08
18-312-00170,10.833333333333334,2021_08
18-312-00171,10.375,2021_08
18-313-00172,11.363636363636363,2021_08
18-313-00173,12.2,2021_08
18-313-00174,11.8,2021_08
18-313-00175,9.5,2021_08
18-313-00176,12.5,2021_08
18-313-00177,7.0,2021_08
18-314-00178,7.764705882352941,2021_08
18-314-00179,10.636363636363637,2021_08
18-315-00180,6.130434782608695,2021_08
18-315-00181,6.466666666666667,2021_08
18-315-00182,5.333333333333333,2021_08
18-315-00183,5.5,2021_08
18-316-00184,6.0,2021_08
18-316-00185,6.2727272727272725,2021_08
18-316-00186,5.0,2021_08
18-316-00187,5.384615384615385,2021_08
18-316-00188,4.333333333333333,2021_08
18-317-00189,7.0,2021_08
18-317-00190,7.333333333333333,2021_08
18-317-00191,7.6,2021_08
18-317-00192,6.8,2021_08
18-317-00193,6.666666666666667,2021_08
18-318-00194,7.5,2021_08
18-318-00195,7.5,2021_08
18-318-00196,6.666666666666667,2021_08
18-318-00197,5.5,2021_08
18-319-00198,6.25,2021_08
18-319-00199,5.666666666666667,2021_08
18-319-00200,7.4,2021_08
18-319-00201,7.5,2021_08
18-319-00202,7.5,2021_08
18-320-00203,7.0,2021_08
18-320-00204,,2021_08
18-320-00205,8.2,2021_08
18-320-00206,7.0,2021_08
18-320-00207,7.454545454545454,2021_08
18-321-00208,12.5,2021_08
18-321-00209,14.0,2021_08
18-321-00210,14.333333333333334,2021_08
18-321-00211,12.714285714285714,2021_08
18-321-00212,10.0,2021_08
18-321-00213,10.25,2021_08
18-321-00214,10.0,2021_08
18-321-00215,9.333333333333334,2021_08
18-321-00216,10.428571428571429,2021_08
18-321-00217,12.0,2021_08
18-321-00218,12.0,2021_08
18-322-00219,12.0,2021_08
18-322-00220,12.625,2021_08
18-322-00221,12.0,2021_08
18-323-00222,10.0,2021_08
18-323-00223,9.666666666666666,2021_08
18-323-00224,10.833333333333334,2021_08
18-323-00225,13.0,2021_08
18-323-00226,11.0,2021_08
18-323-00227,11.0,2021_08
18-323-00228,10.0,2021_08
18-324-00260,11.0,2021_08
18-323-00230,,2021_08
18-324-00231,8.0,2021_08
18-324-00232,10.0,2021_08
18-324-00233,6.333333333333333,2021_08
18-324-00234,10.0,2021_08
18-816-00235,,2021_08
18-816-00236,,2021_08
18-325-00237,,2021_08
18-325-00238,11.0,2021_08
18-325-00239,12.0,2021_08
18-326-00240,13.0,2021_08
18-326-00241,15.0,2021_08
18-326-00242,,2021_08
18-326-00243,,2021_08
18-326-00244,14.0,2021_08
18-326-00245,15.25,2021_08
18-326-00246,17.125,2021_08
18-326-00247,16.0,2021_08
18-755-00248,9.4,2021_08
18-756-00249,9.461538461538462,2021_08
18-756-00250,10.857142857142858,2021_08
18-756-00251,9.75,2021_08
18-757-00252,8.4,2021_08
18-757-00253,10.75,2021_08
18-757-00254,8.166666666666666,2021_08
18-759-00255,10.047619047619047,2021_08
18-758-00256,9.333333333333334,2021_08
18-758-00257,9.2,2021_08
18-816-00258,,2021_08
18-816-00259,12.0,2021_08
18-816-00261,11.571428571428571,2021_08
18-324-00262,10.666666666666666,2021_08
18-324-00263,9.0,2021_08
18-303-00264,7.0,2021_08
18-799-00265,9.0,2021_08
18-303-00266,9.0,2021_08
18-322-00267,12.0,2021_08
18-326-00268,13.0,2021_08
18-325-00269,11.571428571428571,2021_08
18-325-00270,13.777777777777779,2021_08
18-304-00271,9.625,2021_08
18-321-00272,11.333333333333334,2021_08
18-321-00273,11.5,2021_08
18-301-00274,7.0,2021_08
18-312-00276,11.833333333333334,2021_08
18-312-00277,12.5,2021_08
18-755-00278,11.0,2021_08
18-755-00279,8.5,2021_08
18-760-00280,11.75,2021_08
18-760-00281,12.545454545454545,2021_08
18-314-00275,9.0625,2021_08
