object_id,mean-heatday,timeperiod
18-300-00101,22.823529411764707,2023_03
18-300-00102,23.0,2023_03
18-300-00103,24.0,2023_03
18-300-00104,23.846153846153847,2023_03
18-300-00105,22.666666666666668,2023_03
18-300-00106,,2023_03
18-300-00107,23.5,2023_03
18-300-00108,24.0,2023_03
18-301-00109,24.333333333333332,2023_03
18-301-00110,23.0,2023_03
18-301-00111,23.0,2023_03
18-301-00112,23.0,2023_03
18-301-00113,24.0,2023_03
18-301-00114,22.5,2023_03
18-302-00115,22.75,2023_03
18-302-00116,22.5,2023_03
18-302-00117,22.166666666666668,2023_03
18-302-00118,21.666666666666668,2023_03
18-302-00119,24.0,2023_03
18-303-00120,23.5,2023_03
18-303-00121,23.285714285714285,2023_03
18-303-00122,24.4,2023_03
18-303-00123,24.0,2023_03
18-799-00124,24.5,2023_03
18-799-00125,,2023_03
18-304-00126,22.0,2023_03
18-304-00127,23.0,2023_03
18-304-00128,23.4,2023_03
18-304-00129,24.0,2023_03
18-305-00130,26.8,2023_03
18-305-00131,24.6,2023_03
18-305-00132,25.5,2023_03
18-305-00133,24.8,2023_03
18-305-00134,24.8,2023_03
18-305-00135,24.6,2023_03
18-305-00136,23.2,2023_03
18-306-00137,30.11764705882353,2023_03
18-306-00138,26.357142857142858,2023_03
18-306-00139,26.333333333333332,2023_03
18-306-00140,28.0,2023_03
18-307-00141,22.8,2023_03
18-307-00142,27.8,2023_03
18-307-00143,25.0,2023_03
18-307-00144,26.571428571428573,2023_03
18-307-00145,25.375,2023_03
18-307-00146,29.571428571428573,2023_03
18-307-00147,31.0,2023_03
18-308-00148,,2023_03
18-308-00149,13.0,2023_03
18-308-00150,29.166666666666668,2023_03
18-308-00151,29.833333333333332,2023_03
18-308-00152,29.90909090909091,2023_03
18-308-00153,29.0,2023_03
18-309-00154,32.0,2023_03
18-309-00155,31.785714285714285,2023_03
18-309-00156,31.571428571428573,2023_03
18-309-00157,33.8235294117647,2023_03
18-310-00158,30.272727272727273,2023_03
18-310-00159,30.166666666666668,2023_03
18-310-00160,30.75,2023_03
18-310-00161,31.25,2023_03
18-310-00162,31.8,2023_03
18-310-00163,31.0,2023_03
18-310-00164,30.714285714285715,2023_03
18-311-00165,30.666666666666668,2023_03
18-311-00166,29.0,2023_03
18-311-00167,32.2,2023_03
18-311-00168,35.75,2023_03
18-312-00169,34.4,2023_03
18-312-00170,33.333333333333336,2023_03
18-312-00171,32.75,2023_03
18-313-00172,26.818181818181817,2023_03
18-313-00173,26.0,2023_03
18-313-00174,30.4,2023_03
18-313-00175,30.2,2023_03
18-313-00176,27.5,2023_03
18-313-00177,26.363636363636363,2023_03
18-314-00178,27.058823529411764,2023_03
18-314-00179,24.954545454545453,2023_03
18-315-00180,22.0,2023_03
18-315-00181,28.266666666666666,2023_03
18-315-00182,23.5,2023_03
18-315-00183,24.153846153846153,2023_03
18-316-00184,41.0,2023_03
18-316-00185,43.36363636363637,2023_03
18-316-00186,42.333333333333336,2023_03
18-316-00187,37.53846153846154,2023_03
18-316-00188,43.44444444444444,2023_03
18-317-00189,42.5,2023_03
18-317-00190,43.0,2023_03
18-317-00191,40.2,2023_03
18-317-00192,33.9,2023_03
18-317-00193,38.333333333333336,2023_03
18-318-00194,45.0,2023_03
18-318-00195,44.0,2023_03
18-318-00196,40.666666666666664,2023_03
18-318-00197,36.2,2023_03
18-319-00198,24.25,2023_03
