object_id,heat-days-score,timeperiod
18-300-00101,10.117647058823529,2021_05
18-300-00102,9.5,2021_05
18-300-00103,10.8,2021_05
18-300-00104,11.923076923076923,2021_05
18-300-00105,10.5,2021_05
18-300-00106,,2021_05
18-300-00107,10.5,2021_05
18-300-00108,12.0,2021_05
18-301-00109,11.666666666666666,2021_05
18-301-00110,11.0,2021_05
18-301-00111,11.0,2021_05
18-301-00112,11.5,2021_05
18-301-00113,11.5,2021_05
18-301-00114,12.0,2021_05
18-302-00115,12.5,2021_05
18-302-00116,12.875,2021_05
18-302-00117,13.5,2021_05
18-302-00118,13.666666666666666,2021_05
18-302-00119,16.0,2021_05
18-303-00120,14.0,2021_05
18-303-00121,14.857142857142858,2021_05
18-303-00122,13.0,2021_05
18-303-00123,12.0,2021_05
18-799-00124,10.0,2021_05
18-799-00125,,2021_05
18-304-00126,16.5,2021_05
18-304-00127,18.0,2021_05
18-304-00128,14.8,2021_05
18-304-00129,15.0,2021_05
18-305-00130,19.2,2021_05
18-305-00131,19.4,2021_05
18-305-00132,19.0,2021_05
18-305-00133,18.4,2021_05
18-305-00134,16.8,2021_05
18-305-00135,13.8,2021_05
18-305-00136,15.6,2021_05
18-306-00137,17.0,2021_05
18-306-00138,15.714285714285714,2021_05
18-306-00139,19.833333333333332,2021_05
18-306-00140,18.0,2021_05
18-307-00141,11.4,2021_05
18-307-00142,13.8,2021_05
18-307-00143,11.6,2021_05
18-307-00144,9.571428571428571,2021_05
18-307-00145,12.0,2021_05
18-307-00146,13.428571428571429,2021_05
18-307-00147,14.0,2021_05
18-308-00148,,2021_05
18-308-00149,10.0,2021_05
18-308-00150,12.833333333333334,2021_05
18-308-00151,11.25,2021_05
18-308-00152,11.272727272727273,2021_05
18-308-00153,11.4,2021_05
18-309-00154,12.75,2021_05
18-309-00155,11.857142857142858,2021_05
18-309-00156,12.857142857142858,2021_05
18-309-00157,13.705882352941176,2021_05
18-310-00158,11.909090909090908,2021_05
18-310-00159,11.0,2021_05
18-310-00160,11.875,2021_05
18-310-00161,13.0,2021_05
18-310-00162,14.6,2021_05
18-310-00163,12.25,2021_05
18-310-00164,12.142857142857142,2021_05
18-311-00165,14.0,2021_05
18-311-00166,14.666666666666666,2021_05
18-311-00167,12.0,2021_05
18-311-00168,15.5,2021_05
18-312-00169,14.4,2021_05
18-312-00170,15.0,2021_05
18-312-00171,14.125,2021_05
18-313-00172,18.636363636363637,2021_05
18-313-00173,16.2,2021_05
18-313-00174,15.6,2021_05
18-313-00175,17.2,2021_05
18-313-00176,19.0,2021_05
18-313-00177,17.181818181818183,2021_05
18-314-00178,17.852941176470587,2021_05
