object_id,heat-days-score,timeperiod
18-300-00101,0.0,2021_02
18-300-00102,0.0,2021_02
18-300-00103,0.0,2021_02
18-300-00104,0.15384615384615385,2021_02
18-300-00105,0.0,2021_02
18-300-00106,,2021_02
18-300-00107,0.0,2021_02
18-300-00108,0.0,2021_02
18-301-00109,0.0,2021_02
18-301-00110,0.0,2021_02
18-301-00111,0.0,2021_02
18-301-00112,0.0,2021_02
18-301-00113,0.0,2021_02
18-301-00114,0.0,2021_02
18-302-00115,0.125,2021_02
18-302-00116,0.25,2021_02
18-302-00117,0.0,2021_02
18-302-00118,0.0,2021_02
18-302-00119,0.0,2021_02
18-303-00120,0.0,2021_02
18-303-00121,0.0,2021_02
18-303-00122,0.0,2021_02
18-303-00123,0.0,2021_02
18-799-00124,0.0,2021_02
18-799-00125,,2021_02
18-304-00126,0.0,2021_02
18-304-00127,0.0,2021_02
18-304-00128,0.0,2021_02
18-304-00129,0.0,2021_02
18-305-00130,1.8,2021_02
18-305-00131,0.4,2021_02
18-305-00132,0.75,2021_02
18-305-00133,0.2,2021_02
18-305-00134,0.0,2021_02
18-305-00135,0.0,2021_02
18-305-00136,0.0,2021_02
18-306-00137,1.8235294117647058,2021_02
18-306-00138,2.642857142857143,2021_02
18-306-00139,1.8333333333333333,2021_02
18-306-00140,1.8888888888888888,2021_02
18-307-00141,4.2,2021_02
18-307-00142,7.8,2021_02
18-307-00143,7.6,2021_02
18-307-00144,9.285714285714286,2021_02
18-307-00145,7.0,2021_02
18-307-00146,8.714285714285714,2021_02
18-307-00147,9.25,2021_02
18-308-00148,,2021_02
18-308-00149,4.5,2021_02
18-308-00150,9.333333333333334,2021_02
18-308-00151,10.666666666666666,2021_02
18-308-00152,10.181818181818182,2021_02
18-308-00153,8.8,2021_02
18-309-00154,6.166666666666667,2021_02
18-309-00155,7.785714285714286,2021_02
18-309-00156,8.142857142857142,2021_02
18-309-00157,7.176470588235294,2021_02
18-310-00158,9.0,2021_02
18-310-00159,9.0,2021_02
18-310-00160,8.875,2021_02
18-310-00161,8.25,2021_02
18-310-00162,9.0,2021_02
18-310-00163,8.25,2021_02
18-310-00164,7.0,2021_02
18-311-00165,8.5,2021_02
18-311-00166,7.166666666666667,2021_02
18-311-00167,6.2,2021_02
18-311-00168,6.5,2021_02
18-312-00169,6.4,2021_02
18-312-00170,5.5,2021_02
18-312-00171,6.5,2021_02
18-313-00172,4.0,2021_02
18-313-00173,5.4,2021_02
18-313-00174,6.0,2021_02
18-313-00175,4.4,2021_02
18-313-00176,4.75,2021_02
18-313-00177,2.090909090909091,2021_02
18-314-00178,1.411764705882353,2021_02
18-314-00179,4.090909090909091,2021_02
18-315-00180,0.21739130434782608,2021_02
18-315-00181,0.9333333333333333,2021_02
18-315-00182,0.5,2021_02
18-315-00183,0.07692307692307693,2021_02
18-316-00184,1.8,2021_02
18-316-00185,1.6363636363636365,2021_02
18-316-00186,1.8333333333333333,2021_02
18-316-00187,1.0,2021_02
18-316-00188,1.7777777777777777,2021_02
18-317-00189,2.0,2021_02
18-317-00190,1.6666666666666667,2021_02
18-317-00191,1.8,2021_02
18-317-00192,1.3,2021_02
18-317-00193,2.3333333333333335,2021_02
18-318-00194,1.0,2021_02
18-318-00195,3.0,2021_02
18-318-00196,2.3333333333333335,2021_02
18-318-00197,1.5,2021_02
18-319-00198,0.0,2021_02
18-319-00199,0.0,2021_02
18-319-00200,0.0,2021_02
18-319-00201,0.0,2021_02
18-319-00202,0.0,2021_02
18-320-00203,0.0,2021_02
18-320-00204,,2021_02
18-320-00205,0.2,2021_02
18-320-00206,0.0,2021_02
18-320-00207,0.0,2021_02
18-321-00208,0.0,2021_02
18-321-00209,0.0,2021_02
18-321-00210,0.0,2021_02
18-321-00211,0.0,2021_02
18-321-00212,0.0,2021_02
18-321-00213,0.0,2021_02
18-321-00214,0.0,2021_02
18-321-00215,0.0,2021_02
18-321-00216,0.0,2021_02
18-321-00217,0.0,2021_02
18-321-00218,0.0,2021_02
18-322-00219,0.0,2021_02
18-322-00220,0.0,2021_02
18-322-00221,0.0,2021_02
18-323-00222,0.0,2021_02
18-323-00223,0.0,2021_02
18-323-00224,0.0,2021_02
18-323-00225,0.0,2021_02
18-323-00226,0.0,2021_02
18-323-00227,0.0,2021_02
18-323-00228,0.0,2021_02
18-324-00260,0.0,2021_02
18-323-00230,,2021_02
18-324-00231,0.0,2021_02
18-324-00232,0.0,2021_02
18-324-00233,0.0,2021_02
18-324-00234,0.0,2021_02
18-816-00235,,2021_02
18-816-00236,,2021_02
18-325-00237,,2021_02
18-325-00238,0.0,2021_02
18-325-00239,0.0,2021_02
18-326-00240,0.0,2021_02
18-326-00241,0.0,2021_02
18-326-00242,,2021_02
18-326-00243,,2021_02
18-326-00244,0.0,2021_02
18-326-00245,0.125,2021_02
18-326-00246,0.125,2021_02
18-326-00247,2.0,2021_02
18-755-00248,7.6,2021_02
18-756-00249,3.8461538461538463,2021_02
18-756-00250,5.571428571428571,2021_02
18-756-00251,5.0,2021_02
18-757-00252,0.0,2021_02
18-757-00253,0.0,2021_02
18-757-00254,0.3333333333333333,2021_02
18-759-00255,0.2619047619047619,2021_02
18-758-00256,0.6666666666666666,2021_02
18-758-00257,1.0,2021_02
18-816-00258,,2021_02
18-816-00259,0.0,2021_02
18-816-00261,0.0,2021_02
18-324-00262,0.0,2021_02
18-324-00263,0.0,2021_02
18-303-00264,0.0,2021_02
18-799-00265,0.0,2021_02
18-303-00266,0.0,2021_02
18-322-00267,0.0,2021_02
18-326-00268,0.0,2021_02
18-325-00269,0.0,2021_02
18-325-00270,0.0,2021_02
18-304-00271,0.0,2021_02
18-321-00272,0.0,2021_02
18-321-00273,0.0,2021_02
18-301-00274,0.0,2021_02
18-312-00276,6.0,2021_02
18-312-00277,6.0,2021_02
18-755-00278,7.833333333333333,2021_02
18-755-00279,6.166666666666667,2021_02
18-760-00280,7.5,2021_02
18-760-00281,7.0,2021_02
18-314-00275,1.2916666666666667,2021_02
