object_id,heat-days-score,timeperiod
18-300-00101,23.294117647058822,2023_11
18-300-00102,20.0,2023_11
18-300-00103,21.2,2023_11
18-300-00104,24.0,2023_11
18-300-00105,20.166666666666668,2023_11
18-300-00106,,2023_11
18-300-00107,21.0,2023_11
18-300-00108,19.0,2023_11
18-301-00109,21.0,2023_11
18-301-00110,22.0,2023_11
18-301-00111,22.0,2023_11
18-301-00112,21.25,2023_11
18-301-00113,19.5,2023_11
18-301-00114,19.5,2023_11
18-302-00115,20.75,2023_11
18-302-00116,19.625,2023_11
18-302-00117,21.166666666666668,2023_11
18-302-00118,21.666666666666668,2023_11
18-302-00119,24.666666666666668,2023_11
18-303-00120,18.75,2023_11
18-303-00121,19.714285714285715,2023_11
18-303-00122,17.4,2023_11
18-303-00123,18.0,2023_11
18-799-00124,14.0,2023_11
18-799-00125,,2023_11
18-304-00126,14.0,2023_11
18-304-00127,14.0,2023_11
18-304-00128,17.8,2023_11
18-304-00129,18.0,2023_11
18-305-00130,15.2,2023_11
18-305-00131,14.8,2023_11
18-305-00132,14.25,2023_11
18-305-00133,16.0,2023_11
18-305-00134,18.0,2023_11
18-305-00135,17.6,2023_11
18-305-00136,17.8,2023_11
18-306-00137,21.705882352941178,2023_11
18-306-00138,18.714285714285715,2023_11
18-306-00139,14.833333333333334,2023_11
18-306-00140,19.444444444444443,2023_11
18-307-00141,11.8,2023_11
18-307-00142,18.0,2023_11
18-307-00143,14.8,2023_11
18-307-00144,15.857142857142858,2023_11
18-307-00145,14.375,2023_11
18-307-00146,16.571428571428573,2023_11
18-307-00147,23.75,2023_11
18-308-00148,,2023_11
18-308-00149,14.5,2023_11
18-308-00150,16.666666666666668,2023_11
18-308-00151,17.0,2023_11
18-308-00152,15.454545454545455,2023_11
18-308-00153,21.2,2023_11
18-309-00154,24.333333333333332,2023_11
18-309-00155,17.428571428571427,2023_11
18-309-00156,16.0,2023_11
18-309-00157,17.0,2023_11
18-310-00158,15.0,2023_11
18-310-00159,13.166666666666666,2023_11
18-310-00160,14.625,2023_11
18-310-00161,16.0,2023_11
18-310-00162,17.4,2023_11
18-310-00163,15.0,2023_11
18-310-00164,17.428571428571427,2023_11
18-311-00165,17.5,2023_11
18-311-00166,18.166666666666668,2023_11
18-311-00167,15.2,2023_11
18-311-00168,18.5,2023_11
18-312-00169,17.4,2023_11
18-312-00170,17.833333333333332,2023_11
18-312-00171,18.0,2023_11
18-313-00172,17.363636363636363,2023_11
18-313-00173,14.6,2023_11
18-313-00174,14.8,2023_11
18-313-00175,18.4,2023_11
18-313-00176,15.75,2023_11
18-313-00177,18.90909090909091,2023_11
18-314-00178,22.470588235294116,2023_11
18-314-00179,21.363636363636363,2023_11
18-315-00180,20.17391304347826,2023_11
18-315-00181,22.066666666666666,2023_11
18-315-00182,22.0,2023_11
18-315-00183,19.076923076923077,2023_11
18-316-00184,22.0,2023_11
18-316-00185,22.09090909090909,2023_11
18-316-00186,20.0,2023_11
18-316-00187,16.846153846153847,2023_11
18-316-00188,20.88888888888889,2023_11
18-317-00189,21.5,2023_11
18-317-00190,22.333333333333332,2023_11
18-317-00191,19.6,2023_11
18-317-00192,17.9,2023_11
18-317-00193,19.166666666666668,2023_11
18-318-00194,25.0,2023_11
18-318-00195,21.0,2023_11
18-318-00196,19.166666666666668,2023_11
18-318-00197,18.0,2023_11
18-319-00198,19.25,2023_11
18-319-00199,18.666666666666668,2023_11
18-319-00200,19.8,2023_11
18-319-00201,19.0,2023_11
18-319-00202,21.5,2023_11
18-320-00203,21.0,2023_11
18-320-00204,,2023_11
18-320-00205,24.6,2023_11
18-320-00206,21.5,2023_11
18-320-00207,22.90909090909091,2023_11
18-321-00208,17.0,2023_11
18-321-00209,17.0,2023_11
18-321-00210,18.666666666666668,2023_11
