object_id,heat-days-score,timeperiod
18-300-00101,62.705882352941174,2024_09
18-300-00102,57.5,2024_09
18-300-00103,62.8,2024_09
18-300-00104,63.46153846153846,2024_09
18-300-00105,53.166666666666664,2024_09
18-300-00106,,2024_09
18-300-00107,54.0,2024_09
18-300-00108,51.0,2024_09
18-301-00109,51.333333333333336,2024_09
18-301-00110,54.0,2024_09
18-301-00111,54.333333333333336,2024_09
18-301-00112,51.5,2024_09
18-301-00113,50.5,2024_09
18-301-00114,50.5,2024_09
18-302-00115,51.5,2024_09
18-302-00116,53.125,2024_09
18-302-00117,54.0,2024_09
18-302-00118,54.0,2024_09
18-302-00119,57.0,2024_09
18-303-00120,55.0,2024_09
18-303-00121,54.285714285714285,2024_09
18-303-00122,57.2,2024_09
18-303-00123,59.0,2024_09
18-799-00124,57.0,2024_09
18-799-00125,,2024_09
18-304-00126,53.0,2024_09
18-304-00127,54.5,2024_09
18-304-00128,53.4,2024_09
18-304-00129,54.0,2024_09
18-305-00130,56.8,2024_09
18-305-00131,52.0,2024_09
18-305-00132,53.75,2024_09
18-305-00133,57.2,2024_09
18-305-00134,53.4,2024_09
18-305-00135,51.8,2024_09
18-305-00136,51.4,2024_09
18-306-00137,65.0,2024_09
18-306-00138,62.57142857142857,2024_09
18-306-00139,58.5,2024_09
18-306-00140,60.888888888888886,2024_09
18-307-00141,57.4,2024_09
18-307-00142,64.2,2024_09
18-307-00143,59.8,2024_09
18-307-00144,61.57142857142857,2024_09
18-307-00145,62.25,2024_09
18-307-00146,61.42857142857143,2024_09
18-307-00147,67.0,2024_09
18-308-00148,,2024_09
18-308-00149,62.0,2024_09
18-308-00150,66.83333333333333,2024_09
18-308-00151,64.0,2024_09
18-308-00152,62.54545454545455,2024_09
18-308-00153,68.0,2024_09
18-309-00154,67.5,2024_09
18-309-00155,57.714285714285715,2024_09
18-309-00156,58.92857142857143,2024_09
18-309-00157,57.705882352941174,2024_09
18-310-00158,60.54545454545455,2024_09
18-310-00159,59.5,2024_09
18-310-00160,60.625,2024_09
18-310-00161,58.75,2024_09
18-310-00162,55.0,2024_09
18-310-00163,58.25,2024_09
18-310-00164,56.142857142857146,2024_09
18-311-00165,55.333333333333336,2024_09
18-311-00166,55.0,2024_09
18-311-00167,56.2,2024_09
18-311-00168,60.25,2024_09
18-312-00169,58.2,2024_09
18-312-00170,60.0,2024_09
18-312-00171,60.25,2024_09
18-313-00172,61.0,2024_09
18-313-00173,60.4,2024_09
18-313-00174,59.6,2024_09
18-313-00175,59.9,2024_09
18-313-00176,59.75,2024_09
18-313-00177,57.81818181818182,2024_09
18-314-00178,59.294117647058826,2024_09
18-314-00179,61.13636363636363,2024_09
18-315-00180,56.69565217391305,2024_09
18-315-00181,51.2,2024_09
18-315-00182,48.5,2024_09
18-315-00183,52.57692307692308,2024_09
18-316-00184,50.7,2024_09
18-316-00185,48.72727272727273,2024_09
18-316-00186,49.833333333333336,2024_09
18-316-00187,44.07692307692308,2024_09
18-316-00188,49.333333333333336,2024_09
18-317-00189,51.5,2024_09
18-317-00190,51.0,2024_09
18-317-00191,46.0,2024_09
18-317-00192,40.2,2024_09
18-317-00193,42.333333333333336,2024_09
18-318-00194,52.0,2024_09
18-318-00195,46.0,2024_09
18-318-00196,42.666666666666664,2024_09
18-318-00197,41.3,2024_09
18-319-00198,57.0,2024_09
18-319-00199,53.0,2024_09
18-319-00200,55.8,2024_09
18-319-00201,59.5,2024_09
18-319-00202,60.5,2024_09
18-320-00203,62.0,2024_09
18-320-00204,,2024_09
18-320-00205,64.7,2024_09
18-320-00206,65.0,2024_09
18-320-00207,62.63636363636363,2024_09
18-321-00208,58.0,2024_09
18-321-00209,56.0,2024_09
18-321-00210,55.333333333333336,2024_09
18-321-00211,52.714285714285715,2024_09
18-321-00212,53.142857142857146,2024_09
18-321-00213,54.75,2024_09
18-321-00214,54.0,2024_09
18-321-00215,53.333333333333336,2024_09
18-321-00216,55.0,2024_09
18-321-00217,51.0,2024_09
18-321-00218,59.0,2024_09
18-322-00219,51.0,2024_09
18-322-00220,54.125,2024_09
18-322-00221,54.0,2024_09
18-323-00222,56.0,2024_09
18-323-00223,57.0,2024_09
18-323-00224,55.5,2024_09
18-323-00225,55.0,2024_09
18-323-00226,58.0,2024_09
18-323-00227,56.0,2024_09
18-323-00228,61.0,2024_09
18-324-00260,59.75,2024_09
18-323-00230,,2024_09
18-324-00231,62.0,2024_09
18-324-00232,59.0,2024_09
18-324-00233,58.666666666666664,2024_09
18-324-00234,57.0,2024_09
18-816-00235,,2024_09
18-816-00236,,2024_09
18-325-00237,,2024_09
18-325-00238,59.0,2024_09
18-325-00239,52.833333333333336,2024_09
18-326-00240,59.0,2024_09
18-326-00241,64.0,2024_09
18-326-00242,,2024_09
18-326-00243,,2024_09
18-326-00244,61.0,2024_09
18-326-00245,66.375,2024_09
18-326-00246,68.125,2024_09
18-326-00247,66.33333333333333,2024_09
18-755-00248,54.6,2024_09
18-756-00249,64.38461538461539,2024_09
