Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Tender Stage,Department,is_heat_tender,is_strong_heat_tender,positive_keywords_dict,negative_keywords_dict,heat_signal,Season,Scheme,Response Type,Heat Response - Themes,Heat Response - Subhead
2021_WPTBC_21299_1,SCDC/Const/CH/WPT/1/20-21/43,"Construction of Community Hall at Gurmow Bathou Thansali,Dist.Baksa","Construction of Community Hall at Gurmow Bathou Thansali,Dist.Baksa",Works,Limited,Item Rate,Civil Works,No,No,NA ,18-Feb-2021 09:00 AM,NA ,180.0,No ,No,Offline,24-Feb-2021 04:00 PM,Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,Baksa,781006.0,2.0,"1,83,97,650",CHAKRADHAR BARO,18397650.0,Accepted-AOC,19-Oct-2022,AOC,Welfare of Plain Tribes and Backward Classes||Directorate of Welfare of Scheduled Caste||Assam State Development Corporation for SC,True,False,"{'heatwave': 0, 'heat wave': 0, 'heat-wave': 0, 'heat stress': 0, 'heat stroke': 0, 'heat action plan': 0, 'heat resilience': 0, 'heat resilient': 0, 'extreme heat': 0, 'high temperature': 0, 'rising temperature': 0, 'heat resistant': 0, 'climate resilient': 0, 'cooling centre': 0, 'cooling center': 0, 'emergency response': 0, 'first aid': 0, 'ambulance': 0, 'ors': 0, 'oral rehydration solution': 0, 'heat stroke treatment': 0, 'sunstroke': 0, 'sun stroke': 0, 'heat related illness': 0, 'heat illness': 0, 'heat exhaustion': 0, 'heat cramp': 0, 'heat rash': 0, 'heat alert': 0, 'heat warning': 0, 'heat advisory': 0, 'heat hotline': 0, 'satark': 0, 'early warning system': 0, 'saline': 0, 'iv fluid': 0, 'rapid response team': 0, 'mobile health unit': 0, 'relief chamber': 0, 'heat stroke ward': 0, 'heat stroke bed': 0, 'drinking water': 0, 'water kiosk': 0, 'water atm': 0, 'hydration point': 0, 'hydration centre': 0, 'hydration center': 0, 'cold water': 0, 'tube well': 0, 'tubewell': 0, 'borewell': 0, 'bore well': 0, 'hand pump': 0, 'handpump': 0, 'overhead tank': 0, 'oh tank': 0, 'stand post': 0, 'piped water supply': 0, 'water supply scheme': 0, 'jalachhatra': 0, 'jalachatra': 0, 'jala jogana kendra': 0, 'jal jogana kendra': 0, 'jal seva shibira': 0, 'water tanker': 0, 'water sprinkling': 0, 'cool roof': 0, 'white roof': 0, 'white topping': 0, 'roof insulation': 0, 'thermal insulation': 0, 'heat reflective': 0, 'reflective coating': 0, 'shade net': 0, 'shade structure': 0, 'canopy': 0, 'awning': 0, 'albedo paint': 0, 'albedo painting': 0, 'white painting': 0, 'reflective paint': 0, 'green roof': 0, 'green roofing': 0, 'k glass': 0, 'doubly glazed glass': 0, 'passive cooling': 0, 'air cooler': 0, 'white china mosaic': 0, 'lime based whitewash': 0, 'white tarp': 0, 'acrylic resin coating': 0, 'tree plantation': 0, 'avenue plantation': 0, 'plantation': 0, 'green belt': 0, 'urban forestry': 0, 'urban forest': 0, 'park development': 0, 'shelter belt': 0, 'shade tree': 0, 'vertical garden': 0, 'green space': 0, 'afforestation': 0, 'green campus': 0, 'night shelter': 0, 'transit shelter': 0, 'rest shed': 0, 'waiting shed': 0, 'community hall': 2, 'relief centre': 0, 'relief center': 0, 'bus stand shelter': 0, 'passenger shelter': 0, 'cool shelter': 0, 'rest shade': 0, 'cool resting space': 0, 'cool resting shed': 0, 'passenger shed': 0, 'outreach clinic': 0, 'awareness campaign': 0, 'iec activity': 0, 'iec material': 0, 'capacity building': 0, 'training programme': 0, 'training program': 0, 'mock drill': 0, 'sensitization': 0, 'swasthya kantha': 0, 'do and dont': 0, 'dos and donts': 0, 'display board': 0, 'hoarding': 0, 'pamphlet': 0, 'leaflet': 0, 'banner': 0}","{'floodlight': 0, 'flood light': 0, 'street light': 0, 'solar street light': 0, 'high mast light': 0, 'gas pipeline': 0, 'sports complex': 0, 'stadium': 0, 'cricket': 0, 'football': 0, 'volleyball': 0, 'examination hall': 0, 'cremation ground': 0, 'crematorium': 0, 'burial ground': 0, 'election': 0, 'covid': 0, 'vaccination': 0, 'wedding hall': 0, 'marriage hall': 0, 'kalyan mandap': 0, 'boundary wall': 0, 'compound wall': 0, 'staff quarter': 0, 'quarter building': 0, 'drug warehouse': 0, 'drug ware house': 0, 'godown': 0, 'bio medical waste': 0, 'biomedical waste': 0, 'bmw management': 0, 'waste management': 0}",weak,Pre-Summer (Jan-Feb),,Shelter & Rest Infrastructure,Shelter & Rest Infrastructure,{'Shelter & Rest Infrastructure': {'community hall': 2}}
2022_DHUA_26177_1,"CE/H and UA/17/PT-II/22-23/01, date01/07/2022","CONSTRUCTION OF SECURITY WAITING PAVILION, OUTDOOR TOILET FOR GENTS AND LADIES, OUTDOOR DINING BARRACK, OVER HEAD TANK, INSTALLATION OF DEEP TUBE WELL AND MAIN ENTRANCE GATE CUM GUARD ROOM AT BATABARI, TEZPUR.UNDER UIDF FOR THE YEAR 2022-23","CONSTRUCTION OF SECURITY WAITING PAVILION, OUTDOOR TOILET FOR GENTS AND LADIES, OUTDOOR DINING BARRACK, OVER HEAD TANK, INSTALLATION OF DEEP TUBE WELL AND MAIN ENTRANCE GATE CUM GUARD ROOM AT BATABARI, TEZPUR.UNDER UIDF FOR THE YEAR 2022-23",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,02-Jul-2022 02:00 PM,NA ,180.0,No ,No,Online,11-Jul-2022 03:00 PM,Department of Housing and Urban Affairs||Chief Engineer Technical Cell,Tezpur,784001.0,2.0,"1,20,05,000",M/S TIMUNG ASSOCIATES,12004677.0,Accepted-AOC,28-Jul-2022,AOC,Department of Housing and Urban Affairs||Chief Engineer Technical Cell,True,False,"{'heatwave': 0, 'heat wave': 0, 'heat-wave': 0, 'heat stress': 0, 'heat stroke': 0, 'heat action plan': 0, 'heat resilience': 0, 'heat resilient': 0, 'extreme heat': 0, 'high temperature': 0, 'rising temperature': 0, 'heat resistant': 0, 'climate resilient': 0, 'cooling centre': 0, 'cooling center': 0, 'emergency response': 0, 'first aid': 0, 'ambulance': 0, 'ors': 0, 'oral rehydration solution': 0, 'heat stroke treatment': 0, 'sunstroke': 0, 'sun stroke': 0, 'heat related illness': 0, 'heat illness': 0, 'heat exhaustion': 0, 'heat cramp': 0, 'heat rash': 0, 'heat alert': 0, 'heat warning': 0, 'heat advisory': 0, 'heat hotline': 0, 'satark': 0, 'early warning system': 0, 'saline': 0, 'iv fluid': 0, 'rapid response team': 0, 'mobile health unit': 0, 'relief chamber': 0, 'heat stroke ward': 0, 'heat stroke bed': 0, 'drinking water': 0, 'water kiosk': 0, 'water atm': 0, 'hydration point': 0, 'hydration centre': 0, 'hydration center': 0, 'cold water': 0, 'tube well': 2, 'tubewell': 0, 'borewell': 0, 'bore well': 0, 'hand pump': 0, 'handpump': 0, 'overhead tank': 0, 'oh tank': 0, 'stand post': 0, 'piped water supply': 0, 'water supply scheme': 0, 'jalachhatra': 0, 'jalachatra': 0, 'jala jogana kendra': 0, 'jal jogana kendra': 0, 'jal seva shibira': 0, 'water tanker': 0, 'water sprinkling': 0, 'cool roof': 0, 'white roof': 0, 'white topping': 0, 'roof insulation': 0, 'thermal insulation': 0, 'heat reflective': 0, 'reflective coating': 0, 'shade net': 0, 'shade structure': 0, 'canopy': 0, 'awning': 0, 'albedo paint': 0, 'albedo painting': 0, 'white painting': 0, 'reflective paint': 0, 'green roof': 0, 'green roofing': 0, 'k glass': 0, 'doubly glazed glass': 0, 'passive cooling': 0, 'air cooler': 0, 'white china mosaic': 0, 'lime based whitewash': 0, 'white tarp': 0, 'acrylic resin coating': 0, 'tree plantation': 0, 'avenue plantation': 0, 'plantation': 0, 'green belt': 0, 'urban forestry': 0, 'urban forest': 0, 'park development': 0, 'shelter belt': 0, 'shade tree': 0, 'vertical garden': 0, 'green space': 0, 'afforestation': 0, 'green campus': 0, 'night shelter': 0, 'transit shelter': 0, 'rest shed': 0, 'waiting shed': 0, 'community hall': 0, 'relief centre': 0, 'relief center': 0, 'bus stand shelter': 0, 'passenger shelter': 0, 'cool shelter': 0, 'rest shade': 0, 'cool resting space': 0, 'cool resting shed': 0, 'passenger shed': 0, 'outreach clinic': 0, 'awareness campaign': 0, 'iec activity': 0, 'iec material': 0, 'capacity building': 0, 'training programme': 0, 'training program': 0, 'mock drill': 0, 'sensitization': 0, 'swasthya kantha': 0, 'do and dont': 0, 'dos and donts': 0, 'display board': 0, 'hoarding': 0, 'pamphlet': 0, 'leaflet': 0, 'banner': 0}","{'floodlight': 0, 'flood light': 0, 'street light': 0, 'solar street light': 0, 'high mast light': 0, 'gas pipeline': 0, 'sports complex': 0, 'stadium': 0, 'cricket': 0, 'football': 0, 'volleyball': 0, 'examination hall': 0, 'cremation ground': 0, 'crematorium': 0, 'burial ground': 0, 'election': 0, 'covid': 0, 'vaccination': 0, 'wedding hall': 0, 'marriage hall': 0, 'kalyan mandap': 0, 'boundary wall': 0, 'compound wall': 0, 'staff quarter': 0, 'quarter building': 0, 'drug warehouse': 0, 'drug ware house': 0, 'godown': 0, 'bio medical waste': 0, 'biomedical waste': 0, 'bmw management': 0, 'waste management': 0}",weak,Monsoon (Jul-Sep),,Drinking Water & Hydration,Drinking Water & Hydration,{'Drinking Water & Hydration': {'tube well': 2}}
2022_ICD_26012_1,APL/CnP/Proj/TS/2022-23/036,PREPARATION OF FIRE and SAFETY DOCUMENTS,"PREPARATION OF FIRE and SAFETY DOCUMENTS (Emergency Response Disaster Management Plan, Quantitative Risk Assessment, Fire Risk Assessment, HSE Manual and Fire Emergency Procedure Manual) for 500 TPD Methanol Project",Services,Open Limited,Item Rate,Fire & Safety,No,No,NA ,20-Jun-2022 11:00 AM,NA ,180.0,No ,No,Online,05-Jul-2022 03:00 PM,Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,APL Namrup,786623.0,2.0,"18,66,700",Amrita Shah,795000.0,Rejected-Technical,07-Oct-2022,AOC,Industries and Commerce Department||Assam Petro-Chemicals Ltd.||Head office Namrup||Materials Management Department,True,False,"{'heatwave': 0, 'heat wave': 0, 'heat-wave': 0, 'heat stress': 0, 'heat stroke': 0, 'heat action plan': 0, 'heat resilience': 0, 'heat resilient': 0, 'extreme heat': 0, 'high temperature': 0, 'rising temperature': 0, 'heat resistant': 0, 'climate resilient': 0, 'cooling centre': 0, 'cooling center': 0, 'emergency response': 1, 'first aid': 0, 'ambulance': 0, 'ors': 0, 'oral rehydration solution': 0, 'heat stroke treatment': 0, 'sunstroke': 0, 'sun stroke': 0, 'heat related illness': 0, 'heat illness': 0, 'heat exhaustion': 0, 'heat cramp': 0, 'heat rash': 0, 'heat alert': 0, 'heat warning': 0, 'heat advisory': 0, 'heat hotline': 0, 'satark': 0, 'early warning system': 0, 'saline': 0, 'iv fluid': 0, 'rapid response team': 0, 'mobile health unit': 0, 'relief chamber': 0, 'heat stroke ward': 0, 'heat stroke bed': 0, 'drinking water': 0, 'water kiosk': 0, 'water atm': 0, 'hydration point': 0, 'hydration centre': 0, 'hydration center': 0, 'cold water': 0, 'tube well': 0, 'tubewell': 0, 'borewell': 0, 'bore well': 0, 'hand pump': 0, 'handpump': 0, 'overhead tank': 0, 'oh tank': 0, 'stand post': 0, 'piped water supply': 0, 'water supply scheme': 0, 'jalachhatra': 0, 'jalachatra': 0, 'jala jogana kendra': 0, 'jal jogana kendra': 0, 'jal seva shibira': 0, 'water tanker': 0, 'water sprinkling': 0, 'cool roof': 0, 'white roof': 0, 'white topping': 0, 'roof insulation': 0, 'thermal insulation': 0, 'heat reflective': 0, 'reflective coating': 0, 'shade net': 0, 'shade structure': 0, 'canopy': 0, 'awning': 0, 'albedo paint': 0, 'albedo painting': 0, 'white painting': 0, 'reflective paint': 0, 'green roof': 0, 'green roofing': 0, 'k glass': 0, 'doubly glazed glass': 0, 'passive cooling': 0, 'air cooler': 0, 'white china mosaic': 0, 'lime based whitewash': 0, 'white tarp': 0, 'acrylic resin coating': 0, 'tree plantation': 0, 'avenue plantation': 0, 'plantation': 0, 'green belt': 0, 'urban forestry': 0, 'urban forest': 0, 'park development': 0, 'shelter belt': 0, 'shade tree': 0, 'vertical garden': 0, 'green space': 0, 'afforestation': 0, 'green campus': 0, 'night shelter': 0, 'transit shelter': 0, 'rest shed': 0, 'waiting shed': 0, 'community hall': 0, 'relief centre': 0, 'relief center': 0, 'bus stand shelter': 0, 'passenger shelter': 0, 'cool shelter': 0, 'rest shade': 0, 'cool resting space': 0, 'cool resting shed': 0, 'passenger shed': 0, 'outreach clinic': 0, 'awareness campaign': 0, 'iec activity': 0, 'iec material': 0, 'capacity building': 0, 'training programme': 0, 'training program': 0, 'mock drill': 0, 'sensitization': 0, 'swasthya kantha': 0, 'do and dont': 0, 'dos and donts': 0, 'display board': 0, 'hoarding': 0, 'pamphlet': 0, 'leaflet': 0, 'banner': 0}","{'floodlight': 0, 'flood light': 0, 'street light': 0, 'solar street light': 0, 'high mast light': 0, 'gas pipeline': 0, 'sports complex': 0, 'stadium': 0, 'cricket': 0, 'football': 0, 'volleyball': 0, 'examination hall': 0, 'cremation ground': 0, 'crematorium': 0, 'burial ground': 0, 'election': 0, 'covid': 0, 'vaccination': 0, 'wedding hall': 0, 'marriage hall': 0, 'kalyan mandap': 0, 'boundary wall': 0, 'compound wall': 0, 'staff quarter': 0, 'quarter building': 0, 'drug warehouse': 0, 'drug ware house': 0, 'godown': 0, 'bio medical waste': 0, 'biomedical waste': 0, 'bmw management': 0, 'waste management': 0}",weak,Summer / Heatwave (Mar-Jun),,Heatwave & Emergency Response,Heatwave & Emergency Response,{'Heatwave & Emergency Response': {'emergency response': 1}}
2022_PCCF_26026_1,Fencing against 50 Ha AR Pltn at Rakhalthakur,50 Ha AR Plantation at Rakhalthakur,"Fencing work against 50 Ha AR Plantation at Rakhalthakur under CAMPA Scheme , Total Perimeter is 2835 RM as per detail plan and estimate and other terms and condition mentioned in the Bid document.",Works,Open Tender,Works,Agricultural or Forestry,No,No,NA ,21-Jun-2022 01:00 PM,22-Jun-2022 10:00 AM ,23.0,No ,No,Online,11-Jul-2022 01:00 PM,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests Social Forestry||Lower Assam Social Forestry Circle||Aie Valley Division,Rakhalthakur RF,783384.0,2.0,"48,36,510",STANDARD CREATION,4352859.0,Not Admitted-Fee/PreQual/Technical,19-Oct-2022,AOC,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests Social Forestry||Lower Assam Social Forestry Circle||Aie Valley Division,True,False,"{'heatwave': 0, 'heat wave': 0, 'heat-wave': 0, 'heat stress': 0, 'heat stroke': 0, 'heat action plan': 0, 'heat resilience': 0, 'heat resilient': 0, 'extreme heat': 0, 'high temperature': 0, 'rising temperature': 0, 'heat resistant': 0, 'climate resilient': 0, 'cooling centre': 0, 'cooling center': 0, 'emergency response': 0, 'first aid': 0, 'ambulance': 0, 'ors': 0, 'oral rehydration solution': 0, 'heat stroke treatment': 0, 'sunstroke': 0, 'sun stroke': 0, 'heat related illness': 0, 'heat illness': 0, 'heat exhaustion': 0, 'heat cramp': 0, 'heat rash': 0, 'heat alert': 0, 'heat warning': 0, 'heat advisory': 0, 'heat hotline': 0, 'satark': 0, 'early warning system': 0, 'saline': 0, 'iv fluid': 0, 'rapid response team': 0, 'mobile health unit': 0, 'relief chamber': 0, 'heat stroke ward': 0, 'heat stroke bed': 0, 'drinking water': 0, 'water kiosk': 0, 'water atm': 0, 'hydration point': 0, 'hydration centre': 0, 'hydration center': 0, 'cold water': 0, 'tube well': 0, 'tubewell': 0, 'borewell': 0, 'bore well': 0, 'hand pump': 0, 'handpump': 0, 'overhead tank': 0, 'oh tank': 0, 'stand post': 0, 'piped water supply': 0, 'water supply scheme': 0, 'jalachhatra': 0, 'jalachatra': 0, 'jala jogana kendra': 0, 'jal jogana kendra': 0, 'jal seva shibira': 0, 'water tanker': 0, 'water sprinkling': 0, 'cool roof': 0, 'white roof': 0, 'white topping': 0, 'roof insulation': 0, 'thermal insulation': 0, 'heat reflective': 0, 'reflective coating': 0, 'shade net': 0, 'shade structure': 0, 'canopy': 0, 'awning': 0, 'albedo paint': 0, 'albedo painting': 0, 'white painting': 0, 'reflective paint': 0, 'green roof': 0, 'green roofing': 0, 'k glass': 0, 'doubly glazed glass': 0, 'passive cooling': 0, 'air cooler': 0, 'white china mosaic': 0, 'lime based whitewash': 0, 'white tarp': 0, 'acrylic resin coating': 0, 'tree plantation': 0, 'avenue plantation': 0, 'plantation': 2, 'green belt': 0, 'urban forestry': 0, 'urban forest': 0, 'park development': 0, 'shelter belt': 0, 'shade tree': 0, 'vertical garden': 0, 'green space': 0, 'afforestation': 0, 'green campus': 0, 'night shelter': 0, 'transit shelter': 0, 'rest shed': 0, 'waiting shed': 0, 'community hall': 0, 'relief centre': 0, 'relief center': 0, 'bus stand shelter': 0, 'passenger shelter': 0, 'cool shelter': 0, 'rest shade': 0, 'cool resting space': 0, 'cool resting shed': 0, 'passenger shed': 0, 'outreach clinic': 0, 'awareness campaign': 0, 'iec activity': 0, 'iec material': 0, 'capacity building': 0, 'training programme': 0, 'training program': 0, 'mock drill': 0, 'sensitization': 0, 'swasthya kantha': 0, 'do and dont': 0, 'dos and donts': 0, 'display board': 0, 'hoarding': 0, 'pamphlet': 0, 'leaflet': 0, 'banner': 0}","{'floodlight': 0, 'flood light': 0, 'street light': 0, 'solar street light': 0, 'high mast light': 0, 'gas pipeline': 0, 'sports complex': 0, 'stadium': 0, 'cricket': 0, 'football': 0, 'volleyball': 0, 'examination hall': 0, 'cremation ground': 0, 'crematorium': 0, 'burial ground': 0, 'election': 0, 'covid': 0, 'vaccination': 0, 'wedding hall': 0, 'marriage hall': 0, 'kalyan mandap': 0, 'boundary wall': 0, 'compound wall': 0, 'staff quarter': 0, 'quarter building': 0, 'drug warehouse': 0, 'drug ware house': 0, 'godown': 0, 'bio medical waste': 0, 'biomedical waste': 0, 'bmw management': 0, 'waste management': 0}",weak,Summer / Heatwave (Mar-Jun),,Greening & Urban Forestry,Greening & Urban Forestry,{'Greening & Urban Forestry': {'plantation': 2}}
2022_PCCF_26040_1,Tender for 50 Ha AR pltn at Barkhata Pt1,50 Ha AR Plantation at Barkhata Pt-I under Nakkati RF,"Fencing work against 50 Ha AR Plantation at Barkhata Pt-I under CAMPA Scheme , Total Perimeter is 3570 RM as per detail plan and estimate and other terms and condition mentioned in the Bid document.",Works,Open Tender,Works,Agricultural or Forestry,No,No,NA ,21-Jun-2022 01:00 PM,22-Jun-2022 10:00 AM ,23.0,No ,No,Online,11-Jul-2022 01:00 PM,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests Social Forestry||Lower Assam Social Forestry Circle||Aie Valley Division,Barkhata Pt-I in Nakkati RF,783384.0,2.0,"60,90,420",STANDARD CREATION,5481378.0,Not Admitted-Finance,19-Oct-2022,AOC,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forests Social Forestry||Lower Assam Social Forestry Circle||Aie Valley Division,True,False,"{'heatwave': 0, 'heat wave': 0, 'heat-wave': 0, 'heat stress': 0, 'heat stroke': 0, 'heat action plan': 0, 'heat resilience': 0, 'heat resilient': 0, 'extreme heat': 0, 'high temperature': 0, 'rising temperature': 0, 'heat resistant': 0, 'climate resilient': 0, 'cooling centre': 0, 'cooling center': 0, 'emergency response': 0, 'first aid': 0, 'ambulance': 0, 'ors': 0, 'oral rehydration solution': 0, 'heat stroke treatment': 0, 'sunstroke': 0, 'sun stroke': 0, 'heat related illness': 0, 'heat illness': 0, 'heat exhaustion': 0, 'heat cramp': 0, 'heat rash': 0, 'heat alert': 0, 'heat warning': 0, 'heat advisory': 0, 'heat hotline': 0, 'satark': 0, 'early warning system': 0, 'saline': 0, 'iv fluid': 0, 'rapid response team': 0, 'mobile health unit': 0, 'relief chamber': 0, 'heat stroke ward': 0, 'heat stroke bed': 0, 'drinking water': 0, 'water kiosk': 0, 'water atm': 0, 'hydration point': 0, 'hydration centre': 0, 'hydration center': 0, 'cold water': 0, 'tube well': 0, 'tubewell': 0, 'borewell': 0, 'bore well': 0, 'hand pump': 0, 'handpump': 0, 'overhead tank': 0, 'oh tank': 0, 'stand post': 0, 'piped water supply': 0, 'water supply scheme': 0, 'jalachhatra': 0, 'jalachatra': 0, 'jala jogana kendra': 0, 'jal jogana kendra': 0, 'jal seva shibira': 0, 'water tanker': 0, 'water sprinkling': 0, 'cool roof': 0, 'white roof': 0, 'white topping': 0, 'roof insulation': 0, 'thermal insulation': 0, 'heat reflective': 0, 'reflective coating': 0, 'shade net': 0, 'shade structure': 0, 'canopy': 0, 'awning': 0, 'albedo paint': 0, 'albedo painting': 0, 'white painting': 0, 'reflective paint': 0, 'green roof': 0, 'green roofing': 0, 'k glass': 0, 'doubly glazed glass': 0, 'passive cooling': 0, 'air cooler': 0, 'white china mosaic': 0, 'lime based whitewash': 0, 'white tarp': 0, 'acrylic resin coating': 0, 'tree plantation': 0, 'avenue plantation': 0, 'plantation': 2, 'green belt': 0, 'urban forestry': 0, 'urban forest': 0, 'park development': 0, 'shelter belt': 0, 'shade tree': 0, 'vertical garden': 0, 'green space': 0, 'afforestation': 0, 'green campus': 0, 'night shelter': 0, 'transit shelter': 0, 'rest shed': 0, 'waiting shed': 0, 'community hall': 0, 'relief centre': 0, 'relief center': 0, 'bus stand shelter': 0, 'passenger shelter': 0, 'cool shelter': 0, 'rest shade': 0, 'cool resting space': 0, 'cool resting shed': 0, 'passenger shed': 0, 'outreach clinic': 0, 'awareness campaign': 0, 'iec activity': 0, 'iec material': 0, 'capacity building': 0, 'training programme': 0, 'training program': 0, 'mock drill': 0, 'sensitization': 0, 'swasthya kantha': 0, 'do and dont': 0, 'dos and donts': 0, 'display board': 0, 'hoarding': 0, 'pamphlet': 0, 'leaflet': 0, 'banner': 0}","{'floodlight': 0, 'flood light': 0, 'street light': 0, 'solar street light': 0, 'high mast light': 0, 'gas pipeline': 0, 'sports complex': 0, 'stadium': 0, 'cricket': 0, 'football': 0, 'volleyball': 0, 'examination hall': 0, 'cremation ground': 0, 'crematorium': 0, 'burial ground': 0, 'election': 0, 'covid': 0, 'vaccination': 0, 'wedding hall': 0, 'marriage hall': 0, 'kalyan mandap': 0, 'boundary wall': 0, 'compound wall': 0, 'staff quarter': 0, 'quarter building': 0, 'drug warehouse': 0, 'drug ware house': 0, 'godown': 0, 'bio medical waste': 0, 'biomedical waste': 0, 'bmw management': 0, 'waste management': 0}",weak,Summer / Heatwave (Mar-Jun),,Greening & Urban Forestry,Greening & Urban Forestry,{'Greening & Urban Forestry': {'plantation': 2}}
2022_UADEA_25910_1,GWSP/LB/C#12B/2018-19/128,Rate contract for providing Drinking Water House Service Connections,"Rate contract for providing Drinking Water House Service Connections in lots of 2,000 each, for total of approximately 10,000 households in South-west, South-central and North Guwahati area",Works,Open Tender,Works,Pipe Laying Works,No,No,NA ,10-Jun-2022 10:00 AM,NA ,90.0,No ,No,Online,22-Jun-2022 03:00 PM,Urban Affairs Department Externally Aided Project||GMDWSB-Externally Aided Project,Guwahati,781005.0,2.0,,Bhaskar Baruah,67779773.44,Accepted-AOC,30-Sep-2022,AOC,Urban Affairs Department Externally Aided Project||GMDWSB-Externally Aided Project,True,False,"{'heatwave': 0, 'heat wave': 0, 'heat-wave': 0, 'heat stress': 0, 'heat stroke': 0, 'heat action plan': 0, 'heat resilience': 0, 'heat resilient': 0, 'extreme heat': 0, 'high temperature': 0, 'rising temperature': 0, 'heat resistant': 0, 'climate resilient': 0, 'cooling centre': 0, 'cooling center': 0, 'emergency response': 0, 'first aid': 0, 'ambulance': 0, 'ors': 0, 'oral rehydration solution': 0, 'heat stroke treatment': 0, 'sunstroke': 0, 'sun stroke': 0, 'heat related illness': 0, 'heat illness': 0, 'heat exhaustion': 0, 'heat cramp': 0, 'heat rash': 0, 'heat alert': 0, 'heat warning': 0, 'heat advisory': 0, 'heat hotline': 0, 'satark': 0, 'early warning system': 0, 'saline': 0, 'iv fluid': 0, 'rapid response team': 0, 'mobile health unit': 0, 'relief chamber': 0, 'heat stroke ward': 0, 'heat stroke bed': 0, 'drinking water': 2, 'water kiosk': 0, 'water atm': 0, 'hydration point': 0, 'hydration centre': 0, 'hydration center': 0, 'cold water': 0, 'tube well': 0, 'tubewell': 0, 'borewell': 0, 'bore well': 0, 'hand pump': 0, 'handpump': 0, 'overhead tank': 0, 'oh tank': 0, 'stand post': 0, 'piped water supply': 0, 'water supply scheme': 0, 'jalachhatra': 0, 'jalachatra': 0, 'jala jogana kendra': 0, 'jal jogana kendra': 0, 'jal seva shibira': 0, 'water tanker': 0, 'water sprinkling': 0, 'cool roof': 0, 'white roof': 0, 'white topping': 0, 'roof insulation': 0, 'thermal insulation': 0, 'heat reflective': 0, 'reflective coating': 0, 'shade net': 0, 'shade structure': 0, 'canopy': 0, 'awning': 0, 'albedo paint': 0, 'albedo painting': 0, 'white painting': 0, 'reflective paint': 0, 'green roof': 0, 'green roofing': 0, 'k glass': 0, 'doubly glazed glass': 0, 'passive cooling': 0, 'air cooler': 0, 'white china mosaic': 0, 'lime based whitewash': 0, 'white tarp': 0, 'acrylic resin coating': 0, 'tree plantation': 0, 'avenue plantation': 0, 'plantation': 0, 'green belt': 0, 'urban forestry': 0, 'urban forest': 0, 'park development': 0, 'shelter belt': 0, 'shade tree': 0, 'vertical garden': 0, 'green space': 0, 'afforestation': 0, 'green campus': 0, 'night shelter': 0, 'transit shelter': 0, 'rest shed': 0, 'waiting shed': 0, 'community hall': 0, 'relief centre': 0, 'relief center': 0, 'bus stand shelter': 0, 'passenger shelter': 0, 'cool shelter': 0, 'rest shade': 0, 'cool resting space': 0, 'cool resting shed': 0, 'passenger shed': 0, 'outreach clinic': 0, 'awareness campaign': 0, 'iec activity': 0, 'iec material': 0, 'capacity building': 0, 'training programme': 0, 'training program': 0, 'mock drill': 0, 'sensitization': 0, 'swasthya kantha': 0, 'do and dont': 0, 'dos and donts': 0, 'display board': 0, 'hoarding': 0, 'pamphlet': 0, 'leaflet': 0, 'banner': 0}","{'floodlight': 0, 'flood light': 0, 'street light': 0, 'solar street light': 0, 'high mast light': 0, 'gas pipeline': 0, 'sports complex': 0, 'stadium': 0, 'cricket': 0, 'football': 0, 'volleyball': 0, 'examination hall': 0, 'cremation ground': 0, 'crematorium': 0, 'burial ground': 0, 'election': 0, 'covid': 0, 'vaccination': 0, 'wedding hall': 0, 'marriage hall': 0, 'kalyan mandap': 0, 'boundary wall': 0, 'compound wall': 0, 'staff quarter': 0, 'quarter building': 0, 'drug warehouse': 0, 'drug ware house': 0, 'godown': 0, 'bio medical waste': 0, 'biomedical waste': 0, 'bmw management': 0, 'waste management': 0}",weak,Summer / Heatwave (Mar-Jun),,Drinking Water & Hydration,Drinking Water & Hydration,{'Drinking Water & Hydration': {'drinking water': 2}}
