system:index,district,end_year,heatwave_days,start_year,threshold_c,.geo
0,Anugul,2025,30,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Balangir,2025,131,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Baleshwar,2025,0,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Bargarh,2025,116,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Bhadrak,2025,0,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Boudh,2025,90,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Cuttack,2025,3,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Deogarh,2025,5,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Dhenkanal,2025,7,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Gajapati,2025,0,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Ganjam,2025,12,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Jagatsinghapur,2025,0,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Jajapur,2025,3,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Jharsuguda,2025,44,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Kalahandi,2025,86,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Kandhamal,2025,21,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Kendrapara,2025,0,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Kendujhar,2025,1,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Khordha,2025,1,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Koraput,2025,0,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Malkangiri,2025,17,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Mayurbhanj,2025,3,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Nabarangpur,2025,13,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Nayagarh,2025,7,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Nuapada,2025,68,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Puri,2025,1,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,Rayagada,2025,8,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Sambalpur,2025,47,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Sonepur,2025,112,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Sundargarh,2025,31,1975,45,"{""type"":""MultiPoint"",""coordinates"":[]}"
