object_id,mean_heatday,timeperiod
21-384-03276,47.07692307692308,2023_10
21-384-03277,48.42857142857143,2023_10
21-384-03278,46.75,2023_10
21-384-03279,47.2,2023_10
21-384-03280,48.77777777777778,2023_10
21-384-03281,47.45454545454545,2023_10
21-384-03282,46.57142857142857,2023_10
21-384-03283,47.75,2023_10
21-393-03284,46.5,2023_10
21-393-03285,43.375,2023_10
21-393-03286,42.0,2023_10
21-393-03287,41.75,2023_10
21-393-03288,42.857142857142854,2023_10
21-393-03289,43.333333333333336,2023_10
21-393-03290,42.55555555555556,2023_10
21-393-03291,46.0,2023_10
21-393-03292,43.857142857142854,2023_10
21-393-03293,43.625,2023_10
21-393-03294,43.0,2023_10
21-393-03295,44.22222222222222,2023_10
21-393-03296,44.857142857142854,2023_10
21-393-03297,43.857142857142854,2023_10
21-377-03298,44.5,2023_10
21-377-03299,52.142857142857146,2023_10
21-377-03300,55.5,2023_10
21-377-03301,49.0,2023_10
21-377-03302,54.0,2023_10
21-377-03303,46.5,2023_10
21-377-03304,47.4,2023_10
21-377-03305,44.4,2023_10
21-377-03306,45.333333333333336,2023_10
21-377-03307,48.666666666666664,2023_10
21-377-03308,47.0,2023_10
21-377-03309,46.666666666666664,2023_10
21-370-03310,45.09090909090909,2023_10
21-370-03311,45.285714285714285,2023_10
21-370-03312,48.5,2023_10
21-370-03313,47.0,2023_10
21-370-03314,44.833333333333336,2023_10
21-370-03315,49.6,2023_10
21-370-03316,47.75,2023_10
21-370-03317,44.6,2023_10
21-370-03318,42.166666666666664,2023_10
21-370-03319,42.625,2023_10
21-370-03320,42.333333333333336,2023_10
21-370-03321,44.125,2023_10
21-378-03322,47.57142857142857,2023_10
21-378-03323,46.333333333333336,2023_10
21-378-03324,47.0,2023_10
21-378-03325,47.333333333333336,2023_10
21-378-03326,48.25,2023_10
21-378-03327,47.0,2023_10
21-378-03328,47.333333333333336,2023_10
21-391-03329,48.2,2023_10
21-391-03330,47.8235294117647,2023_10
21-391-03331,44.27272727272727,2023_10
21-381-03332,49.833333333333336,2023_10
21-381-03333,47.0,2023_10
21-381-03334,49.5,2023_10
21-381-03335,49.333333333333336,2023_10
21-381-03336,49.0,2023_10
21-381-03337,51.0,2023_10
21-381-03338,53.0,2023_10
21-381-03339,52.5,2023_10
21-381-03340,47.09090909090909,2023_10
21-381-03341,52.333333333333336,2023_10
21-381-03342,51.666666666666664,2023_10
21-381-03343,51.333333333333336,2023_10
21-381-03344,51.6,2023_10
21-381-03345,48.0,2023_10
21-373-03346,43.916666666666664,2023_10
21-373-03347,47.76923076923077,2023_10
21-373-03348,45.15384615384615,2023_10
21-383-03349,50.75,2023_10
21-383-03350,49.285714285714285,2023_10
21-383-03351,50.5,2023_10
21-383-03352,46.22222222222222,2023_10
21-383-03353,50.714285714285715,2023_10
21-383-03354,49.5,2023_10
21-383-03355,49.25,2023_10
21-383-03356,49.57142857142857,2023_10
21-389-03357,60.75,2023_10
21-389-03358,58.8,2023_10
21-389-03359,57.0,2023_10
21-389-03360,56.89473684210526,2023_10
21-389-03361,58.42857142857143,2023_10
21-389-03362,58.22222222222222,2023_10
21-389-03363,62.77777777777778,2023_10
21-388-03364,57.5,2023_10
21-388-03365,57.0,2023_10
21-388-03366,60.0,2023_10
21-388-03367,59.63636363636363,2023_10
21-388-03368,53.0,2023_10
21-388-03369,70.33333333333333,2023_10
21-388-03370,61.5,2023_10
21-388-03371,61.285714285714285,2023_10
21-388-03372,61.166666666666664,2023_10
21-388-03373,69.33333333333333,2023_10
21-388-03374,63.5,2023_10
21-388-03375,51.63636363636363,2023_10
21-388-03376,57.0,2023_10
21-388-03377,64.66666666666667,2023_10
21-388-03378,63.5,2023_10
21-388-03379,61.0,2023_10
21-388-03380,55.57142857142857,2023_10
21-388-03381,61.5,2023_10
21-388-03382,71.0,2023_10
21-388-03383,60.333333333333336,2023_10
21-388-03384,58.0,2023_10
21-388-03385,63.42857142857143,2023_10
21-380-03386,54.333333333333336,2023_10
21-380-03387,49.0,2023_10
21-380-03388,58.0,2023_10
21-380-03389,49.5,2023_10
21-380-03390,57.25,2023_10
21-380-03391,54.0,2023_10
21-380-03392,49.5,2023_10
21-380-03393,52.333333333333336,2023_10
21-382-03394,50.0,2023_10
21-382-03395,49.5,2023_10
21-382-03396,49.0,2023_10
21-382-03397,49.666666666666664,2023_10
21-382-03398,48.2,2023_10
21-382-03399,48.0,2023_10
21-382-03400,50.0,2023_10
21-382-03401,48.25,2023_10
21-382-03402,49.0,2023_10
21-382-03403,48.333333333333336,2023_10
21-371-03404,44.6,2023_10
21-371-03405,41.0,2023_10
21-371-03406,42.5,2023_10
21-371-03407,40.2,2023_10
21-371-03408,45.07692307692308,2023_10
21-395-03409,41.666666666666664,2023_10
21-395-03410,45.0,2023_10
21-395-03411,45.36363636363637,2023_10
21-395-03412,44.5,2023_10
21-395-03413,43.0,2023_10
21-395-03414,42.0,2023_10
21-395-03415,42.0,2023_10
21-395-03416,43.875,2023_10
21-395-03417,44.0,2023_10
21-395-03418,42.357142857142854,2023_10
21-395-03419,44.583333333333336,2023_10
21-395-03420,42.0,2023_10
21-395-03421,43.266666666666666,2023_10
21-390-03422,44.1,2023_10
21-390-03423,49.0,2023_10
21-390-03424,53.6,2023_10
21-390-03425,59.0,2023_10
21-390-03426,47.111111111111114,2023_10
21-390-03427,48.44444444444444,2023_10
21-390-03428,45.57142857142857,2023_10
21-390-03429,45.27777777777778,2023_10
21-390-03430,46.75,2023_10
21-390-03431,64.0,2023_10
21-390-03432,49.5,2023_10
21-390-03433,44.0,2023_10
21-379-03434,49.0,2023_10
21-379-03435,49.0,2023_10
21-379-03436,51.5,2023_10
21-379-03437,49.0,2023_10
21-379-03438,55.8,2023_10
21-379-03439,53.0,2023_10
21-379-03440,48.5,2023_10
21-379-03441,49.0,2023_10
21-379-03442,48.8,2023_10
21-375-03443,47.714285714285715,2023_10
21-375-03444,45.22222222222222,2023_10
21-375-03445,43.42857142857143,2023_10
21-375-03446,48.5,2023_10
21-375-03447,45.333333333333336,2023_10
21-375-03448,47.06666666666667,2023_10
21-375-03449,49.0,2023_10
21-375-03450,45.4,2023_10
21-375-03451,44.25,2023_10
21-375-03452,45.333333333333336,2023_10
21-375-03453,44.25,2023_10
21-375-03454,39.25,2023_10
21-375-03455,49.27272727272727,2023_10
21-386-03456,50.666666666666664,2023_10
21-386-03457,53.0,2023_10
21-386-03458,58.0,2023_10
21-386-03459,49.4,2023_10
21-386-03460,50.0,2023_10
21-386-03461,48.5,2023_10
21-386-03462,,2023_10
21-386-03463,50.75,2023_10
21-386-03464,51.333333333333336,2023_10
21-386-03465,57.25,2023_10
21-398-03466,58.0,2023_10
21-398-03467,52.84615384615385,2023_10
21-398-03468,55.142857142857146,2023_10
21-398-03469,54.53846153846154,2023_10
21-398-03470,52.833333333333336,2023_10
21-398-03471,57.857142857142854,2023_10
21-398-03472,48.333333333333336,2023_10
21-398-03473,50.5,2023_10
21-398-03474,64.5,2023_10
21-398-03475,59.857142857142854,2023_10
21-398-03476,68.0,2023_10
21-398-03477,69.875,2023_10
21-398-03478,72.71428571428571,2023_10
21-398-03479,71.75,2023_10
21-399-03480,50.9375,2023_10
21-399-03481,48.666666666666664,2023_10
21-399-03482,54.583333333333336,2023_10
21-399-03483,59.733333333333334,2023_10
21-399-03484,51.55555555555556,2023_10
21-399-03485,49.1,2023_10
21-399-03486,54.63636363636363,2023_10
21-376-03487,45.0,2023_10
21-376-03488,43.0,2023_10
21-376-03489,47.36363636363637,2023_10
21-376-03490,41.0,2023_10
21-376-03491,44.75,2023_10
21-376-03492,45.8,2023_10
21-376-03493,47.8,2023_10
21-376-03494,51.0,2023_10
21-376-03495,45.333333333333336,2023_10
21-376-03496,43.63636363636363,2023_10
21-376-03497,50.625,2023_10
21-376-03498,40.90909090909091,2023_10
21-376-03499,48.0,2023_10
21-376-03500,45.6,2023_10
21-376-03501,47.0,2023_10
21-376-03502,42.8,2023_10
21-376-03503,43.0,2023_10
21-376-03504,42.0,2023_10
21-376-03505,45.0,2023_10
21-376-03506,46.5,2023_10
21-376-03507,42.75,2023_10
21-376-03508,42.333333333333336,2023_10
21-376-03509,39.75,2023_10
21-376-03510,47.25,2023_10
21-376-03511,43.0,2023_10
21-376-03512,48.333333333333336,2023_10
21-397-03513,47.5,2023_10
21-397-03514,43.8,2023_10
21-397-03515,43.27272727272727,2023_10
21-397-03516,48.0,2023_10
21-397-03517,47.2,2023_10
21-397-03518,49.0,2023_10
21-397-03519,44.0,2023_10
21-397-03520,40.09090909090909,2023_10
21-397-03521,46.0,2023_10
21-397-03522,42.69230769230769,2023_10
21-385-03523,48.0,2023_10
21-385-03524,50.285714285714285,2023_10
21-385-03525,51.666666666666664,2023_10
21-385-03526,48.6,2023_10
21-385-03527,48.2,2023_10
21-385-03528,50.42857142857143,2023_10
21-385-03529,50.142857142857146,2023_10
21-385-03530,49.25,2023_10
21-394-03531,44.111111111111114,2023_10
21-394-03532,43.6,2023_10
21-394-03533,43.93333333333333,2023_10
21-394-03534,42.785714285714285,2023_10
21-394-03535,43.36363636363637,2023_10
21-387-03536,64.5,2023_10
21-387-03537,63.8,2023_10
21-387-03538,51.0,2023_10
21-387-03539,65.0,2023_10
21-387-03540,62.0,2023_10
21-387-03541,56.25,2023_10
21-387-03542,71.33333333333333,2023_10
21-387-03543,54.833333333333336,2023_10
21-387-03544,50.5,2023_10
21-387-03545,60.5,2023_10
21-387-03546,55.0,2023_10
21-396-03547,54.857142857142854,2023_10
21-396-03548,52.333333333333336,2023_10
21-396-03549,57.142857142857146,2023_10
21-396-03550,59.0,2023_10
21-396-03551,50.625,2023_10
21-396-03552,51.8421052631579,2023_10
21-396-03553,57.0,2023_10
21-396-03554,43.25,2023_10
21-396-03555,58.0,2023_10
21-396-03556,57.0,2023_10
21-396-03557,53.8,2023_10
21-372-03558,40.875,2023_10
21-372-03559,45.666666666666664,2023_10
21-372-03560,44.0,2023_10
21-372-03561,46.0,2023_10
21-372-03562,43.0,2023_10
21-372-03563,46.57142857142857,2023_10
21-372-03564,47.142857142857146,2023_10
21-372-03565,47.86666666666667,2023_10
21-372-03566,43.75,2023_10
21-392-03567,49.6,2023_10
21-392-03568,47.8,2023_10
21-392-03569,48.666666666666664,2023_10
21-392-03570,48.4,2023_10
21-392-03571,44.4,2023_10
21-392-03572,48.5,2023_10
21-374-03573,43.142857142857146,2023_10
21-374-03574,42.25,2023_10
21-374-03575,46.25,2023_10
21-374-03576,44.333333333333336,2023_10
21-374-03577,42.11764705882353,2023_10
21-374-03578,44.30769230769231,2023_10
21-374-03579,42.63636363636363,2023_10
21-374-03580,46.42857142857143,2023_10
21-374-03581,43.2,2023_10
21-374-03582,42.23076923076923,2023_10
21-374-03583,43.75,2023_10
21-374-03584,43.375,2023_10
21-374-03585,45.25,2023_10
21-374-03586,43.875,2023_10
21-374-03587,42.57142857142857,2023_10
21-374-03588,41.6,2023_10
21-374-03589,42.5,2023_10
