object_id,mean-heatday,timeperiod
21-384-03276,7.769230769230769,2021_02
21-384-03277,5.857142857142857,2021_02
21-384-03278,7.5,2021_02
21-384-03279,7.266666666666667,2021_02
21-384-03280,7.444444444444445,2021_02
21-384-03281,6.636363636363637,2021_02
21-384-03282,8.714285714285714,2021_02
21-384-03283,7.0,2021_02
21-393-03284,6.0,2021_02
21-393-03285,6.625,2021_02
21-393-03286,7.0,2021_02
21-393-03287,6.5,2021_02
21-393-03288,6.571428571428571,2021_02
21-393-03289,5.333333333333333,2021_02
21-393-03290,6.0,2021_02
21-393-03291,6.0,2021_02
21-393-03292,6.857142857142857,2021_02
21-393-03293,6.5,2021_02
21-393-03294,6.0,2021_02
21-393-03295,6.888888888888889,2021_02
21-393-03296,7.0,2021_02
21-393-03297,7.0,2021_02
21-377-03298,6.0,2021_02
21-377-03299,9.142857142857142,2021_02
21-377-03300,5.75,2021_02
21-377-03301,10.5,2021_02
21-377-03302,10.0,2021_02
21-377-03303,11.0,2021_02
21-377-03304,11.0,2021_02
21-377-03305,8.6,2021_02
21-377-03306,9.0,2021_02
21-377-03307,5.75,2021_02
21-377-03308,9.666666666666666,2021_02
21-377-03309,7.0,2021_02
21-370-03310,6.818181818181818,2021_02
21-370-03311,6.0,2021_02
21-370-03312,6.0,2021_02
21-370-03313,6.0,2021_02
21-370-03314,6.0,2021_02
21-370-03315,6.0,2021_02
21-370-03316,6.0,2021_02
21-370-03317,6.0,2021_02
21-370-03318,6.0,2021_02
21-370-03319,6.0,2021_02
21-370-03320,6.0,2021_02
21-370-03321,6.0,2021_02
21-378-03322,6.0,2021_02
21-378-03323,10.666666666666666,2021_02
21-378-03324,9.75,2021_02
21-378-03325,10.666666666666666,2021_02
21-378-03326,5.777777777777778,2021_02
21-378-03327,9.666666666666666,2021_02
21-378-03328,7.333333333333333,2021_02
21-391-03329,5.2,2021_02
21-391-03330,5.529411764705882,2021_02
21-391-03331,5.363636363636363,2021_02
21-381-03332,7.0,2021_02
21-381-03333,7.0,2021_02
21-381-03334,7.0,2021_02
21-381-03335,7.0,2021_02
21-381-03336,7.0,2021_02
21-381-03337,7.0,2021_02
21-381-03338,7.666666666666667,2021_02
21-381-03339,7.0,2021_02
21-381-03340,7.181818181818182,2021_02
21-381-03341,8.0,2021_02
21-381-03342,7.0,2021_02
21-381-03343,7.0,2021_02
21-381-03344,7.0,2021_02
21-381-03345,7.0,2021_02
21-373-03346,9.666666666666666,2021_02
21-373-03347,9.153846153846153,2021_02
21-373-03348,8.923076923076923,2021_02
21-383-03349,8.25,2021_02
21-383-03350,7.0,2021_02
21-383-03351,7.0,2021_02
21-383-03352,7.777777777777778,2021_02
21-383-03353,7.142857142857143,2021_02
21-383-03354,9.0,2021_02
21-383-03355,7.25,2021_02
21-383-03356,7.285714285714286,2021_02
21-389-03357,8.75,2021_02
21-389-03358,9.2,2021_02
21-389-03359,7.0,2021_02
21-389-03360,7.473684210526316,2021_02
21-389-03361,7.857142857142857,2021_02
21-389-03362,8.444444444444445,2021_02
21-389-03363,9.11111111111111,2021_02
21-388-03364,7.5,2021_02
21-388-03365,7.5,2021_02
21-388-03366,7.0,2021_02
21-388-03367,7.090909090909091,2021_02
21-388-03368,7.4,2021_02
21-388-03369,8.0,2021_02
21-388-03370,4.666666666666667,2021_02
21-388-03371,7.285714285714286,2021_02
21-388-03372,7.833333333333333,2021_02
21-388-03373,6.25,2021_02
21-388-03374,7.0,2021_02
21-388-03375,7.0,2021_02
21-388-03376,7.5,2021_02
21-388-03377,7.0,2021_02
21-388-03378,7.166666666666667,2021_02
21-388-03379,8.2,2021_02
21-388-03380,7.428571428571429,2021_02
21-388-03381,6.75,2021_02
21-388-03382,8.5,2021_02
21-388-03383,7.666666666666667,2021_02
21-388-03384,7.0,2021_02
21-388-03385,7.5,2021_02
21-380-03386,5.5,2021_02
21-380-03387,7.0,2021_02
21-380-03388,6.833333333333333,2021_02
21-380-03389,7.5,2021_02
21-380-03390,8.0,2021_02
21-380-03391,7.0,2021_02
21-380-03392,7.5,2021_02
21-380-03393,8.0,2021_02
21-382-03394,7.0,2021_02
21-382-03395,7.0,2021_02
21-382-03396,7.5,2021_02
21-382-03397,7.0,2021_02
21-382-03398,10.4,2021_02
21-382-03399,7.0,2021_02
21-382-03400,7.0,2021_02
21-382-03401,10.0,2021_02
21-382-03402,7.333333333333333,2021_02
21-382-03403,9.333333333333334,2021_02
21-371-03404,9.0,2021_02
21-371-03405,9.0,2021_02
21-371-03406,9.0,2021_02
21-371-03407,9.0,2021_02
21-371-03408,8.384615384615385,2021_02
21-395-03409,3.888888888888889,2021_02
21-395-03410,6.0,2021_02
21-395-03411,6.2727272727272725,2021_02
21-395-03412,4.5,2021_02
21-395-03413,3.5555555555555554,2021_02
21-395-03414,5.0,2021_02
21-395-03415,5.0,2021_02
21-395-03416,5.375,2021_02
21-395-03417,5.428571428571429,2021_02
21-395-03418,4.0,2021_02
21-395-03419,4.75,2021_02
21-395-03420,4.833333333333333,2021_02
21-395-03421,3.533333333333333,2021_02
21-390-03422,5.1,2021_02
21-390-03423,7.0,2021_02
21-390-03424,6.533333333333333,2021_02
21-390-03425,8.0,2021_02
21-390-03426,5.777777777777778,2021_02
21-390-03427,6.0,2021_02
21-390-03428,6.5,2021_02
21-390-03429,5.666666666666667,2021_02
21-390-03430,6.0,2021_02
21-390-03431,7.125,2021_02
21-390-03432,7.0,2021_02
21-390-03433,5.444444444444445,2021_02
21-379-03434,8.5,2021_02
21-379-03435,7.0,2021_02
21-379-03436,7.5,2021_02
21-379-03437,6.333333333333333,2021_02
21-379-03438,5.285714285714286,2021_02
21-379-03439,7.0,2021_02
21-379-03440,6.75,2021_02
21-379-03441,8.666666666666666,2021_02
21-379-03442,4.571428571428571,2021_02
21-375-03443,10.857142857142858,2021_02
21-375-03444,11.055555555555555,2021_02
21-375-03445,10.571428571428571,2021_02
21-375-03446,11.0,2021_02
21-375-03447,11.0,2021_02
21-375-03448,10.733333333333333,2021_02
21-375-03449,10.666666666666666,2021_02
21-375-03450,11.0,2021_02
21-375-03451,11.0,2021_02
21-375-03452,11.0,2021_02
21-375-03453,11.0,2021_02
21-375-03454,11.0,2021_02
21-375-03455,9.636363636363637,2021_02
21-386-03456,8.0,2021_02
21-386-03457,7.0,2021_02
21-386-03458,6.5,2021_02
21-386-03459,7.0,2021_02
21-386-03460,7.0,2021_02
21-386-03461,7.0,2021_02
21-386-03462,0.0,2021_02
21-386-03463,7.0,2021_02
21-386-03464,7.333333333333333,2021_02
21-386-03465,7.0,2021_02
21-398-03466,10.2,2021_02
21-398-03467,8.923076923076923,2021_02
21-398-03468,6.857142857142857,2021_02
21-398-03469,6.538461538461538,2021_02
21-398-03470,6.833333333333333,2021_02
21-398-03471,5.428571428571429,2021_02
21-398-03472,8.666666666666666,2021_02
21-398-03473,8.833333333333334,2021_02
21-398-03474,6.375,2021_02
21-398-03475,7.428571428571429,2021_02
21-398-03476,7.7,2021_02
21-398-03477,11.25,2021_02
21-398-03478,10.142857142857142,2021_02
21-398-03479,9.125,2021_02
21-399-03480,7.0625,2021_02
21-399-03481,6.333333333333333,2021_02
21-399-03482,7.166666666666667,2021_02
21-399-03483,5.466666666666667,2021_02
21-399-03484,9.0,2021_02
21-399-03485,9.8,2021_02
21-399-03486,8.545454545454545,2021_02
21-376-03487,10.8,2021_02
21-376-03488,9.666666666666666,2021_02
21-376-03489,11.0,2021_02
21-376-03490,11.0,2021_02
21-376-03491,8.5,2021_02
21-376-03492,11.0,2021_02
21-376-03493,11.0,2021_02
21-376-03494,11.0,2021_02
21-376-03495,10.333333333333334,2021_02
21-376-03496,10.818181818181818,2021_02
21-376-03497,11.0,2021_02
21-376-03498,11.0,2021_02
21-376-03499,11.8,2021_02
21-376-03500,11.0,2021_02
21-376-03501,11.0,2021_02
21-376-03502,11.0,2021_02
21-376-03503,10.333333333333334,2021_02
21-376-03504,10.0,2021_02
21-376-03505,10.333333333333334,2021_02
21-376-03506,11.083333333333334,2021_02
21-376-03507,10.5,2021_02
21-376-03508,10.333333333333334,2021_02
21-376-03509,11.0,2021_02
21-376-03510,11.0,2021_02
21-376-03511,9.5,2021_02
21-376-03512,11.0,2021_02
21-397-03513,7.0,2021_02
21-397-03514,7.0,2021_02
21-397-03515,6.909090909090909,2021_02
21-397-03516,8.5,2021_02
21-397-03517,7.6,2021_02
21-397-03518,6.25,2021_02
21-397-03519,5.857142857142857,2021_02
21-397-03520,6.636363636363637,2021_02
21-397-03521,5.666666666666667,2021_02
21-397-03522,7.0,2021_02
21-385-03523,7.0,2021_02
21-385-03524,7.0,2021_02
21-385-03525,7.0,2021_02
21-385-03526,7.0,2021_02
21-385-03527,7.0,2021_02
21-385-03528,7.0,2021_02
21-385-03529,7.571428571428571,2021_02
21-385-03530,7.5,2021_02
21-394-03531,7.222222222222222,2021_02
21-394-03532,7.0,2021_02
21-394-03533,5.933333333333334,2021_02
21-394-03534,5.071428571428571,2021_02
21-394-03535,7.090909090909091,2021_02
21-387-03536,11.5,2021_02
21-387-03537,9.4,2021_02
21-387-03538,8.0,2021_02
21-387-03539,8.2,2021_02
21-387-03540,11.0,2021_02
21-387-03541,9.0,2021_02
21-387-03542,2.4285714285714284,2021_02
21-387-03543,8.666666666666666,2021_02
21-387-03544,8.0,2021_02
21-387-03545,4.5,2021_02
21-387-03546,8.5,2021_02
21-396-03547,7.0,2021_02
21-396-03548,7.166666666666667,2021_02
21-396-03549,7.0,2021_02
21-396-03550,7.75,2021_02
21-396-03551,6.75,2021_02
21-396-03552,5.7894736842105265,2021_02
21-396-03553,8.0,2021_02
21-396-03554,5.875,2021_02
21-396-03555,7.2,2021_02
21-396-03556,7.6,2021_02
21-396-03557,8.3,2021_02
21-372-03558,9.5,2021_02
21-372-03559,6.333333333333333,2021_02
21-372-03560,7.25,2021_02
21-372-03561,6.0,2021_02
21-372-03562,8.88888888888889,2021_02
21-372-03563,6.0,2021_02
21-372-03564,7.785714285714286,2021_02
21-372-03565,6.266666666666667,2021_02
21-372-03566,7.25,2021_02
21-392-03567,6.0,2021_02
21-392-03568,5.2,2021_02
21-392-03569,6.0,2021_02
21-392-03570,5.8,2021_02
21-392-03571,6.0,2021_02
21-392-03572,5.875,2021_02
21-374-03573,10.0,2021_02
21-374-03574,10.75,2021_02
21-374-03575,10.0,2021_02
21-374-03576,9.833333333333334,2021_02
21-374-03577,9.294117647058824,2021_02
21-374-03578,8.923076923076923,2021_02
21-374-03579,10.636363636363637,2021_02
21-374-03580,10.571428571428571,2021_02
21-374-03581,11.0,2021_02
21-374-03582,10.23076923076923,2021_02
21-374-03583,10.0,2021_02
21-374-03584,9.5,2021_02
21-374-03585,10.875,2021_02
21-374-03586,10.25,2021_02
21-374-03587,9.714285714285714,2021_02
21-374-03588,9.6,2021_02
21-374-03589,9.75,2021_02
