object_id,mean-heatday,timeperiod
21-384-03276,24.384615384615383,2026_03
21-384-03277,27.357142857142858,2026_03
21-384-03278,25.25,2026_03
21-384-03279,27.266666666666666,2026_03
21-384-03280,31.88888888888889,2026_03
21-384-03281,26.09090909090909,2026_03
21-384-03282,31.785714285714285,2026_03
21-384-03283,32.0,2026_03
21-393-03284,29.0,2026_03
21-393-03285,28.875,2026_03
21-393-03286,28.5,2026_03
21-393-03287,28.375,2026_03
21-393-03288,28.428571428571427,2026_03
21-393-03289,25.0,2026_03
21-393-03290,29.11111111111111,2026_03
21-393-03291,28.2,2026_03
21-393-03292,28.428571428571427,2026_03
21-393-03293,29.25,2026_03
21-393-03294,29.0,2026_03
21-393-03295,28.77777777777778,2026_03
21-393-03296,28.0,2026_03
21-393-03297,28.571428571428573,2026_03
21-377-03298,31.5,2026_03
21-377-03299,32.857142857142854,2026_03
21-377-03300,17.5,2026_03
21-377-03301,35.5,2026_03
21-377-03302,33.0,2026_03
21-377-03303,37.666666666666664,2026_03
21-377-03304,38.2,2026_03
21-377-03305,33.2,2026_03
21-377-03306,34.333333333333336,2026_03
21-377-03307,25.0,2026_03
21-377-03308,37.666666666666664,2026_03
21-377-03309,34.0,2026_03
21-370-03310,32.72727272727273,2026_03
21-370-03311,29.571428571428573,2026_03
21-370-03312,25.5,2026_03
21-370-03313,26.25,2026_03
21-370-03314,30.666666666666668,2026_03
21-370-03315,24.4,2026_03
21-370-03316,28.0,2026_03
21-370-03317,29.0,2026_03
21-370-03318,28.833333333333332,2026_03
21-370-03319,29.5,2026_03
21-370-03320,29.0,2026_03
21-370-03321,28.25,2026_03
21-378-03322,33.0,2026_03
21-378-03323,37.0,2026_03
21-378-03324,35.75,2026_03
21-378-03325,36.333333333333336,2026_03
21-378-03326,28.77777777777778,2026_03
21-378-03327,37.666666666666664,2026_03
21-378-03328,34.0,2026_03
21-391-03329,26.9,2026_03
21-391-03330,27.294117647058822,2026_03
21-391-03331,26.181818181818183,2026_03
21-381-03332,30.333333333333332,2026_03
21-381-03333,30.2,2026_03
21-381-03334,31.0,2026_03
21-381-03335,30.5,2026_03
21-381-03336,28.0,2026_03
21-381-03337,28.6,2026_03
21-381-03338,29.0,2026_03
21-381-03339,32.5,2026_03
21-381-03340,28.09090909090909,2026_03
21-381-03341,24.333333333333332,2026_03
21-381-03342,29.333333333333332,2026_03
21-381-03343,29.0,2026_03
21-381-03344,31.8,2026_03
21-381-03345,28.0,2026_03
21-373-03346,35.166666666666664,2026_03
21-373-03347,32.15384615384615,2026_03
21-373-03348,30.076923076923077,2026_03
21-383-03349,30.75,2026_03
21-383-03350,29.285714285714285,2026_03
21-383-03351,31.9,2026_03
21-383-03352,28.77777777777778,2026_03
21-383-03353,31.857142857142858,2026_03
21-383-03354,31.75,2026_03
21-383-03355,29.25,2026_03
21-383-03356,31.285714285714285,2026_03
21-389-03357,16.25,2026_03
21-389-03358,17.6,2026_03
21-389-03359,17.5,2026_03
21-389-03360,19.31578947368421,2026_03
21-389-03361,17.571428571428573,2026_03
21-389-03362,18.666666666666668,2026_03
21-389-03363,19.0,2026_03
21-388-03364,28.0,2026_03
21-388-03365,24.0,2026_03
21-388-03366,26.0,2026_03
21-388-03367,25.818181818181817,2026_03
21-388-03368,25.0,2026_03
21-388-03369,22.666666666666668,2026_03
21-388-03370,17.333333333333332,2026_03
21-388-03371,26.285714285714285,2026_03
21-388-03372,23.0,2026_03
21-388-03373,17.25,2026_03
21-388-03374,25.75,2026_03
21-388-03375,25.545454545454547,2026_03
21-388-03376,25.0,2026_03
21-388-03377,17.25,2026_03
21-388-03378,25.833333333333332,2026_03
21-388-03379,21.4,2026_03
21-388-03380,26.428571428571427,2026_03
21-388-03381,22.5,2026_03
21-388-03382,23.5,2026_03
21-388-03383,25.0,2026_03
21-388-03384,25.0,2026_03
21-388-03385,25.071428571428573,2026_03
21-380-03386,18.0,2026_03
21-380-03387,27.0,2026_03
21-380-03388,20.333333333333332,2026_03
21-380-03389,27.5,2026_03
21-380-03390,25.0,2026_03
21-380-03391,22.0,2026_03
21-380-03392,27.5,2026_03
21-380-03393,28.333333333333332,2026_03
21-382-03394,34.8,2026_03
21-382-03395,36.0,2026_03
21-382-03396,35.5,2026_03
21-382-03397,36.0,2026_03
21-382-03398,36.4,2026_03
21-382-03399,37.333333333333336,2026_03
21-382-03400,36.0,2026_03
21-382-03401,37.0,2026_03
21-382-03402,37.333333333333336,2026_03
21-382-03403,32.166666666666664,2026_03
21-371-03404,32.8,2026_03
21-371-03405,31.5,2026_03
21-371-03406,29.5,2026_03
21-371-03407,30.2,2026_03
21-371-03408,31.923076923076923,2026_03
21-395-03409,21.666666666666668,2026_03
21-395-03410,24.75,2026_03
21-395-03411,27.90909090909091,2026_03
21-395-03412,21.75,2026_03
21-395-03413,22.0,2026_03
21-395-03414,23.0,2026_03
21-395-03415,26.0,2026_03
21-395-03416,26.625,2026_03
21-395-03417,23.714285714285715,2026_03
21-395-03418,24.142857142857142,2026_03
21-395-03419,26.583333333333332,2026_03
21-395-03420,25.666666666666668,2026_03
21-395-03421,20.533333333333335,2026_03
21-390-03422,24.6,2026_03
21-390-03423,21.833333333333332,2026_03
21-390-03424,18.6,2026_03
21-390-03425,25.0,2026_03
21-390-03426,20.555555555555557,2026_03
21-390-03427,27.11111111111111,2026_03
21-390-03428,18.357142857142858,2026_03
21-390-03429,25.333333333333332,2026_03
21-390-03430,25.5,2026_03
21-390-03431,24.75,2026_03
21-390-03432,20.75,2026_03
21-390-03433,24.77777777777778,2026_03
21-379-03434,34.75,2026_03
21-379-03435,33.333333333333336,2026_03
21-379-03436,29.5,2026_03
21-379-03437,27.666666666666668,2026_03
21-379-03438,18.714285714285715,2026_03
21-379-03439,28.0,2026_03
21-379-03440,27.75,2026_03
21-379-03441,34.666666666666664,2026_03
21-379-03442,21.857142857142858,2026_03
21-375-03443,34.857142857142854,2026_03
21-375-03444,30.944444444444443,2026_03
21-375-03445,35.42857142857143,2026_03
21-375-03446,35.0,2026_03
21-375-03447,31.083333333333332,2026_03
21-375-03448,32.666666666666664,2026_03
21-375-03449,37.833333333333336,2026_03
21-375-03450,33.6,2026_03
21-375-03451,34.0,2026_03
21-375-03452,32.77777777777778,2026_03
21-375-03453,32.75,2026_03
21-375-03454,28.25,2026_03
21-375-03455,30.0,2026_03
21-386-03456,28.0,2026_03
21-386-03457,26.0,2026_03
21-386-03458,20.5,2026_03
21-386-03459,28.2,2026_03
21-386-03460,28.6,2026_03
21-386-03461,32.5,2026_03
21-386-03462,0.0,2026_03
21-386-03463,26.0,2026_03
21-386-03464,26.333333333333332,2026_03
21-386-03465,15.6,2026_03
21-398-03466,24.2,2026_03
21-398-03467,25.615384615384617,2026_03
21-398-03468,24.0,2026_03
21-398-03469,20.307692307692307,2026_03
21-398-03470,22.166666666666668,2026_03
21-398-03471,20.142857142857142,2026_03
21-398-03472,28.0,2026_03
21-398-03473,27.833333333333332,2026_03
21-398-03474,23.125,2026_03
21-398-03475,20.285714285714285,2026_03
21-398-03476,20.8,2026_03
21-398-03477,27.0,2026_03
21-398-03478,25.571428571428573,2026_03
21-398-03479,23.625,2026_03
21-399-03480,20.4375,2026_03
21-399-03481,21.5,2026_03
21-399-03482,25.166666666666668,2026_03
21-399-03483,23.8,2026_03
21-399-03484,28.11111111111111,2026_03
21-399-03485,27.2,2026_03
21-399-03486,23.545454545454547,2026_03
21-376-03487,33.0,2026_03
21-376-03488,36.0,2026_03
21-376-03489,38.36363636363637,2026_03
21-376-03490,35.333333333333336,2026_03
21-376-03491,31.5,2026_03
21-376-03492,37.4,2026_03
21-376-03493,39.6,2026_03
21-376-03494,37.0,2026_03
21-376-03495,35.333333333333336,2026_03
21-376-03496,29.363636363636363,2026_03
21-376-03497,35.375,2026_03
21-376-03498,26.0,2026_03
21-376-03499,33.8,2026_03
21-376-03500,38.4,2026_03
21-376-03501,31.333333333333332,2026_03
21-376-03502,36.0,2026_03
21-376-03503,35.333333333333336,2026_03
21-376-03504,34.0,2026_03
21-376-03505,35.333333333333336,2026_03
21-376-03506,33.333333333333336,2026_03
21-376-03507,38.75,2026_03
21-376-03508,32.0,2026_03
21-376-03509,37.75,2026_03
21-376-03510,30.416666666666668,2026_03
21-376-03511,37.0,2026_03
21-376-03512,32.5,2026_03
21-397-03513,30.25,2026_03
21-397-03514,26.0,2026_03
21-397-03515,27.454545454545453,2026_03
21-397-03516,27.4,2026_03
21-397-03517,26.4,2026_03
21-397-03518,22.25,2026_03
21-397-03519,23.285714285714285,2026_03
21-397-03520,33.27272727272727,2026_03
21-397-03521,21.666666666666668,2026_03
21-397-03522,29.0,2026_03
21-385-03523,30.0,2026_03
21-385-03524,25.428571428571427,2026_03
21-385-03525,27.333333333333332,2026_03
21-385-03526,30.4,2026_03
21-385-03527,27.8,2026_03
21-385-03528,25.142857142857142,2026_03
21-385-03529,25.857142857142858,2026_03
21-385-03530,24.875,2026_03
21-394-03531,33.333333333333336,2026_03
21-394-03532,29.2,2026_03
21-394-03533,30.266666666666666,2026_03
21-394-03534,29.785714285714285,2026_03
21-394-03535,33.27272727272727,2026_03
21-387-03536,22.5,2026_03
21-387-03537,20.0,2026_03
21-387-03538,23.0,2026_03
21-387-03539,15.6,2026_03
21-387-03540,22.0,2026_03
21-387-03541,21.5,2026_03
21-387-03542,4.571428571428571,2026_03
21-387-03543,21.333333333333332,2026_03
21-387-03544,22.0,2026_03
21-387-03545,10.0,2026_03
21-387-03546,20.0,2026_03
21-396-03547,27.285714285714285,2026_03
21-396-03548,21.083333333333332,2026_03
21-396-03549,23.142857142857142,2026_03
21-396-03550,18.25,2026_03
21-396-03551,21.75,2026_03
21-396-03552,21.42105263157895,2026_03
21-396-03553,23.333333333333332,2026_03
21-396-03554,23.25,2026_03
21-396-03555,18.6,2026_03
21-396-03556,20.6,2026_03
21-396-03557,21.1,2026_03
21-372-03558,32.0,2026_03
21-372-03559,25.88888888888889,2026_03
21-372-03560,27.583333333333332,2026_03
21-372-03561,23.25,2026_03
21-372-03562,29.11111111111111,2026_03
21-372-03563,24.285714285714285,2026_03
21-372-03564,27.428571428571427,2026_03
21-372-03565,25.0,2026_03
21-372-03566,26.25,2026_03
21-392-03567,25.8,2026_03
21-392-03568,23.8,2026_03
21-392-03569,27.666666666666668,2026_03
21-392-03570,27.8,2026_03
21-392-03571,28.4,2026_03
21-392-03572,23.375,2026_03
21-374-03573,36.714285714285715,2026_03
21-374-03574,37.25,2026_03
21-374-03575,37.5,2026_03
21-374-03576,33.666666666666664,2026_03
21-374-03577,35.294117647058826,2026_03
21-374-03578,33.0,2026_03
21-374-03579,33.63636363636363,2026_03
21-374-03580,37.714285714285715,2026_03
21-374-03581,37.8,2026_03
21-374-03582,34.23076923076923,2026_03
21-374-03583,37.75,2026_03
21-374-03584,34.625,2026_03
