object_id,mean-heatday,timeperiod
21-384-03276,11.076923076923077,2022_09
21-384-03277,10.857142857142858,2022_09
21-384-03278,11.5,2022_09
21-384-03279,10.333333333333334,2022_09
21-384-03280,11.444444444444445,2022_09
21-384-03281,9.454545454545455,2022_09
21-384-03282,9.428571428571429,2022_09
21-384-03283,12.5,2022_09
21-393-03284,11.5,2022_09
21-393-03285,13.375,2022_09
21-393-03286,12.5,2022_09
21-393-03287,15.0,2022_09
21-393-03288,12.428571428571429,2022_09
21-393-03289,12.333333333333334,2022_09
21-393-03290,14.222222222222221,2022_09
21-393-03291,12.0,2022_09
21-393-03292,13.285714285714286,2022_09
21-393-03293,13.5,2022_09
21-393-03294,9.0,2022_09
21-393-03295,12.666666666666666,2022_09
21-393-03296,12.0,2022_09
21-393-03297,13.571428571428571,2022_09
21-377-03298,12.0,2022_09
21-377-03299,15.142857142857142,2022_09
21-377-03300,8.75,2022_09
21-377-03301,16.0,2022_09
21-377-03302,16.5,2022_09
21-377-03303,14.5,2022_09
21-377-03304,16.8,2022_09
21-377-03305,14.6,2022_09
21-377-03306,14.666666666666666,2022_09
21-377-03307,10.25,2022_09
21-377-03308,14.0,2022_09
21-377-03309,13.666666666666666,2022_09
21-370-03310,10.181818181818182,2022_09
21-370-03311,10.0,2022_09
21-370-03312,9.0,2022_09
21-370-03313,7.0,2022_09
21-370-03314,8.5,2022_09
21-370-03315,7.4,2022_09
21-370-03316,9.75,2022_09
21-370-03317,12.0,2022_09
21-370-03318,13.666666666666666,2022_09
21-370-03319,12.25,2022_09
21-370-03320,13.555555555555555,2022_09
21-370-03321,10.25,2022_09
21-378-03322,11.857142857142858,2022_09
21-378-03323,15.333333333333334,2022_09
21-378-03324,13.25,2022_09
21-378-03325,14.666666666666666,2022_09
21-378-03326,11.333333333333334,2022_09
21-378-03327,15.0,2022_09
21-378-03328,13.0,2022_09
21-391-03329,11.0,2022_09
21-391-03330,10.647058823529411,2022_09
21-391-03331,11.272727272727273,2022_09
21-381-03332,12.333333333333334,2022_09
21-381-03333,12.0,2022_09
21-381-03334,11.0,2022_09
21-381-03335,12.333333333333334,2022_09
21-381-03336,11.0,2022_09
21-381-03337,12.4,2022_09
21-381-03338,13.0,2022_09
21-381-03339,11.5,2022_09
21-381-03340,12.090909090909092,2022_09
21-381-03341,11.666666666666666,2022_09
21-381-03342,13.666666666666666,2022_09
21-381-03343,12.666666666666666,2022_09
21-381-03344,11.8,2022_09
21-381-03345,12.0,2022_09
21-373-03346,10.333333333333334,2022_09
21-373-03347,10.076923076923077,2022_09
21-373-03348,9.461538461538462,2022_09
21-383-03349,14.0,2022_09
21-383-03350,11.714285714285714,2022_09
21-383-03351,12.9,2022_09
21-383-03352,11.777777777777779,2022_09
21-383-03353,15.285714285714286,2022_09
21-383-03354,12.25,2022_09
21-383-03355,11.75,2022_09
21-383-03356,12.571428571428571,2022_09
21-389-03357,11.25,2022_09
21-389-03358,13.8,2022_09
21-389-03359,13.5,2022_09
21-389-03360,13.526315789473685,2022_09
21-389-03361,15.571428571428571,2022_09
21-389-03362,13.444444444444445,2022_09
21-389-03363,12.444444444444445,2022_09
21-388-03364,14.5,2022_09
21-388-03365,10.0,2022_09
21-388-03366,15.5,2022_09
21-388-03367,12.090909090909092,2022_09
21-388-03368,10.0,2022_09
21-388-03369,12.666666666666666,2022_09
21-388-03370,11.333333333333334,2022_09
21-388-03371,16.857142857142858,2022_09
21-388-03372,13.5,2022_09
21-388-03373,9.0,2022_09
21-388-03374,14.75,2022_09
21-388-03375,10.727272727272727,2022_09
21-388-03376,12.0,2022_09
21-388-03377,7.25,2022_09
21-388-03378,15.5,2022_09
21-388-03379,12.2,2022_09
21-388-03380,9.142857142857142,2022_09
21-388-03381,11.75,2022_09
21-388-03382,14.5,2022_09
21-388-03383,15.0,2022_09
21-388-03384,15.0,2022_09
21-388-03385,14.214285714285714,2022_09
21-380-03386,8.25,2022_09
21-380-03387,13.0,2022_09
21-380-03388,10.5,2022_09
21-380-03389,12.5,2022_09
21-380-03390,12.5,2022_09
21-380-03391,12.0,2022_09
21-380-03392,12.5,2022_09
21-380-03393,12.666666666666666,2022_09
21-382-03394,12.2,2022_09
21-382-03395,16.0,2022_09
21-382-03396,14.5,2022_09
21-382-03397,11.666666666666666,2022_09
21-382-03398,13.0,2022_09
21-382-03399,15.333333333333334,2022_09
21-382-03400,13.0,2022_09
21-382-03401,14.0,2022_09
21-382-03402,11.666666666666666,2022_09
21-382-03403,11.833333333333334,2022_09
21-371-03404,11.8,2022_09
21-371-03405,9.0,2022_09
21-371-03406,11.5,2022_09
21-371-03407,7.2,2022_09
21-371-03408,12.153846153846153,2022_09
21-395-03409,11.555555555555555,2022_09
21-395-03410,17.5,2022_09
21-395-03411,13.727272727272727,2022_09
21-395-03412,16.0,2022_09
21-395-03413,14.11111111111111,2022_09
21-395-03414,15.0,2022_09
21-395-03415,12.5,2022_09
21-395-03416,11.375,2022_09
21-395-03417,15.714285714285714,2022_09
21-395-03418,11.428571428571429,2022_09
21-395-03419,13.083333333333334,2022_09
21-395-03420,11.666666666666666,2022_09
21-395-03421,11.733333333333333,2022_09
21-390-03422,12.5,2022_09
21-390-03423,10.333333333333334,2022_09
21-390-03424,10.4,2022_09
21-390-03425,11.0,2022_09
21-390-03426,9.333333333333334,2022_09
21-390-03427,11.0,2022_09
21-390-03428,9.142857142857142,2022_09
21-390-03429,12.38888888888889,2022_09
21-390-03430,11.5,2022_09
21-390-03431,12.25,2022_09
21-390-03432,9.25,2022_09
21-390-03433,10.666666666666666,2022_09
21-379-03434,13.0,2022_09
21-379-03435,14.666666666666666,2022_09
21-379-03436,14.0,2022_09
21-379-03437,13.666666666666666,2022_09
21-379-03438,10.285714285714286,2022_09
21-379-03439,15.0,2022_09
21-379-03440,13.75,2022_09
21-379-03441,13.0,2022_09
21-379-03442,9.285714285714286,2022_09
21-375-03443,16.285714285714285,2022_09
21-375-03444,12.38888888888889,2022_09
21-375-03445,12.714285714285714,2022_09
21-375-03446,15.0,2022_09
21-375-03447,11.083333333333334,2022_09
21-375-03448,12.333333333333334,2022_09
21-375-03449,16.5,2022_09
21-375-03450,13.6,2022_09
21-375-03451,13.875,2022_09
21-375-03452,13.0,2022_09
21-375-03453,12.75,2022_09
21-375-03454,10.0,2022_09
21-375-03455,8.818181818181818,2022_09
21-386-03456,13.0,2022_09
21-386-03457,13.0,2022_09
21-386-03458,7.166666666666667,2022_09
21-386-03459,11.2,2022_09
21-386-03460,12.0,2022_09
21-386-03461,8.5,2022_09
21-386-03462,0.0,2022_09
