object_id,mean-heatday,timeperiod
21-384-03276,71.23076923076923,2024_10
21-384-03277,75.42857142857143,2024_10
21-384-03278,72.25,2024_10
21-384-03279,73.6,2024_10
21-384-03280,75.33333333333333,2024_10
21-384-03281,73.81818181818181,2024_10
21-384-03282,71.28571428571429,2024_10
21-384-03283,75.75,2024_10
21-393-03284,76.5,2024_10
21-393-03285,76.125,2024_10
21-393-03286,71.0,2024_10
21-393-03287,75.0,2024_10
21-393-03288,74.28571428571429,2024_10
21-393-03289,73.0,2024_10
21-393-03290,74.77777777777777,2024_10
21-393-03291,76.0,2024_10
21-393-03292,72.71428571428571,2024_10
21-393-03293,76.125,2024_10
21-393-03294,76.0,2024_10
21-393-03295,73.55555555555556,2024_10
21-393-03296,73.28571428571429,2024_10
21-393-03297,71.14285714285714,2024_10
21-377-03298,76.5,2024_10
21-377-03299,72.28571428571429,2024_10
21-377-03300,37.25,2024_10
21-377-03301,73.5,2024_10
21-377-03302,75.0,2024_10
21-377-03303,74.16666666666667,2024_10
21-377-03304,77.6,2024_10
21-377-03305,76.4,2024_10
21-377-03306,76.66666666666667,2024_10
21-377-03307,55.25,2024_10
21-377-03308,76.66666666666667,2024_10
21-377-03309,76.33333333333333,2024_10
21-370-03310,74.9090909090909,2024_10
21-370-03311,71.85714285714286,2024_10
21-370-03312,74.0,2024_10
21-370-03313,70.0,2024_10
21-370-03314,72.83333333333333,2024_10
21-370-03315,72.4,2024_10
21-370-03316,75.75,2024_10
21-370-03317,76.2,2024_10
21-370-03318,78.16666666666667,2024_10
21-370-03319,76.0,2024_10
21-370-03320,78.0,2024_10
21-370-03321,74.125,2024_10
21-378-03322,74.14285714285714,2024_10
21-378-03323,76.83333333333333,2024_10
21-378-03324,74.5,2024_10
21-378-03325,75.66666666666667,2024_10
21-378-03326,63.77777777777778,2024_10
21-378-03327,74.33333333333333,2024_10
21-378-03328,72.0,2024_10
21-391-03329,77.7,2024_10
21-391-03330,73.11764705882354,2024_10
21-391-03331,76.0909090909091,2024_10
21-381-03332,74.33333333333333,2024_10
21-381-03333,73.4,2024_10
21-381-03334,72.5,2024_10
21-381-03335,74.5,2024_10
21-381-03336,73.0,2024_10
21-381-03337,72.2,2024_10
21-381-03338,73.0,2024_10
21-381-03339,72.0,2024_10
21-381-03340,72.18181818181819,2024_10
21-381-03341,70.66666666666667,2024_10
21-381-03342,71.66666666666667,2024_10
21-381-03343,72.33333333333333,2024_10
21-381-03344,72.8,2024_10
21-381-03345,74.0,2024_10
21-373-03346,70.66666666666667,2024_10
21-373-03347,72.38461538461539,2024_10
21-373-03348,73.38461538461539,2024_10
21-383-03349,74.5,2024_10
21-383-03350,73.71428571428571,2024_10
21-383-03351,73.7,2024_10
