object_id,mean-heatday,timeperiod
21-384-03276,40.23076923076923,2025_03
21-384-03277,42.714285714285715,2025_03
21-384-03278,40.5,2025_03
21-384-03279,42.666666666666664,2025_03
21-384-03280,43.666666666666664,2025_03
21-384-03281,41.90909090909091,2025_03
21-384-03282,42.142857142857146,2025_03
21-384-03283,42.75,2025_03
21-393-03284,45.25,2025_03
21-393-03285,44.0,2025_03
21-393-03286,45.5,2025_03
21-393-03287,45.25,2025_03
21-393-03288,43.714285714285715,2025_03
21-393-03289,43.666666666666664,2025_03
21-393-03290,45.111111111111114,2025_03
21-393-03291,45.2,2025_03
21-393-03292,45.857142857142854,2025_03
21-393-03293,43.875,2025_03
21-393-03294,43.0,2025_03
21-393-03295,45.0,2025_03
21-393-03296,46.0,2025_03
21-393-03297,46.714285714285715,2025_03
21-377-03298,34.5,2025_03
21-377-03299,42.285714285714285,2025_03
21-377-03300,24.75,2025_03
21-377-03301,44.5,2025_03
21-377-03302,45.0,2025_03
21-377-03303,41.833333333333336,2025_03
21-377-03304,40.4,2025_03
21-377-03305,36.0,2025_03
21-377-03306,39.0,2025_03
21-377-03307,30.0,2025_03
21-377-03308,38.0,2025_03
21-377-03309,36.0,2025_03
21-370-03310,42.54545454545455,2025_03
21-370-03311,40.142857142857146,2025_03
21-370-03312,42.0,2025_03
21-370-03313,40.5,2025_03
21-370-03314,41.833333333333336,2025_03
21-370-03315,39.0,2025_03
21-370-03316,44.5,2025_03
21-370-03317,45.8,2025_03
21-370-03318,43.666666666666664,2025_03
21-370-03319,44.25,2025_03
21-370-03320,45.44444444444444,2025_03
21-370-03321,44.25,2025_03
21-378-03322,35.714285714285715,2025_03
21-378-03323,39.333333333333336,2025_03
21-378-03324,40.25,2025_03
21-378-03325,39.333333333333336,2025_03
21-378-03326,34.333333333333336,2025_03
21-378-03327,39.0,2025_03
21-378-03328,38.0,2025_03
21-391-03329,41.6,2025_03
21-391-03330,40.470588235294116,2025_03
21-391-03331,44.09090909090909,2025_03
21-381-03332,39.166666666666664,2025_03
21-381-03333,39.6,2025_03
21-381-03334,40.5,2025_03
21-381-03335,39.833333333333336,2025_03
21-381-03336,38.0,2025_03
21-381-03337,38.6,2025_03
21-381-03338,43.0,2025_03
