object_id,mean_heatday,timeperiod
21-384-03276,0.0,2024_01
21-384-03277,0.0,2024_01
21-384-03278,0.0,2024_01
21-384-03279,0.0,2024_01
21-384-03280,0.0,2024_01
21-384-03281,0.0,2024_01
21-384-03282,0.0,2024_01
21-384-03283,0.0,2024_01
21-393-03284,0.0,2024_01
21-393-03285,0.0,2024_01
21-393-03286,0.0,2024_01
21-393-03287,0.0,2024_01
21-393-03288,0.0,2024_01
21-393-03289,0.0,2024_01
21-393-03290,0.0,2024_01
21-393-03291,0.0,2024_01
21-393-03292,0.0,2024_01
21-393-03293,0.0,2024_01
21-393-03294,0.0,2024_01
21-393-03295,0.0,2024_01
21-393-03296,0.0,2024_01
21-393-03297,0.0,2024_01
21-377-03298,0.0,2024_01
21-377-03299,0.0,2024_01
21-377-03300,0.0,2024_01
21-377-03301,0.0,2024_01
21-377-03302,0.0,2024_01
21-377-03303,0.0,2024_01
21-377-03304,0.0,2024_01
21-377-03305,0.0,2024_01
21-377-03306,0.0,2024_01
21-377-03307,0.0,2024_01
21-377-03308,0.0,2024_01
21-377-03309,0.0,2024_01
21-370-03310,0.0,2024_01
21-370-03311,0.0,2024_01
21-370-03312,0.0,2024_01
21-370-03313,0.0,2024_01
21-370-03314,0.0,2024_01
21-370-03315,0.0,2024_01
21-370-03316,0.0,2024_01
21-370-03317,0.0,2024_01
21-370-03318,0.0,2024_01
21-370-03319,0.0,2024_01
21-370-03320,0.0,2024_01
21-370-03321,0.0,2024_01
21-378-03322,0.0,2024_01
21-378-03323,0.0,2024_01
21-378-03324,0.0,2024_01
21-378-03325,0.0,2024_01
21-378-03326,0.0,2024_01
21-378-03327,0.0,2024_01
21-378-03328,0.0,2024_01
21-391-03329,0.0,2024_01
21-391-03330,0.0,2024_01
21-391-03331,0.0,2024_01
21-381-03332,0.0,2024_01
21-381-03333,0.0,2024_01
21-381-03334,0.0,2024_01
21-381-03335,0.0,2024_01
21-381-03336,0.0,2024_01
21-381-03337,0.0,2024_01
21-381-03338,0.0,2024_01
21-381-03339,0.0,2024_01
21-381-03340,0.0,2024_01
21-381-03341,0.0,2024_01
21-381-03342,0.0,2024_01
21-381-03343,0.0,2024_01
21-381-03344,0.0,2024_01
21-381-03345,0.0,2024_01
21-373-03346,0.0,2024_01
21-373-03347,0.0,2024_01
21-373-03348,0.0,2024_01
21-383-03349,0.0,2024_01
21-383-03350,0.0,2024_01
21-383-03351,0.0,2024_01
21-383-03352,0.0,2024_01
21-383-03353,0.0,2024_01
21-383-03354,0.0,2024_01
21-383-03355,0.0,2024_01
21-383-03356,0.0,2024_01
21-389-03357,0.0,2024_01
21-389-03358,0.0,2024_01
21-389-03359,0.0,2024_01
21-389-03360,0.0,2024_01
21-389-03361,0.0,2024_01
21-389-03362,0.0,2024_01
21-389-03363,0.0,2024_01
21-388-03364,0.0,2024_01
21-388-03365,0.0,2024_01
21-388-03366,0.0,2024_01
21-388-03367,0.0,2024_01
21-388-03368,0.0,2024_01
21-388-03369,0.0,2024_01
21-388-03370,0.0,2024_01
21-388-03371,0.0,2024_01
21-388-03372,0.0,2024_01
21-388-03373,0.0,2024_01
21-388-03374,0.0,2024_01
21-388-03375,0.0,2024_01
21-388-03376,0.0,2024_01
21-388-03377,0.0,2024_01
21-388-03378,0.0,2024_01
21-388-03379,0.0,2024_01
21-388-03380,0.0,2024_01
21-388-03381,0.0,2024_01
21-388-03382,0.0,2024_01
21-388-03383,0.0,2024_01
21-388-03384,0.0,2024_01
21-388-03385,0.0,2024_01
21-380-03386,0.0,2024_01
21-380-03387,0.0,2024_01
21-380-03388,0.0,2024_01
21-380-03389,0.0,2024_01
21-380-03390,0.0,2024_01
21-380-03391,0.0,2024_01
21-380-03392,0.0,2024_01
21-380-03393,0.0,2024_01
21-382-03394,0.0,2024_01
21-382-03395,0.0,2024_01
21-382-03396,0.0,2024_01
