object_id,mean_heatday,timeperiod
21-384-03276,40.84615384615385,2024_07
21-384-03277,46.785714285714285,2024_07
21-384-03278,46.0,2024_07
21-384-03279,43.86666666666667,2024_07
21-384-03280,53.55555555555556,2024_07
21-384-03281,45.90909090909091,2024_07
21-384-03282,49.857142857142854,2024_07
21-384-03283,51.75,2024_07
21-393-03284,51.5,2024_07
21-393-03285,43.0,2024_07
21-393-03286,40.0,2024_07
21-393-03287,43.875,2024_07
21-393-03288,41.285714285714285,2024_07
21-393-03289,38.0,2024_07
21-393-03290,46.0,2024_07
21-393-03291,45.4,2024_07
21-393-03292,41.857142857142854,2024_07
21-393-03293,44.0,2024_07
21-393-03294,46.0,2024_07
21-393-03295,40.666666666666664,2024_07
21-393-03296,42.42857142857143,2024_07
21-393-03297,42.142857142857146,2024_07
21-377-03298,38.0,2024_07
21-377-03299,47.857142857142854,2024_07
21-377-03300,59.5,2024_07
21-377-03301,60.0,2024_07
21-377-03302,65.0,2024_07
21-377-03303,62.0,2024_07
21-377-03304,50.2,2024_07
21-377-03305,49.2,2024_07
21-377-03306,44.0,2024_07
21-377-03307,41.0,2024_07
21-377-03308,44.333333333333336,2024_07
21-377-03309,42.333333333333336,2024_07
21-370-03310,56.0,2024_07
21-370-03311,52.0,2024_07
21-370-03312,47.5,2024_07
21-370-03313,48.25,2024_07
21-370-03314,52.333333333333336,2024_07
21-370-03315,47.6,2024_07
21-370-03316,51.0,2024_07
21-370-03317,48.0,2024_07
21-370-03318,51.166666666666664,2024_07
21-370-03319,49.5,2024_07
21-370-03320,51.666666666666664,2024_07
21-370-03321,52.625,2024_07
21-378-03322,43.857142857142854,2024_07
21-378-03323,46.0,2024_07
21-378-03324,48.25,2024_07
21-378-03325,45.0,2024_07
21-378-03326,49.875,2024_07
21-378-03327,50.0,2024_07
21-378-03328,47.333333333333336,2024_07
21-391-03329,45.7,2024_07
21-391-03330,43.11764705882353,2024_07
21-391-03331,40.81818181818182,2024_07
21-381-03332,49.0,2024_07
21-381-03333,44.0,2024_07
21-381-03334,48.0,2024_07
21-381-03335,48.833333333333336,2024_07
21-381-03336,48.0,2024_07
21-381-03337,49.2,2024_07
21-381-03338,55.0,2024_07
21-381-03339,53.0,2024_07
21-381-03340,47.45454545454545,2024_07
21-381-03341,53.0,2024_07
21-381-03342,53.0,2024_07
21-381-03343,51.0,2024_07
21-381-03344,48.8,2024_07
21-381-03345,45.0,2024_07
21-373-03346,48.0,2024_07
21-373-03347,50.0,2024_07
21-373-03348,54.38461538461539,2024_07
21-383-03349,51.5,2024_07
21-383-03350,48.142857142857146,2024_07
21-383-03351,50.7,2024_07
21-383-03352,45.77777777777778,2024_07
21-383-03353,53.142857142857146,2024_07
21-383-03354,52.5,2024_07
21-383-03355,49.75,2024_07
21-383-03356,52.42857142857143,2024_07
21-389-03357,35.75,2024_07
21-389-03358,42.8,2024_07
21-389-03359,43.0,2024_07
21-389-03360,37.473684210526315,2024_07
21-389-03361,44.285714285714285,2024_07
21-389-03362,37.666666666666664,2024_07
21-389-03363,41.44444444444444,2024_07
21-388-03364,50.0,2024_07
21-388-03365,40.5,2024_07
21-388-03366,51.5,2024_07
21-388-03367,52.36363636363637,2024_07
21-388-03368,37.8,2024_07
21-388-03369,53.333333333333336,2024_07
21-388-03370,57.5,2024_07
21-388-03371,51.857142857142854,2024_07
21-388-03372,39.666666666666664,2024_07
21-388-03373,52.333333333333336,2024_07
21-388-03374,52.5,2024_07
21-388-03375,42.63636363636363,2024_07
21-388-03376,45.5,2024_07
21-388-03377,39.0,2024_07
21-388-03378,55.166666666666664,2024_07
21-388-03379,40.0,2024_07
21-388-03380,39.714285714285715,2024_07
21-388-03381,48.5,2024_07
21-388-03382,57.5,2024_07
21-388-03383,42.666666666666664,2024_07
21-388-03384,46.0,2024_07
21-388-03385,49.0,2024_07
21-380-03386,46.666666666666664,2024_07
21-380-03387,53.0,2024_07
21-380-03388,54.0,2024_07
21-380-03389,52.5,2024_07
21-380-03390,50.75,2024_07
21-380-03391,50.0,2024_07
21-380-03392,52.5,2024_07
21-380-03393,57.666666666666664,2024_07
21-382-03394,52.0,2024_07
21-382-03395,55.0,2024_07
21-382-03396,52.5,2024_07
21-382-03397,50.666666666666664,2024_07
21-382-03398,48.6,2024_07
21-382-03399,53.0,2024_07
21-382-03400,52.0,2024_07
21-382-03401,51.5,2024_07
21-382-03402,48.666666666666664,2024_07
21-382-03403,49.0,2024_07
21-371-03404,58.8,2024_07
21-371-03405,55.0,2024_07
21-371-03406,59.25,2024_07
21-371-03407,54.6,2024_07
21-371-03408,58.07692307692308,2024_07
21-395-03409,29.333333333333332,2024_07
21-395-03410,41.75,2024_07
21-395-03411,44.63636363636363,2024_07
21-395-03412,24.375,2024_07
21-395-03413,33.0,2024_07
21-395-03414,30.0,2024_07
21-395-03415,37.0,2024_07
21-395-03416,36.25,2024_07
21-395-03417,36.57142857142857,2024_07
21-395-03418,33.714285714285715,2024_07
21-395-03419,39.083333333333336,2024_07
21-395-03420,32.833333333333336,2024_07
21-395-03421,26.466666666666665,2024_07
21-390-03422,39.3,2024_07
21-390-03423,37.666666666666664,2024_07
21-390-03424,39.733333333333334,2024_07
21-390-03425,50.0,2024_07
21-390-03426,33.77777777777778,2024_07
21-390-03427,45.55555555555556,2024_07
21-390-03428,32.5,2024_07
21-390-03429,41.388888888888886,2024_07
21-390-03430,44.25,2024_07
21-390-03431,51.375,2024_07
21-390-03432,37.25,2024_07
21-390-03433,36.55555555555556,2024_07
21-379-03434,53.75,2024_07
21-379-03435,53.0,2024_07
21-379-03436,56.5,2024_07
21-379-03437,49.333333333333336,2024_07
21-379-03438,48.6,2024_07
21-379-03439,49.0,2024_07
21-379-03440,49.25,2024_07
21-379-03441,54.333333333333336,2024_07
21-379-03442,52.4,2024_07
21-375-03443,48.857142857142854,2024_07
21-375-03444,56.94444444444444,2024_07
21-375-03445,49.285714285714285,2024_07
21-375-03446,46.5,2024_07
21-375-03447,47.583333333333336,2024_07
21-375-03448,47.6,2024_07
21-375-03449,51.833333333333336,2024_07
21-375-03450,50.0,2024_07
21-375-03451,62.25,2024_07
21-375-03452,51.111111111111114,2024_07
21-375-03453,52.0,2024_07
21-375-03454,38.5,2024_07
21-375-03455,46.90909090909091,2024_07
21-386-03456,53.666666666666664,2024_07
21-386-03457,53.0,2024_07
21-386-03458,40.2,2024_07
21-386-03459,52.0,2024_07
21-386-03460,50.2,2024_07
21-386-03461,45.5,2024_07
21-386-03462,,2024_07
21-386-03463,51.0,2024_07
21-386-03464,49.666666666666664,2024_07
21-386-03465,44.0,2024_07
21-398-03466,39.4,2024_07
21-398-03467,27.307692307692307,2024_07
21-398-03468,27.714285714285715,2024_07
21-398-03469,23.23076923076923,2024_07
21-398-03470,24.833333333333332,2024_07
21-398-03471,22.571428571428573,2024_07
21-398-03472,26.5,2024_07
21-398-03473,27.166666666666668,2024_07
21-398-03474,27.625,2024_07
21-398-03475,24.857142857142858,2024_07
21-398-03476,31.1,2024_07
21-398-03477,45.875,2024_07
21-398-03478,39.142857142857146,2024_07
21-398-03479,34.75,2024_07
21-399-03480,27.875,2024_07
21-399-03481,19.666666666666668,2024_07
21-399-03482,31.75,2024_07
21-399-03483,28.533333333333335,2024_07
21-399-03484,30.0,2024_07
21-399-03485,24.9,2024_07
21-399-03486,31.545454545454547,2024_07
21-376-03487,57.4,2024_07
21-376-03488,58.666666666666664,2024_07
21-376-03489,58.63636363636363,2024_07
21-376-03490,58.0,2024_07
21-376-03491,46.25,2024_07
21-376-03492,67.0,2024_07
21-376-03493,63.2,2024_07
21-376-03494,64.0,2024_07
21-376-03495,57.666666666666664,2024_07
21-376-03496,47.81818181818182,2024_07
21-376-03497,57.5,2024_07
21-376-03498,45.18181818181818,2024_07
21-376-03499,53.6,2024_07
21-376-03500,60.4,2024_07
21-376-03501,48.333333333333336,2024_07
21-376-03502,56.2,2024_07
21-376-03503,59.333333333333336,2024_07
21-376-03504,52.5,2024_07
21-376-03505,55.0,2024_07
21-376-03506,61.25,2024_07
21-376-03507,63.0,2024_07
21-376-03508,49.333333333333336,2024_07
21-376-03509,62.0,2024_07
21-376-03510,55.416666666666664,2024_07
21-376-03511,60.0,2024_07
21-376-03512,51.833333333333336,2024_07
21-397-03513,34.75,2024_07
21-397-03514,24.8,2024_07
21-397-03515,27.727272727272727,2024_07
21-397-03516,27.3,2024_07
21-397-03517,26.4,2024_07
21-397-03518,24.5,2024_07
21-397-03519,24.428571428571427,2024_07
21-397-03520,23.454545454545453,2024_07
21-397-03521,24.333333333333332,2024_07
21-397-03522,23.076923076923077,2024_07
21-385-03523,45.0,2024_07
21-385-03524,50.857142857142854,2024_07
21-385-03525,56.0,2024_07
21-385-03526,49.0,2024_07
21-385-03527,43.6,2024_07
21-385-03528,48.714285714285715,2024_07
21-385-03529,39.42857142857143,2024_07
21-385-03530,42.5,2024_07
21-394-03531,39.888888888888886,2024_07
21-394-03532,38.4,2024_07
21-394-03533,39.4,2024_07
21-394-03534,44.642857142857146,2024_07
21-394-03535,40.09090909090909,2024_07
21-387-03536,47.0,2024_07
21-387-03537,51.6,2024_07
21-387-03538,49.5,2024_07
21-387-03539,48.0,2024_07
21-387-03540,49.0,2024_07
21-387-03541,50.25,2024_07
21-387-03542,56.666666666666664,2024_07
21-387-03543,48.166666666666664,2024_07
21-387-03544,47.5,2024_07
21-387-03545,46.5,2024_07
21-387-03546,52.0,2024_07
21-396-03547,45.857142857142854,2024_07
21-396-03548,39.583333333333336,2024_07
21-396-03549,55.142857142857146,2024_07
21-396-03550,49.875,2024_07
21-396-03551,28.25,2024_07
21-396-03552,27.42105263157895,2024_07
21-396-03553,48.5,2024_07
21-396-03554,32.625,2024_07
21-396-03555,48.0,2024_07
21-396-03556,47.8,2024_07
21-396-03557,32.3,2024_07
21-372-03558,54.625,2024_07
21-372-03559,53.666666666666664,2024_07
21-372-03560,55.5,2024_07
21-372-03561,48.375,2024_07
21-372-03562,57.888888888888886,2024_07
21-372-03563,52.42857142857143,2024_07
21-372-03564,46.42857142857143,2024_07
21-372-03565,48.2,2024_07
21-372-03566,56.75,2024_07
21-392-03567,50.8,2024_07
21-392-03568,46.2,2024_07
21-392-03569,50.0,2024_07
21-392-03570,48.0,2024_07
21-392-03571,46.0,2024_07
21-392-03572,48.75,2024_07
21-374-03573,55.714285714285715,2024_07
21-374-03574,57.75,2024_07
21-374-03575,56.75,2024_07
21-374-03576,42.5,2024_07
21-374-03577,50.8235294117647,2024_07
21-374-03578,58.23076923076923,2024_07
21-374-03579,61.0,2024_07
21-374-03580,58.857142857142854,2024_07
21-374-03581,61.0,2024_07
21-374-03582,50.38461538461539,2024_07
21-374-03583,50.75,2024_07
21-374-03584,56.875,2024_07
21-374-03585,58.375,2024_07
21-374-03586,53.75,2024_07
21-374-03587,53.714285714285715,2024_07
21-374-03588,54.4,2024_07
21-374-03589,52.5,2024_07
