object_id,mean_heatday,timeperiod
21-384-03276,36.38461538461539,2024_03
21-384-03277,37.285714285714285,2024_03
21-384-03278,43.75,2024_03
21-384-03279,40.13333333333333,2024_03
21-384-03280,44.666666666666664,2024_03
21-384-03281,36.45454545454545,2024_03
21-384-03282,37.642857142857146,2024_03
21-384-03283,44.75,2024_03
21-393-03284,31.5,2024_03
21-393-03285,32.375,2024_03
21-393-03286,30.5,2024_03
21-393-03287,28.375,2024_03
21-393-03288,33.857142857142854,2024_03
21-393-03289,37.666666666666664,2024_03
21-393-03290,28.11111111111111,2024_03
21-393-03291,32.4,2024_03
21-393-03292,31.571428571428573,2024_03
21-393-03293,31.0,2024_03
21-393-03294,35.0,2024_03
21-393-03295,36.55555555555556,2024_03
21-393-03296,35.0,2024_03
21-393-03297,26.571428571428573,2024_03
21-377-03298,38.0,2024_03
21-377-03299,42.142857142857146,2024_03
21-377-03300,46.0,2024_03
21-377-03301,47.0,2024_03
21-377-03302,45.5,2024_03
21-377-03303,43.5,2024_03
21-377-03304,42.2,2024_03
21-377-03305,36.0,2024_03
21-377-03306,36.0,2024_03
21-377-03307,40.666666666666664,2024_03
21-377-03308,44.0,2024_03
21-377-03309,38.666666666666664,2024_03
21-370-03310,32.09090909090909,2024_03
21-370-03311,33.285714285714285,2024_03
21-370-03312,31.5,2024_03
21-370-03313,32.25,2024_03
21-370-03314,31.666666666666668,2024_03
21-370-03315,32.8,2024_03
21-370-03316,30.25,2024_03
21-370-03317,32.2,2024_03
21-370-03318,33.166666666666664,2024_03
21-370-03319,31.75,2024_03
21-370-03320,31.88888888888889,2024_03
21-370-03321,31.375,2024_03
21-378-03322,42.0,2024_03
21-378-03323,45.0,2024_03
21-378-03324,45.0,2024_03
21-378-03325,43.333333333333336,2024_03
21-378-03326,42.375,2024_03
21-378-03327,46.333333333333336,2024_03
21-378-03328,42.666666666666664,2024_03
21-391-03329,37.4,2024_03
21-391-03330,34.64705882352941,2024_03
21-391-03331,35.81818181818182,2024_03
21-381-03332,44.666666666666664,2024_03
21-381-03333,46.0,2024_03
21-381-03334,47.5,2024_03
21-381-03335,48.5,2024_03
21-381-03336,44.0,2024_03
21-381-03337,44.2,2024_03
21-381-03338,46.666666666666664,2024_03
21-381-03339,45.0,2024_03
21-381-03340,42.36363636363637,2024_03
21-381-03341,43.0,2024_03
21-381-03342,46.333333333333336,2024_03
21-381-03343,45.333333333333336,2024_03
21-381-03344,45.0,2024_03
21-381-03345,45.0,2024_03
21-373-03346,38.083333333333336,2024_03
21-373-03347,39.92307692307692,2024_03
21-373-03348,32.30769230769231,2024_03
21-383-03349,46.75,2024_03
21-383-03350,42.57142857142857,2024_03
21-383-03351,43.7,2024_03
21-383-03352,44.888888888888886,2024_03
21-383-03353,45.42857142857143,2024_03
21-383-03354,40.75,2024_03
21-383-03355,43.75,2024_03
21-383-03356,43.857142857142854,2024_03
21-389-03357,31.75,2024_03
21-389-03358,29.2,2024_03
21-389-03359,34.5,2024_03
21-389-03360,27.0,2024_03
21-389-03361,26.428571428571427,2024_03
21-389-03362,27.444444444444443,2024_03
21-389-03363,28.88888888888889,2024_03
21-388-03364,38.5,2024_03
21-388-03365,44.0,2024_03
21-388-03366,35.0,2024_03
21-388-03367,35.09090909090909,2024_03
21-388-03368,38.2,2024_03
21-388-03369,45.666666666666664,2024_03
21-388-03370,41.0,2024_03
21-388-03371,35.285714285714285,2024_03
21-388-03372,34.166666666666664,2024_03
21-388-03373,49.0,2024_03
21-388-03374,41.75,2024_03
21-388-03375,36.27272727272727,2024_03
21-388-03376,43.5,2024_03
21-388-03377,47.666666666666664,2024_03
21-388-03378,41.833333333333336,2024_03
21-388-03379,31.8,2024_03
21-388-03380,41.285714285714285,2024_03
21-388-03381,44.25,2024_03
21-388-03382,45.0,2024_03
21-388-03383,36.333333333333336,2024_03
21-388-03384,38.0,2024_03
21-388-03385,34.785714285714285,2024_03
21-380-03386,44.0,2024_03
21-380-03387,44.0,2024_03
21-380-03388,44.2,2024_03
21-380-03389,44.0,2024_03
21-380-03390,46.0,2024_03
21-380-03391,45.0,2024_03
21-380-03392,44.0,2024_03
21-380-03393,45.333333333333336,2024_03
21-382-03394,47.0,2024_03
21-382-03395,45.0,2024_03
21-382-03396,45.0,2024_03
21-382-03397,47.0,2024_03
21-382-03398,46.6,2024_03
21-382-03399,47.666666666666664,2024_03
