object_id,mean-heatday,timeperiod
21-384-03276,39.53846153846154,2024_06
21-384-03277,49.714285714285715,2024_06
21-384-03278,41.75,2024_06
21-384-03279,47.333333333333336,2024_06
21-384-03280,46.55555555555556,2024_06
21-384-03281,49.90909090909091,2024_06
21-384-03282,48.357142857142854,2024_06
21-384-03283,45.0,2024_06
21-393-03284,54.0,2024_06
21-393-03285,50.125,2024_06
21-393-03286,49.0,2024_06
21-393-03287,51.5,2024_06
21-393-03288,49.285714285714285,2024_06
21-393-03289,48.666666666666664,2024_06
21-393-03290,50.0,2024_06
21-393-03291,50.8,2024_06
21-393-03292,49.142857142857146,2024_06
21-393-03293,52.375,2024_06
21-393-03294,51.0,2024_06
21-393-03295,49.55555555555556,2024_06
21-393-03296,49.0,2024_06
21-393-03297,50.0,2024_06
21-377-03298,42.0,2024_06
21-377-03299,56.57142857142857,2024_06
21-377-03300,30.25,2024_06
21-377-03301,60.5,2024_06
21-377-03302,58.5,2024_06
21-377-03303,59.333333333333336,2024_06
21-377-03304,46.4,2024_06
21-377-03305,45.0,2024_06
21-377-03306,42.666666666666664,2024_06
21-377-03307,40.0,2024_06
21-377-03308,44.0,2024_06
21-377-03309,41.333333333333336,2024_06
21-370-03310,52.72727272727273,2024_06
21-370-03311,53.57142857142857,2024_06
21-370-03312,51.5,2024_06
21-370-03313,52.5,2024_06
21-370-03314,50.666666666666664,2024_06
21-370-03315,54.6,2024_06
21-370-03316,53.0,2024_06
21-370-03317,51.4,2024_06
21-370-03318,51.333333333333336,2024_06
21-370-03319,51.25,2024_06
21-370-03320,49.111111111111114,2024_06
21-370-03321,50.375,2024_06
21-378-03322,43.857142857142854,2024_06
21-378-03323,42.166666666666664,2024_06
21-378-03324,37.25,2024_06
21-378-03325,41.0,2024_06
21-378-03326,38.55555555555556,2024_06
21-378-03327,37.666666666666664,2024_06
21-378-03328,40.666666666666664,2024_06
21-391-03329,53.2,2024_06
21-391-03330,46.64705882352941,2024_06
21-391-03331,49.90909090909091,2024_06
21-381-03332,34.666666666666664,2024_06
21-381-03333,35.0,2024_06
21-381-03334,34.5,2024_06
21-381-03335,35.0,2024_06
21-381-03336,36.0,2024_06
21-381-03337,37.2,2024_06
21-381-03338,35.666666666666664,2024_06
21-381-03339,35.0,2024_06
21-381-03340,38.72727272727273,2024_06
21-381-03341,35.333333333333336,2024_06
21-381-03342,36.0,2024_06
21-381-03343,37.0,2024_06
21-381-03344,36.0,2024_06
21-381-03345,35.0,2024_06
21-373-03346,48.333333333333336,2024_06
21-373-03347,49.15384615384615,2024_06
21-373-03348,50.07692307692308,2024_06
21-383-03349,40.75,2024_06
21-383-03350,36.857142857142854,2024_06
21-383-03351,36.8,2024_06
21-383-03352,34.77777777777778,2024_06
21-383-03353,40.714285714285715,2024_06
21-383-03354,42.916666666666664,2024_06
21-383-03355,37.25,2024_06
21-383-03356,40.714285714285715,2024_06
21-389-03357,19.25,2024_06
21-389-03358,18.4,2024_06
21-389-03359,20.0,2024_06
21-389-03360,29.36842105263158,2024_06
21-389-03361,25.428571428571427,2024_06
21-389-03362,20.555555555555557,2024_06
21-389-03363,15.222222222222221,2024_06
21-388-03364,37.5,2024_06
21-388-03365,28.5,2024_06
21-388-03366,42.5,2024_06
21-388-03367,43.09090909090909,2024_06
21-388-03368,34.8,2024_06
21-388-03369,29.0,2024_06
21-388-03370,15.333333333333334,2024_06
21-388-03371,36.714285714285715,2024_06
21-388-03372,28.833333333333332,2024_06
21-388-03373,22.0,2024_06
21-388-03374,29.0,2024_06
21-388-03375,40.45454545454545,2024_06
21-388-03376,27.5,2024_06
21-388-03377,21.75,2024_06
21-388-03378,27.166666666666668,2024_06
21-388-03379,16.8,2024_06
21-388-03380,31.714285714285715,2024_06
21-388-03381,25.0,2024_06
21-388-03382,29.0,2024_06
21-388-03383,31.666666666666668,2024_06
21-388-03384,30.0,2024_06
21-388-03385,41.57142857142857,2024_06
21-380-03386,25.5,2024_06
21-380-03387,35.0,2024_06
21-380-03388,31.5,2024_06
21-380-03389,34.5,2024_06
21-380-03390,37.25,2024_06
21-380-03391,36.0,2024_06
21-380-03392,34.5,2024_06
21-380-03393,36.333333333333336,2024_06
21-382-03394,36.6,2024_06
21-382-03395,36.0,2024_06
21-382-03396,36.5,2024_06
21-382-03397,36.666666666666664,2024_06
21-382-03398,40.4,2024_06
21-382-03399,39.333333333333336,2024_06
21-382-03400,39.0,2024_06
21-382-03401,39.0,2024_06
21-382-03402,36.666666666666664,2024_06
21-382-03403,38.5,2024_06
21-371-03404,59.0,2024_06
21-371-03405,59.5,2024_06
21-371-03406,59.5,2024_06
21-371-03407,58.6,2024_06
21-371-03408,56.15384615384615,2024_06
21-395-03409,37.44444444444444,2024_06
21-395-03410,38.75,2024_06
21-395-03411,45.72727272727273,2024_06
21-395-03412,26.5,2024_06
21-395-03413,38.44444444444444,2024_06
21-395-03414,36.0,2024_06
21-395-03415,48.0,2024_06
21-395-03416,48.125,2024_06
21-395-03417,31.0,2024_06
21-395-03418,31.785714285714285,2024_06
21-395-03419,44.333333333333336,2024_06
21-395-03420,42.0,2024_06
21-395-03421,25.4,2024_06
21-390-03422,39.3,2024_06
21-390-03423,37.833333333333336,2024_06
21-390-03424,30.533333333333335,2024_06
21-390-03425,39.0,2024_06
21-390-03426,32.666666666666664,2024_06
21-390-03427,42.333333333333336,2024_06
21-390-03428,30.357142857142858,2024_06
21-390-03429,41.166666666666664,2024_06
21-390-03430,43.25,2024_06
21-390-03431,39.875,2024_06
21-390-03432,34.5,2024_06
21-390-03433,36.77777777777778,2024_06
21-379-03434,39.0,2024_06
21-379-03435,36.333333333333336,2024_06
21-379-03436,36.5,2024_06
21-379-03437,35.666666666666664,2024_06
21-379-03438,27.428571428571427,2024_06
21-379-03439,37.0,2024_06
21-379-03440,37.0,2024_06
21-379-03441,39.666666666666664,2024_06
21-379-03442,30.0,2024_06
21-375-03443,46.714285714285715,2024_06
21-375-03444,50.22222222222222,2024_06
21-375-03445,50.714285714285715,2024_06
21-375-03446,43.25,2024_06
21-375-03447,49.333333333333336,2024_06
21-375-03448,42.266666666666666,2024_06
21-375-03449,43.5,2024_06
21-375-03450,50.0,2024_06
21-375-03451,53.0,2024_06
21-375-03452,50.77777777777778,2024_06
21-375-03453,53.5,2024_06
21-375-03454,48.5,2024_06
21-375-03455,46.90909090909091,2024_06
21-386-03456,39.333333333333336,2024_06
21-386-03457,37.0,2024_06
21-386-03458,23.666666666666668,2024_06
21-386-03459,34.2,2024_06
21-386-03460,37.2,2024_06
21-386-03461,35.0,2024_06
21-386-03462,0.0,2024_06
21-386-03463,38.0,2024_06
21-386-03464,36.666666666666664,2024_06
21-386-03465,27.4,2024_06
21-398-03466,21.6,2024_06
21-398-03467,14.76923076923077,2024_06
21-398-03468,19.428571428571427,2024_06
21-398-03469,13.846153846153847,2024_06
21-398-03470,15.666666666666666,2024_06
21-398-03471,10.142857142857142,2024_06
21-398-03472,17.166666666666668,2024_06
21-398-03473,17.166666666666668,2024_06
21-398-03474,13.0,2024_06
21-398-03475,14.714285714285714,2024_06
21-398-03476,6.5,2024_06
21-398-03477,22.625,2024_06
21-398-03478,12.714285714285714,2024_06
21-398-03479,9.625,2024_06
21-399-03480,13.9375,2024_06
21-399-03481,12.333333333333334,2024_06
21-399-03482,14.25,2024_06
21-399-03483,9.933333333333334,2024_06
21-399-03484,17.22222222222222,2024_06
21-399-03485,14.1,2024_06
21-399-03486,16.454545454545453,2024_06
21-376-03487,55.2,2024_06
21-376-03488,60.0,2024_06
21-376-03489,55.81818181818182,2024_06
21-376-03490,58.0,2024_06
21-376-03491,55.75,2024_06
21-376-03492,60.0,2024_06
21-376-03493,59.0,2024_06
21-376-03494,57.0,2024_06
21-376-03495,60.666666666666664,2024_06
21-376-03496,54.27272727272727,2024_06
21-376-03497,53.25,2024_06
21-376-03498,50.63636363636363,2024_06
21-376-03499,52.4,2024_06
21-376-03500,56.2,2024_06
21-376-03501,57.333333333333336,2024_06
21-376-03502,57.2,2024_06
21-376-03503,57.0,2024_06
21-376-03504,52.0,2024_06
21-376-03505,58.0,2024_06
21-376-03506,52.833333333333336,2024_06
21-376-03507,51.5,2024_06
21-376-03508,53.0,2024_06
21-376-03509,57.25,2024_06
21-376-03510,49.5,2024_06
21-376-03511,60.0,2024_06
21-376-03512,52.333333333333336,2024_06
21-397-03513,30.5,2024_06
21-397-03514,18.4,2024_06
21-397-03515,21.727272727272727,2024_06
21-397-03516,18.7,2024_06
21-397-03517,19.4,2024_06
21-397-03518,23.0,2024_06
21-397-03519,20.428571428571427,2024_06
21-397-03520,23.727272727272727,2024_06
21-397-03521,22.333333333333332,2024_06
21-397-03522,20.153846153846153,2024_06
21-385-03523,35.0,2024_06
21-385-03524,42.785714285714285,2024_06
21-385-03525,47.333333333333336,2024_06
21-385-03526,36.6,2024_06
21-385-03527,33.4,2024_06
21-385-03528,40.42857142857143,2024_06
21-385-03529,32.142857142857146,2024_06
21-385-03530,29.5,2024_06
21-394-03531,40.111111111111114,2024_06
21-394-03532,49.6,2024_06
21-394-03533,44.6,2024_06
21-394-03534,45.142857142857146,2024_06
21-394-03535,40.09090909090909,2024_06
21-387-03536,32.0,2024_06
21-387-03537,30.2,2024_06
21-387-03538,38.0,2024_06
21-387-03539,25.8,2024_06
21-387-03540,34.0,2024_06
21-387-03541,38.5,2024_06
21-387-03542,6.857142857142857,2024_06
21-387-03543,36.0,2024_06
21-387-03544,36.5,2024_06
21-387-03545,14.75,2024_06
21-387-03546,31.5,2024_06
21-396-03547,29.0,2024_06
21-396-03548,33.666666666666664,2024_06
21-396-03549,34.857142857142854,2024_06
21-396-03550,27.75,2024_06
21-396-03551,26.5,2024_06
21-396-03552,21.42105263157895,2024_06
21-396-03553,24.5,2024_06
21-396-03554,35.0,2024_06
21-396-03555,35.2,2024_06
21-396-03556,32.2,2024_06
21-396-03557,22.3,2024_06
21-372-03558,57.75,2024_06
21-372-03559,55.44444444444444,2024_06
21-372-03560,53.583333333333336,2024_06
21-372-03561,53.625,2024_06
21-372-03562,57.22222222222222,2024_06
21-372-03563,55.42857142857143,2024_06
21-372-03564,51.142857142857146,2024_06
21-372-03565,53.46666666666667,2024_06
21-372-03566,57.5,2024_06
21-392-03567,54.0,2024_06
21-392-03568,55.2,2024_06
21-392-03569,53.333333333333336,2024_06
21-392-03570,52.8,2024_06
21-392-03571,52.0,2024_06
21-392-03572,53.125,2024_06
21-374-03573,57.714285714285715,2024_06
21-374-03574,61.5,2024_06
21-374-03575,58.75,2024_06
21-374-03576,44.833333333333336,2024_06
21-374-03577,49.35294117647059,2024_06
21-374-03578,56.07692307692308,2024_06
21-374-03579,53.54545454545455,2024_06
21-374-03580,57.857142857142854,2024_06
21-374-03581,60.4,2024_06
21-374-03582,51.07692307692308,2024_06
21-374-03583,53.75,2024_06
21-374-03584,58.0,2024_06
21-374-03585,58.5,2024_06
21-374-03586,56.75,2024_06
21-374-03587,59.0,2024_06
21-374-03588,60.0,2024_06
21-374-03589,60.0,2024_06
