district,tmax_mean_c,tmin_mean_c,tmax_abs_c,tmin_abs_c,heatwave_days_count
Araria,28.72439647779302,19.70937004171906,36.30689086415161,8.499763249295603,0.0
Arwal,29.978565344109782,20.04067495915909,43.98730865649965,7.038846510983609,5.947752808988764
Aurangabad,29.987647801276665,19.95837474997876,43.955126342577124,6.944068816585732,6.453093170365604
Banka,28.779914658783547,19.846753086278458,37.7664758021886,7.346924432398097,0.0
Begusarai,29.399657904556086,20.369693680600367,38.233880511414,8.346894564248062,0.0
Kaimur (Bhabua),29.52469684778678,19.79651690681119,43.63479762061622,6.963454023473329,5.845467105962375
Bhagalpur,29.07818741732449,20.350307303475958,37.196957098119796,8.286650640583352,0.0
Bhojpur,29.832567537820967,20.234271762459482,43.914888785386914,7.3590429462278255,4.621845018450186
Buxar,29.940045882086913,20.15661824057685,44.01285806576183,7.220122301119859,5.589780719900705
Darbhanga,29.378460013093584,19.965102990256163,38.0684694079415,7.74585360893389,0.0
Gaya,29.807463630471766,19.834065756789677,43.83421125113323,6.905000583381955,5.635349635349637
Gopalganj,29.48087798629975,19.939819272404808,42.3569002738366,7.63650774274556,2.7707760989010994
Munger,29.097498878366913,20.21026689660361,37.47679603841066,7.8794241069370505,0.0
Muzaffarpur,29.42581719557659,20.07658065090814,39.73512746304325,7.852512589217173,0.6650469353948092
Nalanda,29.70020958124729,20.150705120357653,42.4005494461711,7.182010533320996,2.098218296152119
Jehanabad,29.93833233457912,20.01056837543314,43.77182658922914,6.992031356529083,4.895731016244806
Jamui,28.715767053678086,19.593072015054467,38.72646057772046,6.954556646315394,0.13480700950635668
Katihar,29.017193343896828,20.299233339489902,36.72486359080461,8.61765468732487,0.0
Khagaria,29.246160194123632,20.384674681165375,37.70244110999079,8.625613222113227,0.0
Kishanganj,28.296780043507102,19.462543819683813,35.88166382467798,8.1901887881899,0.0
Nawada,29.38812569494759,19.782614455717912,42.6733726460272,6.848624354473895,2.4137539073600456
Pashchim Champaran,28.65812720500645,19.155978739448397,39.76412320653035,7.292162196010537,0.7292608348843391
Patna,29.651141459561227,20.317246669002127,42.427314654225434,7.84755544127413,2.1520352035203514
Purbi Champaran,29.25335904832061,19.866330486685218,40.1102876128734,7.542597418858247,0.7748921559996481
Purnia,29.028666943874565,20.041772461165127,36.94120256775197,8.530458533852135,0.0
Rohtas,29.653721615604315,19.781980437739904,43.67859032827472,6.774849662679764,5.940279426536388
Saharsa,29.24540862017379,20.15887930677727,37.56232990235099,8.364575722299625,0.0
Samastipur,29.443205856086706,20.170180118106295,38.71725536272904,7.941705479406599,0.054000528122524434
Saran,29.5993426700365,20.343714602573584,42.83173296592601,8.218279023673128,2.2710354911604416
Lakhisarai,29.241552721759657,20.032126922866784,38.75636362324544,7.272103567176063,0.08422887017136219
Madhepura,29.172943918233315,20.066641543257568,37.42825003026125,8.337309450841481,0.0
Madhubani,29.09853802823271,19.799699735533345,37.36745199870836,7.868700383585703,0.0
Sheikhpura,29.548288515249528,20.076025284518348,41.21653874411632,6.965486624083767,1.8287493513233006
Sheohar,29.18210750151518,19.84096486631161,39.01421768308627,7.4892824668584135,0.0
Sitamarhi,29.232615604976587,19.879848976121043,38.36961687254771,7.612495847895583,0.0
Siwan,29.62233335035165,20.03797941566327,42.958564915700144,7.541630956280785,2.8100142608144525
Supaul,28.955589723005065,19.867102113624757,36.98233863019637,8.323889879514946,0.0
Vaishali,29.484622138424427,20.397993000664606,40.7422658061339,8.551881786932269,1.484021419934358
