revenue_ci,revenue_cr,HQ,are_new,dtname,object_id,dtcode11,women_sugar,men_sugar,women_bp,men_bp,pct_ncd
Gossaigaon (Pt),Gossaigaon (Pt),,1069,KOKRAJHAR,18-300-00101,18-300,2.86,4.06,5.34,4.78,4.26
Bhowraguri,Bhawraguri,,159,KOKRAJHAR,18-300-00102,18-300,2.86,4.06,5.34,4.78,4.26
Dotoma,Dotoma,,304,KOKRAJHAR,18-300-00103,18-300,2.86,4.06,5.34,4.78,4.26
Kokrajhar (Pt),Kokrajhar (Pt),y,990,KOKRAJHAR,18-300-00104,18-300,2.86,4.06,5.34,4.78,4.26
Bagribari (Pt),Bagribari (Pt),,281,KOKRAJHAR,18-300-00105,18-300,2.86,4.06,5.34,4.78,4.26
Golokganj (Pt),Golokganj (Pt),,103,KOKRAJHAR,18-300-00106,18-300,2.86,4.06,5.34,4.78,4.26
Dhubri (Pt),Dhubri (Pt),,124,KOKRAJHAR,18-300-00107,18-300,2.86,4.06,5.34,4.78,4.26
Chapar (Pt),Chapar (Pt),,101,KOKRAJHAR,18-300-00108,18-300,2.86,4.06,5.34,4.78,4.26
Bagribari (Pt),Bagribari (Pt),,213,DHUBRI,18-301-00109,18-301,3.07,4.35,5.51,4.77,4.425
Agamoni,Agamoni,,221,DHUBRI,18-301-00110,18-301,3.07,4.35,5.51,4.77,4.425
Golokganj (Pt),Golakganj (Pt),,199,DHUBRI,18-301-00111,18-301,3.07,4.35,5.51,4.77,4.425
Dhubri (Pt),Dhubri (Pt),y,357,DHUBRI,18-301-00112,18-301,3.07,4.35,5.51,4.77,4.425
Bilasipara (Pt),Bilasipara (Pt),,295,DHUBRI,18-301-00113,18-301,3.07,4.35,5.51,4.77,4.425
Chapar (Pt),Chapar (Pt),,195,DHUBRI,18-301-00114,18-301,3.07,4.35,5.51,4.77,4.425
Lakhipur,Lakhipur,,487,GOALPARA,18-302-00115,18-302,2.98,3.82,3.28,3.47,3.3875
Balijana,Balijana,,541,GOALPARA,18-302-00116,18-302,2.98,3.82,3.28,3.47,3.3875
Matia,Matia,,478,GOALPARA,18-302-00117,18-302,2.98,3.82,3.28,3.47,3.3875
Dudhnai,Dudhnoi,,196,GOALPARA,18-302-00118,18-302,2.98,3.82,3.28,3.47,3.3875
Rangjuli,Rangjuli,,277,GOALPARA,18-302-00119,18-302,2.98,3.82,3.28,3.47,3.3875
Kalgachia,Kalgachia,,232,BARPETA,18-303-00120,18-303,4.26,4.82,3.94,3.03,4.0125
Baghbor,Baghbor,,513,BARPETA,18-303-00121,18-303,4.26,4.82,3.94,3.03,4.0125
Barpeta,Barpeta,y,316,BARPETA,18-303-00122,18-303,4.26,4.82,3.94,3.03,4.0125
Sarthebari,Sarthebari,,262,BARPETA,18-303-00123,18-303,4.26,4.82,3.94,3.03,4.0125
Bajali (Pt),Bajali (Pt),,167,BAJALI,18-799-00124,18-799,4.26,4.82,3.94,3.03,4.0125
Jalah (Pt),Jalah (Pt),,41,BAJALI,18-799-00125,18-799,4.26,4.82,3.94,3.03,4.0125
Bhuragaon,Bhuragaon,,219,MORIGAON,18-304-00126,18-304,4.42,4.67,4.87,6.69,5.1625000000000005
Laharighat,Laharighat,,233,MORIGAON,18-304-00127,18-304,4.42,4.67,4.87,6.69,5.1625000000000005
Marigaon,Morigaon,y,390,MORIGAON,18-304-00128,18-304,4.42,4.67,4.87,6.69,5.1625000000000005
Mikirbheta,Mikirbheta,,184,MORIGAON,18-304-00129,18-304,4.42,4.67,4.87,6.69,5.1625000000000005
Kaliabor,Kaliabor,,580,NAGAON,18-305-00130,18-305,6.17,9.14,2.89,2.47,5.1674999999999995
Samaguri,Samaguri,,342,NAGAON,18-305-00131,18-305,6.17,9.14,2.89,2.47,5.1674999999999995
Rupahi,Rupahi,,306,NAGAON,18-305-00132,18-305,6.17,9.14,2.89,2.47,5.1674999999999995
Dhing,Dhing,,248,NAGAON,18-305-00133,18-305,6.17,9.14,2.89,2.47,5.1674999999999995
Nagaon,Nagaon,y,372,NAGAON,18-305-00134,18-305,6.17,9.14,2.89,2.47,5.1674999999999995
Raha,Raha,,341,NAGAON,18-305-00135,18-305,6.17,9.14,2.89,2.47,5.1674999999999995
Kampur,Kampur,,375,NAGAON,18-305-00136,18-305,6.17,9.14,2.89,2.47,5.1674999999999995
Dhekiajuli (Pt),Dhekiajuli (Pt),,1231,SONITPUR,18-306-00137,18-306,3.89,4.56,8.0,7.65,6.025
Chariduar,Chariduar,,1000,SONITPUR,18-306-00138,18-306,3.89,4.56,8.0,7.65,6.025
Tezpur,Tezpur,y,546,SONITPUR,18-306-00139,18-306,3.89,4.56,8.0,7.65,6.025
Na-Duar,Naduar,,668,SONITPUR,18-306-00140,18-306,3.89,4.56,8.0,7.65,6.025
Narayanpur,Narayanpur,,380,LAKHIMPUR,18-307-00141,18-307,3.47,3.43,4.44,5.33,4.1675
Bihpuria,Bihpuria,,407,LAKHIMPUR,18-307-00142,18-307,3.47,3.43,4.44,5.33,4.1675
Naobaicha,Nowboicha,,330,LAKHIMPUR,18-307-00143,18-307,3.47,3.43,4.44,5.33,4.1675
Kadam,Kadam,,523,LAKHIMPUR,18-307-00144,18-307,3.47,3.43,4.44,5.33,4.1675
North Lakhimpur,North Lakhimpur,y,616,LAKHIMPUR,18-307-00145,18-307,3.47,3.43,4.44,5.33,4.1675
Dhakuakhana (Pt-I),Dhakuakhana (Pt-I),,462,LAKHIMPUR,18-307-00146,18-307,3.47,3.43,4.44,5.33,4.1675
Subansiri (Pt-I),Subansiri (Pt-I),,280,LAKHIMPUR,18-307-00147,18-307,3.47,3.43,4.44,5.33,4.1675
Dhakuakhana (Pt-II),Dhakuakhana (Pt-II),,9,DHEMAJI,18-308-00148,18-308,2.22,3.67,4.55,5.35,3.9475000000000002
Subansiri (Pt-II),Subansiri (Pt-II),,155,DHEMAJI,18-308-00149,18-308,2.22,3.67,4.55,5.35,3.9475000000000002
Dhemaji,Dhemaji,y,396,DHEMAJI,18-308-00150,18-308,2.22,3.67,4.55,5.35,3.9475000000000002
Sissibargaon,Sissiborgaon,,746,DHEMAJI,18-308-00151,18-308,2.22,3.67,4.55,5.35,3.9475000000000002
Jonai,Jonai,,853,DHEMAJI,18-308-00152,18-308,2.22,3.67,4.55,5.35,3.9475000000000002
Gogamukh,Gogamukh,,324,DHEMAJI,18-308-00153,18-308,2.22,3.67,4.55,5.35,3.9475000000000002
Sadiya,Sadiya,,851,TINSUKIA,18-309-00154,18-309,4.73,8.08,4.66,5.4,5.717499999999999
Doom Dooma,Doom Dooma,,937,TINSUKIA,18-309-00155,18-309,4.73,8.08,4.66,5.4,5.717499999999999
Tinsukia,Tinsukia,y,890,TINSUKIA,18-309-00156,18-309,4.73,8.08,4.66,5.4,5.717499999999999
Margherita,Margherita,,1132,TINSUKIA,18-309-00157,18-309,4.73,8.08,4.66,5.4,5.717499999999999
Dibrugarh West,Dibrugarh West,,723,DIBRUGARH,18-310-00158,18-310,6.56,8.95,4.3,4.3,6.0275
Dibrugarh East,Dibrugarh East,,393,DIBRUGARH,18-310-00159,18-310,6.56,8.95,4.3,4.3,6.0275
Chabua,Chabua,,658,DIBRUGARH,18-310-00160,18-310,6.56,8.95,4.3,4.3,6.0275
Tengakhat,Tengakhat,,355,DIBRUGARH,18-310-00161,18-310,6.56,8.95,4.3,4.3,6.0275
Moran,Moran,,395,DIBRUGARH,18-310-00162,18-310,6.56,8.95,4.3,4.3,6.0275
Tingkhong,Tingkhong,,391,DIBRUGARH,18-310-00163,18-310,6.56,8.95,4.3,4.3,6.0275
