block_name,object_id,block_area,district,timeperiod,total_tender_awarded_value,mean-heatday,land-surface-temperature,year,sum_aged_population,sum_young_population,sum_population,dtname,HealthCenters,net_sown_area_in_hac,avg_electricity,avg_tele,block_piped_hhds_pct,block_nosanitation_hhds_pct,total_hhd,nco_5_9_percent_estimated,women_sugar,men_sugar,women_bp,men_bp,pct_ncd,land-surface-temperature-raster,district_population,population_z,exposure
ANUGUL,21-384-03276,1116,Anugul,2021_01,0.0,0.0,2,,10006.68499999994,11366.555,194589.0390625,Anugul,32,12985.0015,10.000471394407652,3.0,8.703550404709345,14.574135393671815,43488.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
ATHMALLIK,21-384-03277,1027,Anugul,2021_01,0.0,0.0,2,,7791.72499999986,8856.279999999999,141697.03125,Anugul,23,13972.46,10.01799541771366,3.0,12.217193842198464,12.333566437149669,22879.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
BANARPAL,21-384-03278,257,Anugul,2021_01,0.0,0.0,2,,10448.029999999912,11844.015,180526.90625,Anugul,23,9544.98,10.731610829521571,3.0,10.782544195821488,11.79873902831005,40445.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
CHHENDIPADA,21-384-03279,954,Anugul,2021_01,0.0,0.0,2,,17080.58499999973,19433.61500000005,260395.75,Anugul,34,42163.5899,9.539741971187937,3.0,6.213790360237276,15.62527022119226,57823.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
KANIHA,21-384-03280,713,Anugul,2021_01,0.0,0.0,2,,7159.899999999965,8132.885000000002,154138.7734375,Anugul,24,13048.67,10.441538461538462,2.0,17.645344129554655,13.14331983805668,30875.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
KISHORENAGAR,21-384-03281,844,Anugul,2021_01,0.0,0.0,2,,4340.150000000023,4930.324999999999,117449.66015625,Anugul,19,19984.9067,8.734791168069172,3.0,10.688643557477032,19.810082606346025,25906.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
PALALAHADA,21-384-03282,1175,Anugul,2021_01,0.0,0.0,2,,10442.10499999998,12476.98999999999,159464.1875,Anugul,27,18872.383,8.805416694073537,3.0,22.04499112017365,15.184503058606854,30406.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
TALACHER,21-384-03283,287,Anugul,2021_01,0.0,0.0,2,,11771.525000000023,13340.229999999996,198442.7421875,Anugul,27,3469.38,10.504343694855436,3.0,38.06162617076151,6.783629700013574,29468.0,86.1,6.48,9.05,3.65,4.58,5.94,LST_ODISHA_2021_01.tif,175838.01123046875,0.5244075945776491,4
AGALPUR,21-393-03284,323,Balangir,2021_01,0.0,0.0,5,,8967.800000000047,9298.684999999998,97394.37890625,Balangir,20,9870.99,10.856164728389468,2.0,15.269596737652922,7.430901676483915,19863.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
BALANGIR,21-393-03285,450,Balangir,2021_01,0.0,0.0,5,,20738.11499999999,21908.89500000002,247379.953125,Balangir,19,26028.3,10.39988421383154,2.0,15.511421618651385,15.395635450192325,50956.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
BANGOMUNDA,21-393-03286,345,Balangir,2021_01,0.0,0.0,5,,12496.39500000002,13190.950000000012,155077.1875,Balangir,23,6543.65,9.171054783319706,3.0,14.2886345053148,16.026165167620604,24460.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
BELPARA,21-393-03287,563,Balangir,2021_01,0.0,0.0,5,,11810.810000000056,12472.630000000005,142675.796875,Balangir,24,11673.47,10.178015693576274,3.0,10.84585716185663,17.35935629737997,30076.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
DEOGAON,21-393-03288,489,Balangir,2021_01,0.0,0.0,5,,10782.324999999952,11390.36499999999,129626.28125,Balangir,18,3760.105,9.749360925136944,3.0,3.840535605599513,6.962872793670115,16430.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
GUDVELLA,21-393-03289,248,Balangir,2021_01,0.0,0.0,5,,1996.7200000000012,2142.4199999999983,76225.64453125,Balangir,9,9247.44,11.207150534713556,3.0,11.625927029321874,4.600989218817835,17448.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
KHAPRAKHOL,21-393-03290,641,Balangir,2021_01,0.0,0.0,5,,8839.69000000006,9214.524999999994,120215.28515625,Balangir,22,11195.8,9.313562061322497,3.0,4.405245659401552,16.99759881787957,21656.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
LOISINGA,21-393-03291,382,Balangir,2021_01,0.0,0.0,5,,13988.090000000084,14759.350000000037,194250.078125,Balangir,20,22901.26,10.698392787142296,2.0,18.4437475499804,37.39709917679341,25510.0,87.7,4.65,6.58,2.7,3.45,4.345,LST_ODISHA_2021_01.tif,147832.64453125,-0.13144371437000787,3
