district,timeperiod,district_tender_value,financial_year,date,cum_tender_value,govtresponse_z,government_response
Anugul,2023_01,0.0,2022-2023,2023-01-01,0.0,-0.20875200047192538,3
Anugul,2023_02,0.0,2022-2023,2023-02-01,0.0,-0.2158539607397025,3
Anugul,2023_03,0.0,2022-2023,2023-03-01,0.0,-0.2402169320708697,3
Anugul,2023_04,0.0,2023-2024,2023-04-01,0.0,0.0,3
Anugul,2023_05,0.0,2023-2024,2023-05-01,0.0,0.0,3
Anugul,2023_06,0.0,2023-2024,2023-06-01,0.0,0.0,3
Anugul,2023_07,0.0,2023-2024,2023-07-01,0.0,0.0,3
Anugul,2023_08,0.0,2023-2024,2023-08-01,0.0,0.0,3
Anugul,2023_09,0.0,2023-2024,2023-09-01,0.0,0.0,3
Anugul,2023_10,0.0,2023-2024,2023-10-01,0.0,0.0,3
Anugul,2023_11,0.0,2023-2024,2023-11-01,0.0,0.0,3
Anugul,2023_12,0.0,2023-2024,2023-12-01,0.0,0.0,3
Anugul,2024_01,0.0,2023-2024,2024-01-01,0.0,0.0,3
Anugul,2024_02,0.0,2023-2024,2024-02-01,0.0,-0.2210980319354679,3
Anugul,2024_03,0.0,2023-2024,2024-03-01,0.0,-0.229023770822609,3
Anugul,2024_04,0.0,2024-2025,2024-04-01,0.0,-0.48772269793724093,3
Anugul,2024_05,0.0,2024-2025,2024-05-01,0.0,-0.5415005843146171,4
Anugul,2024_06,0.0,2024-2025,2024-06-01,0.0,-0.5600796715300466,4
Anugul,2024_07,0.0,2024-2025,2024-07-01,0.0,-0.5495902733893405,4
Anugul,2024_08,0.0,2024-2025,2024-08-01,0.0,-0.7148853848627981,4
Anugul,2024_09,0.0,2024-2025,2024-09-01,0.0,-0.6452190370637783,4
Anugul,2024_10,0.0,2024-2025,2024-10-01,0.0,-0.6162647826601819,4
Anugul,2024_11,0.0,2024-2025,2024-11-01,0.0,-0.6260136257104946,4
Balangir,2023_01,0.0,2022-2023,2023-01-01,0.0,-0.20875200047192538,3
Balangir,2023_02,0.0,2022-2023,2023-02-01,0.0,-0.2158539607397025,3
Balangir,2023_03,0.0,2022-2023,2023-03-01,0.0,-0.2402169320708697,3
Balangir,2023_04,0.0,2023-2024,2023-04-01,0.0,0.0,3
Balangir,2023_05,0.0,2023-2024,2023-05-01,0.0,0.0,3
Balangir,2023_06,0.0,2023-2024,2023-06-01,0.0,0.0,3
Balangir,2023_07,0.0,2023-2024,2023-07-01,0.0,0.0,3
Balangir,2023_08,0.0,2023-2024,2023-08-01,0.0,0.0,3
Balangir,2023_09,0.0,2023-2024,2023-09-01,0.0,0.0,3
Balangir,2023_10,0.0,2023-2024,2023-10-01,0.0,0.0,3
Balangir,2023_11,0.0,2023-2024,2023-11-01,0.0,0.0,3
Balangir,2023_12,0.0,2023-2024,2023-12-01,0.0,0.0,3
Balangir,2024_01,0.0,2023-2024,2024-01-01,0.0,0.0,3
Balangir,2024_02,0.0,2023-2024,2024-02-01,0.0,-0.2210980319354679,3
Balangir,2024_03,0.0,2023-2024,2024-03-01,0.0,-0.229023770822609,3
Balangir,2024_04,22450926.26,2024-2025,2024-04-01,22450926.26,-0.43955801633833824,3
Balangir,2024_05,3014578.0,2024-2025,2024-05-01,25465504.26,-0.48969075250301924,3
Balangir,2024_06,12087838.0,2024-2025,2024-06-01,37553342.260000005,-0.48482252907910234,3
Balangir,2024_07,0.0,2024-2025,2024-07-01,37553342.260000005,-0.48540676171801683,3
Balangir,2024_08,2226297218.74,2024-2025,2024-08-01,2263850561.0,2.4524456500214673,1
Balangir,2024_09,78758148.0,2024-2025,2024-09-01,2342608709.0,1.733763139629458,1
Balangir,2024_10,0.0,2024-2025,2024-10-01,2342608709.0,1.3923447250209575,2
Balangir,2024_11,0.0,2024-2025,2024-11-01,2342608709.0,1.390282728061769,2
Baleshwar,2023_01,0.0,2022-2023,2023-01-01,0.0,-0.20875200047192538,3
Baleshwar,2023_02,0.0,2022-2023,2023-02-01,0.0,-0.2158539607397025,3
Baleshwar,2023_03,2571972.0,2022-2023,2023-03-01,2571972.0,-0.20941135469490468,3
Baleshwar,2023_04,0.0,2023-2024,2023-04-01,0.0,0.0,3
Baleshwar,2023_05,0.0,2023-2024,2023-05-01,0.0,0.0,3
Baleshwar,2023_06,0.0,2023-2024,2023-06-01,0.0,0.0,3
Baleshwar,2023_07,0.0,2023-2024,2023-07-01,0.0,0.0,3
Baleshwar,2023_08,0.0,2023-2024,2023-08-01,0.0,0.0,3
Baleshwar,2023_09,0.0,2023-2024,2023-09-01,0.0,0.0,3
Baleshwar,2023_10,0.0,2023-2024,2023-10-01,0.0,0.0,3
Baleshwar,2023_11,0.0,2023-2024,2023-11-01,0.0,0.0,3
Baleshwar,2023_12,0.0,2023-2024,2023-12-01,0.0,0.0,3
Baleshwar,2024_01,0.0,2023-2024,2024-01-01,0.0,0.0,3
Baleshwar,2024_02,0.0,2023-2024,2024-02-01,0.0,-0.2210980319354679,3
