district,sum-population,total-tender-awarded-value,sum-aged-population,sum-young-population,nosanitation-hhds-pct,workers-affected-pct,pct-ncd,health-centres-count,avg-electricity,piped-hhds-pct,heat-days-score,dtname,object-id,timeperiod,population-z,exposure,govtresponse-z,government-response,efficiency,vulnerability-raw,vulnerability,heat-zscore,heat-hazard,topsis-score,heat-risk-score
Anugul,1466241,0.0,90457,91482,13.66,86.1,5.94,209.0,9.85,15.8,8.365,Anugul,21-384,2025_Apr-Jul,-0.252,3,-0.46,3,1.0,0.0,1,-0.333,3,0.495,3
Balangir,2229492,56581002.86,196346,184797,13.47,87.7,4.34,278.0,10.14,10.97,10.845,Balangir,21-393,2025_Apr-Jul,0.622,4,0.443,3,1.0,0.0,1,1.744,5,0.69,4
Baleshwar,2662860,4243690.0,167342,158583,14.75,87.5,6.26,353.0,10.22,14.61,6.147,Baleshwar,21-377,2025_Apr-Jul,1.118,4,-0.392,3,0.957,0.043,2,-2.191,1,0.336,2
Bargarh,1636644,5102913.0,125882,98801,16.62,77.9,6.48,258.0,10.3,10.05,9.45,Bargarh,21-370,2025_Apr-Jul,-0.057,3,-0.379,3,1.0,0.0,1,0.575,4,0.608,4
Bhadrak,1713857,0.0,109885,96804,14.4,85.1,6.51,232.0,9.14,9.99,7.005,Bhadrak,21-378,2025_Apr-Jul,0.032,3,-0.46,3,0.927,0.073,3,-1.473,2,0.433,3
Boudh,561012,4183839.76,48606,56771,8.79,82.2,5.75,83.0,10.89,8.39,11.342,Boudh,21-391,2025_Apr-Jul,-1.288,2,-0.393,3,1.0,0.0,1,2.161,5,0.667,4
Cuttack,3052904,30305661.55,205147,140792,12.6,74.0,7.86,393.0,11.09,12.75,9.43,Cuttack,21-381,2025_Apr-Jul,1.564,5,0.023,3,1.0,0.0,1,0.559,4,0.626,4
Deogarh,376026,0.0,25935,27363,15.61,86.87,6.41,53.0,10.14,17.22,7.602,Deogarh,21-373,2025_Apr-Jul,-1.499,2,-0.46,3,1.0,0.0,1,-0.972,2,0.374,2
Dhenkanal,1467709,0.0,102133,87754,10.89,87.1,8.12,205.0,9.8,11.74,8.885,Dhenkanal,21-383,2025_Apr-Jul,-0.25,3,-0.46,3,0.955,0.045,2,0.102,3,0.528,3
Gajapati,676444,356237.0,45627,69637,16.34,89.6,5.09,164.0,10.13,15.88,8.11,Gajapati,21-389,2025_Apr-Jul,-1.155,2,-0.455,3,1.0,0.0,1,-0.547,2,0.374,2
Ganjam,4128696,0.0,322259,286061,16.37,82.1,8.98,548.0,10.93,23.32,9.17,Ganjam,21-388,2025_Apr-Jul,2.795,5,-0.46,3,1.0,0.0,1,0.341,3,0.515,3
Jagatsinghapur,1314133,357273.0,116836,65015,17.94,78.3,8.78,225.0,10.26,15.76,8.098,Jagatsinghapur,21-380,2025_Apr-Jul,-0.426,3,-0.455,3,1.0,0.0,1,-0.558,2,0.381,2
Jajapur,2167535,0.0,161926,136109,16.05,85.5,7.65,329.0,9.89,9.31,9.02,Jajapur,21-382,2025_Apr-Jul,0.551,4,-0.46,3,0.868,0.132,5,0.215,3,0.635,4
Jharsuguda,680480,0.0,45229,41544,9.84,82.2,7.56,81.0,10.82,12.09,8.618,Jharsuguda,21-371,2025_Apr-Jul,-1.151,2,-0.46,3,1.0,0.0,1,-0.122,3,0.485,3
Kalahandi,2018229,214246.0,140164,162528,10.35,95.7,6.68,298.0,9.69,7.32,10.235,Kalahandi,21-395,2025_Apr-Jul,0.38,3,-0.457,3,0.86,0.14,5,1.233,4,0.775,4
