district,sum-population,total-tender-awarded-value,sum-aged-population,sum-young-population,nosanitation-hhds-pct,workers-affected-pct,pct-ncd,health-centres-count,avg-electricity,piped-hhds-pct,heat-days-score,dtname,object-id,timeperiod,population-z,exposure,govtresponse-z,government-response,efficiency,vulnerability-raw,vulnerability,heat-zscore,heat-hazard,topsis-score,heat-risk-score
Anugul,1481125,0.0,93312,91757,13.66,86.1,5.94,209.0,9.85,15.8,20.86,Anugul,21-384,2026_Apr-Jul,-0.255,3,0,3,1.0,0.0,1,0.731,4,0.519,3
Balangir,2269450,0.0,203770,187038,13.47,87.7,4.34,278.0,10.14,10.97,16.5,Balangir,21-393,2026_Apr-Jul,0.636,4,0,3,1.0,0.0,1,-1.28,2,0.129,1
Baleshwar,2695710,0.0,173019,159710,14.75,87.5,6.26,353.0,10.22,14.61,19.6,Baleshwar,21-377,2026_Apr-Jul,1.118,4,0,3,0.957,0.043,2,0.15,3,0.338,2
Bargarh,1651680,0.0,129724,98927,16.62,77.9,6.48,258.0,10.3,10.05,16.19,Bargarh,21-370,2026_Apr-Jul,-0.062,3,0,3,1.0,0.0,1,-1.423,2,0.069,1
Bhadrak,1733630,0.0,113292,97121,14.4,85.1,6.51,232.0,9.14,9.99,20.313,Bhadrak,21-378,2026_Apr-Jul,0.03,3,0,3,0.928,0.072,3,0.479,3,0.368,2
Boudh,569110,0.0,50322,57226,8.79,82.2,5.75,83.0,10.89,8.39,19.533,Boudh,21-391,2026_Apr-Jul,-1.286,2,0,3,1.0,0.0,1,0.119,3,0.277,2
Cuttack,3086311,0.0,211426,141182,12.6,74.0,7.86,393.0,11.09,12.75,21.333,Cuttack,21-381,2026_Apr-Jul,1.56,5,0,3,1.0,0.0,1,0.949,4,0.542,3
Deogarh,380848,0.0,26790,27493,15.61,86.87,6.41,53.0,10.14,17.22,20.653,Deogarh,21-373,2026_Apr-Jul,-1.499,2,0,3,1.0,0.0,1,0.635,4,0.506,3
Dhenkanal,1483460,0.0,105502,88229,10.89,87.1,8.12,205.0,9.8,11.74,22.977,Dhenkanal,21-383,2026_Apr-Jul,-0.253,3,0,3,0.954,0.046,2,1.707,5,0.711,4
Gajapati,683467,0.0,47227,70099,16.34,89.6,5.09,164.0,10.13,15.88,20.457,Gajapati,21-389,2026_Apr-Jul,-1.157,2,0,3,1.0,0.0,1,0.545,4,0.506,3
Ganjam,4171368,0.0,332331,286873,16.37,82.1,8.98,548.0,10.93,23.32,20.94,Ganjam,21-388,2026_Apr-Jul,2.787,5,0,3,1.0,0.0,1,0.767,4,0.542,3
Jagatsinghapur,1323341,0.0,119948,64828,17.94,78.3,8.78,225.0,10.26,15.76,16.86,Jagatsinghapur,21-380,2026_Apr-Jul,-0.434,3,0,3,1.0,0.0,1,-1.114,2,0.069,1
Jajapur,2190639,0.0,166972,136562,16.05,85.5,7.65,329.0,9.89,9.31,22.68,Jajapur,21-382,2026_Apr-Jul,0.547,4,0,3,0.868,0.132,5,1.57,5,0.931,5
Jharsuguda,687946,0.0,46711,41751,9.84,82.2,7.56,81.0,10.82,12.09,16.73,Jharsuguda,21-371,2026_Apr-Jul,-1.152,2,0,3,1.0,0.0,1,-1.174,2,0.0,1
Kalahandi,2049153,0.0,145190,163985,10.35,95.7,6.68,298.0,9.69,7.32,17.587,Kalahandi,21-395,2026_Apr-Jul,0.387,3,0,3,0.86,0.14,5,-0.779,2,0.333,2
Kandhamal,896137,0.0,55051,75771,14.92,85.0,5.5,213.0,9.3,9.54,18.413,Kandhamal,21-390,2026_Apr-Jul,-0.917,2,0,3,1.0,0.0,1,-0.398,3,0.277,2
Kendrapara,1800113,0.0,208127,131357,14.14,81.0,7.74,278.0,10.75,19.39,16.11,Kendrapara,21-379,2026_Apr-Jul,0.106,3,0,3,1.0,0.0,1,-1.46,2,0.069,1
Kendujhar,2290059,0.0,134766,183562,15.69,93.5,5.75,420.0,8.44,11.67,20.707,Kendujhar,21-375,2026_Apr-Jul,0.66,4,0,3,0.9,0.1,4,0.66,4,0.682,4
Khordha,2837940,0.0,214953,168333,11.4,67.5,8.8,249.0,11.4,17.97,18.387,Khordha,21-386,2026_Apr-Jul,1.279,4,0,3,1.0,0.0,1,-0.41,3,0.308,2
Koraput,1725899,0.0,95226,155780,14.56,93.2,5.31,366.0,9.67,12.54,21.67,Koraput,21-398,2026_Apr-Jul,0.022,3,0,3,0.989,0.011,1,1.104,4,0.519,3
Malkangiri,845452,0.0,45576,84447,16.6,99.8,5.2,178.0,9.32,11.11,20.787,Malkangiri,21-399,2026_Apr-Jul,-0.974,2,0,3,1.0,0.0,1,0.697,4,0.506,3
Mayurbhanj,3110551,0.0,176110,212187,12.74,88.8,6.77,684.0,9.47,10.76,19.56,Mayurbhanj,21-376,2026_Apr-Jul,1.587,5,0,3,1.0,0.0,1,0.131,3,0.333,2
Nabarangpur,1571633,0.0,82792,144888,13.45,98.1,3.78,335.0,10.8,12.99,18.263,Nabarangpur,21-397,2026_Apr-Jul,-0.153,3,0,3,1.0,0.0,1,-0.467,3,0.288,2
Nayagarh,1078611,0.0,97984,70394,12.14,87.5,8.28,201.0,10.48,9.95,23.917,Nayagarh,21-385,2026_Apr-Jul,-0.71,2,0,3,1.0,0.0,1,2.14,5,0.641,4
Nuapada,763320,0.0,59572,63130,7.64,91.9,5.4,114.0,9.56,9.3,17.29,Nuapada,21-394,2026_Apr-Jul,-1.067,2,0,3,1.0,0.0,1,-0.916,2,0.0,1
Puri,2004768,0.0,157629,100213,13.65,77.5,8.3,295.0,10.8,11.76,16.93,Puri,21-387,2026_Apr-Jul,0.337,3,0,3,1.0,0.0,1,-1.082,2,0.069,1
Rayagada,1229740,0.0,74307,114599,13.72,94.6,7.28,280.0,9.08,6.99,21.117,Rayagada,21-396,2026_Apr-Jul,-0.539,2,0,3,0.988,0.012,1,0.849,4,0.506,3
Sambalpur,1336136,0.0,111143,96862,18.74,84.3,4.96,193.0,10.96,7.8,17.487,Sambalpur,21-372,2026_Apr-Jul,-0.419,3,0,3,1.0,0.0,1,-0.825,2,0.069,1
Sonepur,711357,0.0,52265,45316,17.76,95.8,5.03,112.0,10.36,12.76,17.717,Sonepur,21-392,2026_Apr-Jul,-1.126,2,0,3,1.0,0.0,1,-0.719,2,0.0,1
Sundargarh,2545436,0.0,146982,174028,9.13,82.8,6.23,460.0,8.96,7.51,16.703,Sundargarh,21-374,2026_Apr-Jul,0.948,4,0,3,1.0,0.0,1,-1.186,2,0.129,1
