district,April,May,June,All_Months_Sum
Anugul,93.48,61.66,89.85000000000001,1014.51
Balangir,75.28,59.7,67.27,949.72
Baleshwar,90.22,45.25,97.31,920.02
Bargarh,70.97,65.97,66.15,923.79
Bhadrak,95.91,43.46,92.52,942.0600000000001
Boudh,84.86,72.66,78.6,982.99
Cuttack,110.00999999999999,55.77,96.31,1049.8
Deogarh,87.49000000000001,66.53,86.81,998.75
Dhenkanal,103.14,52.2,97.07000000000001,1026.49
Gajapati,84.89,59.150000000000006,80.63,954.44
Ganjam,96.32,61.400000000000006,92.39,1021.57
Jagatsinghapur,116.49,54.2,90.64,1014.17
Jajapur,105.82,50.18,99.03999999999999,1032.91
Jharsuguda,79.00999999999999,71.63,82.3,975.95
Kalahandi,81.84,60.35,68.82000000000001,970.68
Kandhamal,80.22,56.11,74.35,935.21
Kendrapara,103.31,42.269999999999996,89.35,948.88
Kendujhar,92.35,53.269999999999996,97.85000000000001,987.56
Khordha,96.31,52.55,84.15,932.61
Koraput,94.09,67.46000000000001,71.8,1037.6
Malkangiri,85.4,83.06,75.66,1116.3
Mayurbhanj,88.88,54.480000000000004,101.44,981.14
Nabarangpur,81.37,57.269999999999996,60.74,958.35
Nayagarh,102.58,62.17,94.63,1061.73
Nuapada,77.57,54.75,64.78999999999999,920.99
Puri,113.73,57.870000000000005,94.85,971.71
Rayagada,92.59,61.53,82.37,1024.83
Sambalpur,77.61,74.06,75.26,966.93
Sonepur,78.21000000000001,74.94,73.92,976.8100000000001
Sundargarh,74.86,67.09,87.33,966.34
