district,block_name,object_id,women_sugar,men_sugar,women_bp,men_bp,pct_ncd
Anugul,ANUGUL,21-384-03276,6.48,9.05,3.65,4.58,5.94
Anugul,ATHMALLIK,21-384-03277,6.48,9.05,3.65,4.58,5.94
Anugul,BANARPAL,21-384-03278,6.48,9.05,3.65,4.58,5.94
Anugul,CHHENDIPADA,21-384-03279,6.48,9.05,3.65,4.58,5.94
Anugul,KANIHA,21-384-03280,6.48,9.05,3.65,4.58,5.94
Anugul,KISHORENAGAR,21-384-03281,6.48,9.05,3.65,4.58,5.94
Anugul,PALALAHADA,21-384-03282,6.48,9.05,3.65,4.58,5.94
Anugul,TALACHER,21-384-03283,6.48,9.05,3.65,4.58,5.94
Balangir,AGALPUR,21-393-03284,4.65,6.58,2.7,3.45,4.345
Balangir,BALANGIR,21-393-03285,4.65,6.58,2.7,3.45,4.345
Balangir,BANGOMUNDA,21-393-03286,4.65,6.58,2.7,3.45,4.345
Balangir,BELPARA,21-393-03287,4.65,6.58,2.7,3.45,4.345
Balangir,DEOGAON,21-393-03288,4.65,6.58,2.7,3.45,4.345
Balangir,GUDVELLA,21-393-03289,4.65,6.58,2.7,3.45,4.345
Balangir,KHAPRAKHOL,21-393-03290,4.65,6.58,2.7,3.45,4.345
Balangir,LOISINGA,21-393-03291,4.65,6.58,2.7,3.45,4.345
Balangir,MURIBAHAL,21-393-03292,4.65,6.58,2.7,3.45,4.345
Balangir,PATNAGARH,21-393-03293,4.65,6.58,2.7,3.45,4.345
Balangir,PUINTALA,21-393-03294,4.65,6.58,2.7,3.45,4.345
Balangir,SAINTALA,21-393-03295,4.65,6.58,2.7,3.45,4.345
Balangir,TITLAGARH,21-393-03296,4.65,6.58,2.7,3.45,4.345
Balangir,TUREKELA,21-393-03297,4.65,6.58,2.7,3.45,4.345
Baleshwar,BAHANAGA,21-377-03298,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,BALESHWAR,21-377-03299,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,BALIAPAL,21-377-03300,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,BASTA,21-377-03301,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,BHOGRAI,21-377-03302,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,JALESWAR,21-377-03303,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,KHAIRA,21-377-03304,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,NILGIRI,21-377-03305,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,OUPADA,21-377-03306,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,REMUNA,21-377-03307,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,SIMULIA,21-377-03308,5.12,7.39,5.94,6.6,6.262499999999999
Baleshwar,SORO,21-377-03309,5.12,7.39,5.94,6.6,6.262499999999999
Bargarh,AMBABHONA,21-370-03310,7.8,8.3,5.07,4.77,6.485
Bargarh,ATTABIRA,21-370-03311,7.8,8.3,5.07,4.77,6.485
Bargarh,BARGARH,21-370-03312,7.8,8.3,5.07,4.77,6.485
Bargarh,BARPALI,21-370-03313,7.8,8.3,5.07,4.77,6.485
Bargarh,BHATLI,21-370-03314,7.8,8.3,5.07,4.77,6.485
Bargarh,BHEDEN,21-370-03315,7.8,8.3,5.07,4.77,6.485
Bargarh,BIJEPUR,21-370-03316,7.8,8.3,5.07,4.77,6.485
Bargarh,GAISILET,21-370-03317,7.8,8.3,5.07,4.77,6.485
