dtname,nco_5_9_percent_estimated,object_id,timeperiod
Anugul,86.1,21-384-03276,2016
Anugul,86.1,21-384-03277,2016
Anugul,86.1,21-384-03278,2016
Anugul,86.1,21-384-03279,2016
Anugul,86.1,21-384-03280,2016
Anugul,86.1,21-384-03281,2016
Anugul,86.1,21-384-03282,2016
Anugul,86.1,21-384-03283,2016
Balangir,87.7,21-393-03284,2016
Balangir,87.7,21-393-03285,2016
Balangir,87.7,21-393-03286,2016
Balangir,87.7,21-393-03287,2016
Balangir,87.7,21-393-03288,2016
Balangir,87.7,21-393-03289,2016
Balangir,87.7,21-393-03290,2016
Balangir,87.7,21-393-03291,2016
Balangir,87.7,21-393-03292,2016
Balangir,87.7,21-393-03293,2016
Balangir,87.7,21-393-03294,2016
Balangir,87.7,21-393-03295,2016
Balangir,87.7,21-393-03296,2016
Balangir,87.7,21-393-03297,2016
Baleshwar,87.5,21-377-03298,2016
Baleshwar,87.5,21-377-03299,2016
Baleshwar,87.5,21-377-03300,2016
Baleshwar,87.5,21-377-03301,2016
Baleshwar,87.5,21-377-03302,2016
Baleshwar,87.5,21-377-03303,2016
Baleshwar,87.5,21-377-03304,2016
Baleshwar,87.5,21-377-03305,2016
Baleshwar,87.5,21-377-03306,2016
Baleshwar,87.5,21-377-03307,2016
Baleshwar,87.5,21-377-03308,2016
Baleshwar,87.5,21-377-03309,2016
Bargarh,77.9,21-370-03310,2016
Bargarh,77.9,21-370-03311,2016
Bargarh,77.9,21-370-03312,2016
Bargarh,77.9,21-370-03313,2016
Bargarh,77.9,21-370-03314,2016
Bargarh,77.9,21-370-03315,2016
Bargarh,77.9,21-370-03316,2016
Bargarh,77.9,21-370-03317,2016
Bargarh,77.9,21-370-03318,2016
Bargarh,77.9,21-370-03319,2016
Bargarh,77.9,21-370-03320,2016
Bargarh,77.9,21-370-03321,2016
Bhadrak,85.1,21-378-03322,2016
Bhadrak,85.1,21-378-03323,2016
Bhadrak,85.1,21-378-03324,2016
Bhadrak,85.1,21-378-03325,2016
Bhadrak,85.1,21-378-03326,2016
Bhadrak,85.1,21-378-03327,2016
Bhadrak,85.1,21-378-03328,2016
Boudh,82.2,21-391-03329,2016
Boudh,82.2,21-391-03330,2016
Boudh,82.2,21-391-03331,2016
Cuttack,74.0,21-381-03332,2016
Cuttack,74.0,21-381-03333,2016
Cuttack,74.0,21-381-03334,2016
Cuttack,74.0,21-381-03335,2016
Cuttack,74.0,21-381-03336,2016
Cuttack,74.0,21-381-03337,2016
Cuttack,74.0,21-381-03338,2016
Cuttack,74.0,21-381-03339,2016
Cuttack,74.0,21-381-03340,2016
Cuttack,74.0,21-381-03341,2016
Cuttack,74.0,21-381-03342,2016
Cuttack,74.0,21-381-03343,2016
Cuttack,74.0,21-381-03344,2016
Cuttack,74.0,21-381-03345,2016
Deogarh,81.0,21-373-03346,2016
Deogarh,89.8,21-373-03347,2016
Deogarh,89.8,21-373-03348,2016
Dhenkanal,87.1,21-383-03349,2016
Dhenkanal,87.1,21-383-03350,2016
Dhenkanal,87.1,21-383-03351,2016
Dhenkanal,87.1,21-383-03352,2016
Dhenkanal,87.1,21-383-03353,2016
Dhenkanal,87.1,21-383-03354,2016
Dhenkanal,87.1,21-383-03355,2016
Dhenkanal,87.1,21-383-03356,2016
Gajapati,89.6,21-389-03357,2016
Gajapati,89.6,21-389-03358,2016
Gajapati,89.6,21-389-03359,2016
Gajapati,89.6,21-389-03360,2016
Gajapati,89.6,21-389-03361,2016
Gajapati,89.6,21-389-03362,2016
Gajapati,89.6,21-389-03363,2016
Ganjam,82.1,21-388-03364,2016
Ganjam,82.1,21-388-03365,2016
Ganjam,82.1,21-388-03366,2016
Ganjam,82.1,21-388-03367,2016
Ganjam,82.1,21-388-03368,2016
Ganjam,82.1,21-388-03369,2016
Ganjam,82.1,21-388-03370,2016
Ganjam,82.1,21-388-03371,2016
Ganjam,82.1,21-388-03372,2016
Ganjam,82.1,21-388-03373,2016
Ganjam,82.1,21-388-03374,2016
Ganjam,82.1,21-388-03375,2016
Ganjam,82.1,21-388-03376,2016
Ganjam,82.1,21-388-03377,2016
Ganjam,82.1,21-388-03378,2016
Ganjam,82.1,21-388-03379,2016
Ganjam,82.1,21-388-03380,2016
Ganjam,82.1,21-388-03381,2016
Ganjam,82.1,21-388-03382,2016
Ganjam,82.1,21-388-03383,2016
Ganjam,82.1,21-388-03384,2016
Ganjam,82.1,21-388-03385,2016
Jagatsinghapur,78.3,21-380-03386,2016
Jagatsinghapur,78.3,21-380-03387,2016
Jagatsinghapur,78.3,21-380-03388,2016
Jagatsinghapur,78.3,21-380-03389,2016
Jagatsinghapur,78.3,21-380-03390,2016
