object_id,JJM_tenders_awarded_value,timeperiod
21-370-03318,114284832.0,2022_04
21-370-03319,26187135.0,2022_04
21-398-03478,31083767.3,2024_07
21-376-03510,2679679.0,2024_08
21-376-03491,4003835.0,2024_09
21-376-03510,1113262.0,2024_09
21-376-03488,7209307.0,2021_06
21-376-03491,58594061.0,2021_06
21-376-03495,7221308.0,2021_06
21-376-03502,26730829.0,2021_06
21-376-03509,5056977.0,2021_06
21-376-03498,1798055.0,2025_02
21-398-03478,7600183.12,2025_02
21-376-03491,26638754.0,2025_05
21-376-03510,2105581.0,2025_05
21-398-03475,6106623.05,2025_05
21-398-03479,1711250.45,2025_01
21-370-03318,16462596.0,2022_06
21-376-03502,9098700.0,2022_05
21-376-03509,9125000.0,2022_05
21-376-03491,3195437.0,2021_09
21-376-03502,2752000.0,2021_09
21-376-03509,18300000.0,2021_09
21-376-03510,35416244.0,2021_09
21-376-03491,7237871.0,2021_08
21-376-03498,2606622.0,2025_03
21-376-03488,5246043.0,2021_04
21-376-03491,97765798.0,2021_04
21-376-03492,10685207.0,2021_04
21-376-03493,43579050.0,2021_04
21-376-03498,26322167.0,2021_04
21-376-03502,27604482.0,2021_04
21-376-03509,18447700.0,2021_04
21-389-03358,2899264.49,2021_04
21-376-03491,17637334.0,2021_05
21-376-03488,11028686.0,2021_07
21-376-03491,11600733.0,2021_07
21-376-03492,25611880.0,2021_07
21-376-03493,21647220.0,2021_07
21-376-03498,66012483.0,2021_07
21-376-03509,5201000.0,2021_07
