object_id,OMBADC_tenders_awarded_value,timeperiod
21-376-03509,790170.0,2024_04
21-374-03588,3512742.0,2024_08
21-376-03510,2838398.0,2024_08
21-376-03488,1017862.0,2024_09
21-376-03510,1646203.0,2024_09
21-376-03491,34739780.0,2025_05
21-376-03509,32637261.0,2025_05
21-374-03588,2613671.0,2025_02
21-376-03498,1115762.0,2025_02
21-376-03510,1395369.0,2025_02
21-376-03498,1444913.0,2025_03
21-376-03510,5982596.0,2025_03
21-376-03498,1523296.0,2024_06
21-374-03580,3155850.0,2021_07
21-374-03582,3500003.02,2021_07
