OBJECT_ID,DISTRICT,TMAX_MEAN_C,TMIN_MEAN_C,TMAX_ABS_C,TMIN_ABS_C,HEATWAVE_DAYS
18-799,BAJALI,28.314434502142408,19.743330532478396,35.95739962929175,8.365735494283827,3.742105263157894
18-324,BAKSA,27.720638654354723,18.96739108806796,35.614654352326106,7.300287237739632,2.6141911932466364
18-303,BARPETA,28.31857395711794,20.449884822834647,35.65843043494628,9.51700858642997,2.692015930210506
18-756,BISWANATH,27.243690672699756,19.705119447283753,35.57581270478857,8.975583633001756,2.9322763750244665
18-319,BONGAIGAON,28.08433015376181,20.236019775394524,35.39933944903376,8.999001432255044,2.3605660984239307
18-316,CACHAR,28.430101744176945,19.59501802028471,35.837327173156396,8.638674039765514,5.899549380398045
18-755,CHARAIDEO,26.904562136155477,19.101724972404874,36.59881387158902,7.015985933692253,3.0304798962386514
18-320,CHIRANG,27.440188609710155,19.123944928524757,35.50753204844178,7.385032642731462,2.9210526315789482
18-325,DARRANG,28.13281744651626,20.544326013589682,35.672582177628136,9.00996684841287,3.4039173014145816
18-308,DHEMAJI,26.786789327509265,19.359632357773076,36.63979330581212,8.461629556973312,3.0293419030319977
18-301,DHUBRI,28.27860921231208,20.377271508244572,35.3828622237571,9.462326458725117,2.6456124520640647
18-310,DIBRUGARH,27.123318380192867,19.907559345235722,36.878377807428734,9.236046441314297,3.720020586721565
18-315,DIMA HASAO,25.846501282815044,17.940917163996698,32.13563762599766,6.721183317681011,0.08718578445535974
18-302,GOALPARA,28.193973675746676,20.24512429784609,35.39337043431553,9.19924348797101,2.3037325313992563
18-313,GOLAGHAT,27.02832097354278,19.837355279470067,35.33434209322075,9.185908776593859,2.236058741813852
18-318,HAILAKANDI,29.19384592042725,20.088925642426002,36.29919080693325,8.912679454492418,12.223712446351927
18-757,HOJAI,27.70623915798941,19.61586154303647,34.62350033139274,7.862956227834392,0.1643703166545806
18-312,JORHAT,27.174022569760282,19.627732300603416,35.69147287975936,7.893411418032521,2.916713562183455
18-321,KAMRUP,27.645917315228896,19.59169175654594,35.082830014336174,8.271500881174967,2.6280822655324654
18-322,KAMRUP METRO,27.72912334252072,19.868454323085114,34.96827367104142,8.398159093664821,1.5230704697986581
18-314,KARBI ANGLONG,26.563741601884562,19.085563679146777,34.273374053041245,7.920703228934372,0.33507127140533816
18-317,KARIMGANJ,29.233310226782024,20.555304616586476,36.560461631080265,9.339768437714289,12.711772665764544
18-300,KOKRAJHAR,27.624229325613705,19.453777676675966,35.33002886290477,8.029168706281439,2.7227369126018526
18-307,LAKHIMPUR,26.821751870594593,19.276999120990983,36.335276346833034,8.29505852915956,3.09085634718032
18-760,MAJULI,27.686702020266797,20.370560557111176,36.534747831477446,9.734791224275,4.667982770997847
18-304,MORIGAON,28.061556411852223,20.511100425670673,35.38485090046078,9.252103786659132,3.0025563560306767
18-305,NAGAON,27.892195332281844,20.389517449454477,35.557449674866355,9.474619104350044,3.0500272628135225
18-323,NALBARI,28.381103967651324,20.13916747677337,36.041761612083434,8.798708134396291,3.7605156037991856
18-311,SIVASAGAR,27.364632210877524,19.78442727766994,36.48196090101987,8.199781212544169,3.7642095914742457
18-306,SONITPUR,27.247171696523438,19.38124116036556,35.34732864454137,8.09955811079017,2.02514193025142
18-758,SOUTH SALMARA MANCACHAR,28.49299769251718,20.594718772033776,35.63416683799345,9.45387144295426,3.7373581011351913
18-816,TAMULPUR,27.55365929736657,19.228452564230597,35.36838556367976,7.5540812377200135,1.492626544440016
18-309,TINSUKIA,27.12678258467715,19.482309080916462,36.87188903237392,8.031083123250266,3.994639287661275
18-326,UDALGURI,26.639602466840312,18.84968527056327,34.40149427787651,6.977912804068803,0.27661813716891775
18-759,WEST KARBI ANGLONG,25.820191652995334,18.03227255797703,32.887610737457265,6.406331011981075,0.04520485236896314
