OBJECT_ID,DISTRICT,TMAX_MEAN_C,TMIN_MEAN_C,TMAX_ABS_C,TMIN_ABS_C,HEATWAVE_DAYS
18-799,BAJALI,28.959122567042932,20.115184782159755,38.641453173644585,9.218104817096478,14.199248120300751
18-324,BAKSA,28.420851824567624,19.34335010340167,38.322658008085476,8.203788915029728,9.872918092630623
18-303,BARPETA,28.99433827472954,20.78177446835144,38.08726511535126,10.72811748375145,14.79082116442253
18-756,BISWANATH,27.925518077008462,20.168203370309552,37.668736281127124,10.338722336224622,7.565472695243688
18-319,BONGAIGAON,28.745715202327336,20.550435462148737,37.46667475757129,10.099887205696312,10.238340302348023
18-316,CACHAR,28.742497535817087,19.866987702020996,36.98802107446766,9.042567240148859,9.955407435223428
18-755,CHARAIDEO,27.579473619820632,19.47813052947101,37.351614601540994,9.073969846693329,7.104085603112842
18-320,CHIRANG,28.14412015234327,19.344394489467987,37.41827839264639,7.968429786972929,7.089655172413796
18-325,DARRANG,28.806448198512264,20.78226814238304,37.916109923984365,10.514623266309359,15.799564744287274
18-308,DHEMAJI,27.542234208359083,19.77325376395318,37.00988205231087,9.15315781332554,8.893530808998186
18-301,DHUBRI,29.048091972304153,20.816679305301683,38.34348710273318,10.586024952515693,21.034513873223556
18-310,DIBRUGARH,27.814231167518994,20.295823648337628,37.5433877517928,10.384409759882756,10.760885229027274
18-315,DIMA HASAO,26.300890606818257,18.25185290498088,33.87789103726506,7.643739060934025,0.6412886449003179
18-302,GOALPARA,28.95801882978894,20.678784334490743,38.52346728824419,10.839197171432431,19.45639483460109
18-313,GOLAGHAT,27.669203519433363,20.174737166420005,36.14440632839244,10.078408898264458,5.0017860686644156
18-318,HAILAKANDI,29.4905501075956,20.386976356513202,37.76965620098196,9.29554016211516,21.032188841201716
18-757,HOJAI,28.305338292181425,19.893202580992753,36.349839249745315,8.768268101844138,5.905487067923615
18-312,JORHAT,27.695471123245067,19.82208917788925,36.26996482343932,9.243540230148014,4.422434815231665
18-321,KAMRUP,28.470174538909543,19.942817009231575,37.7697804317596,9.592778647866332,18.435555076989345
18-322,KAMRUP METRO,28.532988514663238,20.240866364527157,37.71482627919859,9.796062254425687,13.75545302013423
18-314,KARBI ANGLONG,27.127807383065427,19.358064599541702,35.29698035074945,9.231391787476557,2.1093944322204154
18-317,KARIMGANJ,29.44297744792495,20.795234238016146,37.55213470665467,9.927358249536756,17.164314710999424
18-300,KOKRAJHAR,28.424320336321557,19.744389273475797,37.74322350416112,8.636275181311019,13.93124232615247
18-307,LAKHIMPUR,27.395446189965167,19.600663117730686,36.57624519580091,9.04788960465482,6.574611278718962
18-760,MAJULI,28.131021468779224,20.583786347942514,36.94735693455772,10.558049316844428,9.294687724335963
18-304,MORIGAON,28.730206972340945,20.832217327949913,37.409683443140864,10.602845971605953,13.651405995816873
18-305,NAGAON,28.478139115645163,20.719750949591187,36.85483502894482,10.714476404637283,8.511041439476555
18-323,NALBARI,29.0456030982648,20.486322921920674,38.516281877411615,10.15954595951409,17.83480325644505
18-311,SIVASAGAR,27.903877350672726,20.015860294006256,37.18921251584965,9.603297097729563,8.952930728241565
18-306,SONITPUR,27.969776549901745,19.841932684923275,37.944619590097204,9.473428672672988,6.825020275750204
18-758,SOUTH SALMARA MANCACHAR,29.305532355316615,21.152956664712182,39.067645029042424,10.694525930682227,26.25644994840042
18-816,TAMULPUR,28.29453304284562,19.566378684907747,38.46488749753818,9.08148444773622,11.165404543642884
18-309,TINSUKIA,28.01908953899646,19.828662454670088,38.120466700004016,9.728849338016465,11.868526258404504
18-326,UDALGURI,27.477226217422395,19.179887890120092,37.51770824251042,8.691537673647773,6.851429573758992
18-759,WEST KARBI ANGLONG,26.47109115047973,18.428081641107322,34.2515148422161,8.066544265031125,1.436484321355001
