block_lgd,dtname,dtcode11,block_name,block_area,object_id,LST_C
03466,Koraput,398,BANDHUGAON,409,21-398,35.81059984808593
03573,Sundargarh,374,BALISANKARA,692,21-374,38.01712201569218
03480,Malkangiri,399,KALIMELA,1205,21-399,38.37560544997847
03487,Mayurbhanj,376,BADASAHI,352,21-376,34.233913715860055
03298,Baleshwar,377,BAHANAGA,238,21-377,33.514984459666806
03346,Deogarh,373,BARKOTE,943,21-373,39.50200520135404
03276,Anugul,384,ANUGUL,1116,21-384,39.45083140783543
03513,Nabarangpur,397,CHANDAHANDI,241,21-397,38.297683548523274
03394,Jajapur,382,BADCHANA,380,21-382,38.62518173961311
03404,Jharsuguda,371,JHARSUGUDA,433,21-371,39.14414631899277
03434,Kendrapara,379,AUL,226,21-379,35.46316074111508
03536,Puri,387,ASTARANGA,156,21-387,33.51990963404143
03409,Kalahandi,395,BHAWANIPATNA,826,21-395,38.810712191038135
03523,Nayagarh,385,BHAPUR,228,21-385,36.82314368606862
03547,Rayagada,396,BISSAMCUTTACK,746,21-396,37.143788536162084
03310,Bargarh,370,AMBABHONA,645,21-370,38.87411088981836
03322,Bhadrak,378,BASUDEVPUR,500,21-378,36.31682700748359
03329,Boudh,391,BOUDH,916,21-391,40.88892366161778
03357,Gajapati,389,GOSANI,235,21-389,35.55832344560398
03456,Khordha,386,BALIANTA,135,21-386,35.941255522559224
03364,Ganjam,388,ASKA,175,21-388,36.23063055124377
03284,Balangir,393,AGALPUR,323,21-393,41.27721184878281
03386,Jagatsinghapur,380,BALIKUDA,307,21-380,35.26941597140549
03349,Dhenkanal,383,BHUBAN,234,21-383,38.381030916905054
03332,Cuttack,381,ATHAGAD,424,21-381,37.10525277586856
03531,Nuapada,394,BODEN,689,21-394,40.878148506101105
03443,Kendujhar,375,ANANDAPUR,568,21-375,37.08239555315893
03567,Sonepur,392,BINIKA,335,21-392,38.82618591581418
03422,Kandhamal,390,BALIGUDA,852,21-390,36.87482389210016
03558,Sambalpur,372,BAMRA,657,21-372,39.05548122652989
