block_lgd,dtname,dtcode11,block_name,block_area,object_id,district,April_2026_HI
03466,Koraput,398,BANDHUGAON,409,21-398,Koraput,29.175024835419944
03573,Sundargarh,374,BALISANKARA,692,21-374,Sundargarh,31.794455579701488
03480,Malkangiri,399,KALIMELA,1205,21-399,Malkangiri,32.8480684883464
03487,Mayurbhanj,376,BADASAHI,352,21-376,Mayurbhanj,32.2131441975048
03298,Baleshwar,377,BAHANAGA,238,21-377,Baleshwar,35.52951719817087
03346,Deogarh,373,BARKOTE,943,21-373,Deogarh,33.11793212766092
03276,Anugul,384,ANUGUL,1116,21-384,Anugul,33.955525940018674
03513,Nabarangpur,397,CHANDAHANDI,241,21-397,Nabarangpur,30.976759313863585
03394,Jajapur,382,BADCHANA,380,21-382,Jajapur,35.31626125464711
03404,Jharsuguda,371,JHARSUGUDA,433,21-371,Jharsuguda,32.83734055044636
03434,Kendrapara,379,AUL,226,21-379,Kendrapara,34.9726688849687
03536,Puri,387,ASTARANGA,156,21-387,Puri,34.11595037824893
03409,Kalahandi,395,BHAWANIPATNA,826,21-395,Kalahandi,32.3362582069184
03523,Nayagarh,385,BHAPUR,228,21-385,Nayagarh,34.84454044228093
03547,Rayagada,396,BISSAMCUTTACK,746,21-396,Rayagada,31.21859220664323
03310,Bargarh,370,AMBABHONA,645,21-370,Bargarh,33.657697634810525
03322,Bhadrak,378,BASUDEVPUR,500,21-378,Bhadrak,36.04310520415533
03329,Boudh,391,BOUDH,916,21-391,Boudh,33.87831883543435
03357,Gajapati,389,GOSANI,235,21-389,Gajapati,31.07538785370981
03456,Khordha,386,BALIANTA,135,21-386,Khordha,34.56983398225165
03364,Ganjam,388,ASKA,175,21-388,Ganjam,34.80511690016956
03284,Balangir,393,AGALPUR,323,21-393,Balangir,33.6292627608698
03386,Jagatsinghapur,380,BALIKUDA,307,21-380,Jagatsinghapur,34.359655887741134
03349,Dhenkanal,383,BHUBAN,234,21-383,Dhenkanal,34.91106621968231
03332,Cuttack,381,ATHAGAD,424,21-381,Cuttack,34.84632077592322
03531,Nuapada,394,BODEN,689,21-394,Nuapada,32.96340968694579
03443,Kendujhar,375,ANANDAPUR,568,21-375,Kendujhar,31.538453441300565
03567,Sonepur,392,BINIKA,335,21-392,Sonepur,33.978800743619296
03422,Kandhamal,390,BALIGUDA,852,21-390,Kandhamal,30.67066149023116
03558,Sambalpur,372,BAMRA,657,21-372,Sambalpur,32.76579058950095
