,Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of Contract,Product Category,Fiscal Year,Is Multi Currency Allowed For BOQ,Two Stage Tender (Y/N),Independent External Monitor,Published Date,PreBid Meeting Date,Tender Validity in Days,NDA Tender (Y/N),Preferential Bidding allowed,Payment Mode,Bid Opening Date,Organisation Chain,Department,location,Pincode,No of Bids Received,Date of Award Contract,Awarded Price (In Rs),Bidder Name,Value Of Tender (In Rs),Tender Stage,is_flood_tender,positive_keywords_dict,negative_keywords_dict,Season,Scheme,Response Type,Flood Response - Subhead
1,2016_DoWR_918_1,Re-GED/NIT/2015-16/20  Dated 5.12.2015,Kollong-pk24,Anti-erosion measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,27-04-2016 18:00,,180,No,No,Offline,11-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Kollong,782403,0.0,,,,37307,To be Opened,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 1, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 0, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,,Preparedness Measures,"{'anti erosion': 1, 'erosion': 1}"
4,2016_DoWR_921_1,Re-SILWRD/E-Tender/SDRF/2016/1,Roypur-pk1,Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,30-04-2016 18:00,,180,No,No,Offline,14-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Silchar,788001,1.0,,,,14520000,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Pre-Monsoon,SDRF,Immediate Measures,"{'sdrf': 1, 'immediate': 1}"
6,2016_DoWR_923_1,Nal-RGR.64/2016/40,Kaplabori-Nalbari-SDRF,Nalbari-Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,09-05-2016 18:00,,180,No,No,Offline,23-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Mukalmua,781126,3.0,,,,26142000,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,SDRF,Immediate Measures,"{'sdrf': 1, 'immediate': 1}"
7,2016_DoWR_924_1,Nal-RGR.64/2016/36,Peradhara-Nalbari-SDRF,Nalbari-Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,09-05-2016 18:00,,180,No,No,Offline,23-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Mukalmua,781126,4.0,,,,48746000,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,SDRF,Immediate Measures,"{'sdrf': 1, 'immediate': 1}"
8,2016_DoWR_925_1,Morigaon-RGR.66/2016/50,Bhuragaon-Morigaon-SDRF,Morigaon-Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,09-05-2016 18:00,,180,No,No,Offline,23-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Morigaon,782105,4.0,,,,39663382,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,SDRF,Immediate Measures,"{'sdrf': 1, 'immediate': 1}"
9,2016_DoWR_926_1,Dib-West/01 of 2016-17,Bamunibeel area-Dib-SDRF,Dibrugarh-Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,09-05-2016 18:00,,180,No,No,Offline,23-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Bamunibeel,786610,5.0,,,,34860092,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,SDRF,Immediate Measures,"{'sdrf': 1, 'immediate': 1}"
10,2016_DoWR_927_1,Tez- RGR.1104/2015/42,Tez-Solengi,Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,10-05-2016 17:00,,180,No,No,Offline,24-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Tezpur,784001,6.0,,,,32971289,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,,Immediate Measures,{'immediate': 1}
12,2016_DoWR_929_1,Re-JWRD/E-Tender/SDRF/2015/2,Teok-D/S Pk5,Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,10-05-2016 17:00,,180,No,No,Offline,24-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Jorhat,785001,5.0,,,,463762,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 1, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Monsoon,SDRF,Immediate Measures,"{'sdrf': 1, 'immediate': 1}"
13,2016_DoWR_930_1,Re- JWR/RGR.878/2015/53,Teok-u/s-pk3,Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,11-05-2016 18:00,,180,No,No,Offline,25-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Jorhat,785001,4.0,,,,343510,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Post-Monsoon,,Immediate Measures,{'immediate': 1}
14,2016_DoWR_931_1,Re-NIT/2/DH/WR/2015-16,Kumatiya-Pk7,Immediate measures,Works,Open Tender,Works,Civil Works,2016-2017,No,No,,12-05-2016 17:00,,180,No,No,Offline,26-05-2016 14:05,Department of Water Resources||Chief Engineer - DoWR,Department of Water Resources,Dhemaji,787057,1.0,,,,497286,Financial Bid Opening,True,"{'Flood': 0, 'Embankment': 0, 'embkt': 0, 'Relief': 0, 'Erosion': 0, 'SDRF': 0, 'Inundation': 0, 'Hydrology': 0, 'Silt': 0, 'Siltation': 0, 'Bund': 0, 'Trench': 0, 'Breach': 0, 'Culvert': 0, 'Sluice': 0, 'Dyke': 0, 'Storm water drain': 0, 'Emergency': 0, 'Immediate': 1, 'IM': 0, 'AE': 0, 'A E': 0, 'AAPDA MITRA': 0}","{'Floodlight': 0, 'Flood Light': 0, 'GAS': 0, 'FIFA': 0, 'pipe': 0, 'pipes': 0, 'covid': 0}",Post-Monsoon,,Immediate Measures,{'immediate': 1}
