district,heat-days-score,z_score,heat_risk_class
BAKSA,16.2475,-1.8915743560223748,1
BARPETA,18.56325,-1.0697367130898103,1
BISWANATH,28.38925,2.417417202253113,5
BONGAIGAON,20.883499999999998,-0.24630206297028964,3
CACHAR,18.869999999999997,-0.9608740565122169,2
CHARAIDEO,21.508499999999998,-0.02449550922620998,3
CHIRANG,17.779249999999998,-1.3479708541063846,1
DARRANG,17.61875,-1.404930777107864,1
DHEMAJI,21.0785,-0.1770984182021367,3
DHUBRI,21.4465,-0.046498719357621836,3
DIBRUGARH,23.155749999999998,0.5600978438216863,4
DIMA HASAO,17.77075,-1.3509874232373036,1
GOALPARA,23.375,0.6379075828751103,4
GOLAGHAT,24.06875,0.8841128575310392,4
HAILAKANDI,18.8935,-0.9525341300914388,2
HOJAI,23.7165,0.7591026838408754,4
JORHAT,22.9025,0.470221828244586,3
KAMRUP,22.6845,0.392855702298651,3
KAMRUP METRO,23.133000000000003,0.5520240852654036,4
KARBI ANGLONG,23.46525,0.6699364492357558,4
KARIMGANJ,18.37975,-1.1348591172690716,1
KOKRAJHAR,18.615499999999997,-1.0511936851968062,1
LAKHIMPUR,25.10725,1.2526666272322018,5
MAJULI,22.70175,0.39897756318198785,3
MORIGAON,22.536250000000003,0.3402431877505563,3
NAGAON,23.808999999999997,0.7919300537949984,4
NALBARI,18.599,-1.057049378215649,1
SIVASAGAR,22.58125,0.35621325962012934,3
SONITPUR,26.63275,1.7940520636107518,5
SOUTH SALMARA MANCACHAR,20.18325,-0.49481412578515543,3
TINSUKIA,23.25725,0.5961192281497254,4
UDALGURI,20.3845,-0.4233924154795624,3
WEST KARBI ANGLONG,23.72025,0.7604335231633399,4
