district,sum-population,total-tender-awarded-value,sum-aged-population,sum-young-population,nosanitation-hhds-pct,workers-affected-pct,pct-ncd,health-centres-count,avg-electricity,piped-hhds-pct,heat-days-score,dtname,object-id,timeperiod,population-z,exposure,govtresponse-z,government-response,efficiency,vulnerability-raw,vulnerability,heat-zscore,heat-hazard,topsis-score,heat-risk-score
BAJALI,328424,0.0,13830,24188,9.753,78.24,4.012,70.0,6.987,6.032,7.416,BAJALI,18-799-00124,2026_Apr-Jul,-1.403,2,-0.338,3,1.0,0.0,1,-1.412,2,0.379,2
BAKSA,742071,3863250.0,29354,37588,15.46,81.84,5.68,109.0,8.984,2.802,10.966,BAKSA,18-324-00260,2026_Apr-Jul,-0.604,2,-0.321,3,1.0,0.0,1,-0.249,3,0.492,3
BARPETA,1674245,119682175.89,78133,142320,15.042,78.24,4.012,205.0,8.022,2.252,10.524,BARPETA,18-303-00120,2026_Apr-Jul,1.196,4,0.179,3,1.0,0.0,1,-0.394,3,0.508,3
BISWANATH,674215,8144037.2,35791,55500,28.46,55.39,5.398,100.0,8.896,4.204,14.617,BISWANATH,18-756-00249,2026_Apr-Jul,-0.735,2,-0.302,3,1.0,0.0,1,0.948,4,0.605,4
BONGAIGAON,838488,0.0,39854,70783,12.862,59.85,4.362,88.0,9.118,2.038,9.674,BONGAIGAON,18-319-00198,2026_Apr-Jul,-0.418,3,-0.338,3,1.0,0.0,1,-0.673,2,0.386,2
CACHAR,2199326,0.0,123889,192034,15.871,69.81,4.283,176.0,9.771,8.534,12.206,CACHAR,18-316-00184,2026_Apr-Jul,2.21,5,-0.338,3,1.0,0.0,1,0.157,3,0.515,3
CHARAIDEO,501185,6555136.5,18827,22593,19.713,97.38,4.332,82.0,8.624,3.803,15.366,CHARAIDEO,18-755-00248,2026_Apr-Jul,-1.069,2,-0.309,3,1.0,0.0,1,1.193,4,0.605,4
CHIRANG,626894,0.0,36063,63204,25.348,85.96,4.582,68.0,8.241,1.028,7.815,CHIRANG,18-320-00203,2026_Apr-Jul,-0.827,2,-0.338,3,0.856,0.144,3,-1.282,2,0.431,3
DARRANG,1214423,128498000.0,63350,116851,12.999,85.43,3.61,129.0,9.188,5.102,7.382,DARRANG,18-325-00237,2026_Apr-Jul,0.308,3,0.217,3,1.0,0.0,1,-1.423,2,0.386,2
DHEMAJI,727133,4999500.0,37264,65257,17.394,77.87,3.948,73.0,5.871,1.882,14.674,DHEMAJI,18-308-00148,2026_Apr-Jul,-0.633,2,-0.316,3,0.923,0.077,2,0.966,4,0.651,4
DHUBRI,1464009,1288364951.89,49814,114274,25.006,78.55,4.425,151.0,7.528,1.185,9.994,DHUBRI,18-301-00109,2026_Apr-Jul,0.79,4,5.219,1,0.939,0.061,2,-0.567,2,0.256,2
DIBRUGARH,1519886,0.0,73544,98594,12.796,81.66,6.027,169.0,10.219,4.188,17.412,DIBRUGARH,18-310-00158,2026_Apr-Jul,0.898,4,-0.338,3,0.878,0.122,3,1.863,5,0.818,5
DIMA HASAO,299928,0.0,12477,26567,23.25,89.42,3.17,4.0,8.147,6.363,9.872,DIMA HASAO,18-315-00180,2026_Apr-Jul,-1.458,2,-0.338,3,1.0,0.0,1,-0.607,2,0.379,2
GOALPARA,1114880,0.0,53206,112957,25.416,87.33,3.388,154.0,8.904,3.555,11.125,GOALPARA,18-302-00115,2026_Apr-Jul,0.116,3,-0.338,3,1.0,0.0,1,-0.197,3,0.5,3
GOLAGHAT,1336178,0.0,80287,107939,15.06,73.24,6.09,153.0,8.803,7.176,15.022,GOLAGHAT,18-313-00172,2026_Apr-Jul,0.543,4,-0.338,3,0.871,0.129,3,1.08,4,0.727,4
HAILAKANDI,805373,50904688.78,33236,64577,19.262,79.86,6.115,87.0,9.485,4.01,12.634,HAILAKANDI,18-318-00194,2026_Apr-Jul,-0.482,3,-0.118,3,0.914,0.086,2,0.298,3,0.533,3
HOJAI,1173126,0.0,54086,94983,27.657,75.41,7.42,91.0,8.001,5.275,12.442,HOJAI,18-757-00252,2026_Apr-Jul,0.228,3,-0.338,3,0.744,0.256,4,0.235,3,0.604,4
