revenue_ci,revenue_cr,HQ,are_new,dtname,object_id,dtcode11,women_sugar,men_sugar,women_bp,men_bp,pct_ncd,timeperiod
Gossaigaon (Pt),Gossaigaon (Pt),,1069,KOKRAJHAR,18-300-00101,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Bhowraguri,Bhawraguri,,159,KOKRAJHAR,18-300-00102,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Dotoma,Dotoma,,304,KOKRAJHAR,18-300-00103,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Kokrajhar (Pt),Kokrajhar (Pt),y,990,KOKRAJHAR,18-300-00104,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Bagribari (Pt),Bagribari (Pt),,281,KOKRAJHAR,18-300-00105,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Golokganj (Pt),Golokganj (Pt),,103,KOKRAJHAR,18-300-00106,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Dhubri (Pt),Dhubri (Pt),,124,KOKRAJHAR,18-300-00107,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Chapar (Pt),Chapar (Pt),,101,KOKRAJHAR,18-300-00108,18-300,2.86,4.06,5.34,4.78,4.26,2025_10
Bagribari (Pt),Bagribari (Pt),,213,DHUBRI,18-301-00109,18-301,3.07,4.35,5.51,4.77,4.425,2025_10
Agamoni,Agamoni,,221,DHUBRI,18-301-00110,18-301,3.07,4.35,5.51,4.77,4.425,2025_10
Golokganj (Pt),Golakganj (Pt),,199,DHUBRI,18-301-00111,18-301,3.07,4.35,5.51,4.77,4.425,2025_10
Dhubri (Pt),Dhubri (Pt),y,357,DHUBRI,18-301-00112,18-301,3.07,4.35,5.51,4.77,4.425,2025_10
Bilasipara (Pt),Bilasipara (Pt),,295,DHUBRI,18-301-00113,18-301,3.07,4.35,5.51,4.77,4.425,2025_10
