object_id,mean-heatday,timeperiod
18-300-00101,0.1764705882352941,2023_01
18-300-00102,0.0,2023_01
18-300-00103,0.0,2023_01
18-300-00104,0.2307692307692307,2023_01
18-300-00105,0.0,2023_01
18-300-00106,,2023_01
18-300-00107,0.0,2023_01
18-300-00108,0.0,2023_01
18-301-00109,0.0,2023_01
18-301-00110,0.0,2023_01
18-301-00111,0.0,2023_01
18-301-00112,0.0,2023_01
18-301-00113,0.0,2023_01
18-301-00114,0.0,2023_01
18-302-00115,0.0,2023_01
18-302-00116,0.0,2023_01
18-302-00117,0.0,2023_01
18-302-00118,0.0,2023_01
18-302-00119,0.0,2023_01
18-303-00120,0.0,2023_01
18-303-00121,0.0,2023_01
18-303-00122,0.0,2023_01
18-303-00123,0.0,2023_01
18-799-00124,0.0,2023_01
18-799-00125,,2023_01
18-304-00126,0.0,2023_01
18-304-00127,0.0,2023_01
18-304-00128,0.0,2023_01
18-304-00129,0.0,2023_01
18-305-00130,0.2,2023_01
18-305-00131,0.0,2023_01
18-305-00132,0.0,2023_01
18-305-00133,0.0,2023_01
18-305-00134,0.0,2023_01
18-305-00135,0.0,2023_01
18-305-00136,0.0,2023_01
18-306-00137,0.4705882352941176,2023_01
18-306-00138,0.7142857142857143,2023_01
18-306-00139,0.0,2023_01
18-306-00140,0.2222222222222222,2023_01
18-307-00141,0.4,2023_01
18-307-00142,1.0,2023_01
18-307-00143,1.0,2023_01
18-307-00144,1.0,2023_01
18-307-00145,1.0,2023_01
18-307-00146,1.7142857142857142,2023_01
18-307-00147,2.5,2023_01
18-308-00148,,2023_01
18-308-00149,9.0,2023_01
18-308-00150,2.333333333333333,2023_01
18-308-00151,2.083333333333333,2023_01
18-308-00152,1.0909090909090908,2023_01
18-308-00153,1.8,2023_01
18-309-00154,0.9166666666666666,2023_01
18-309-00155,0.9285714285714286,2023_01
18-309-00156,1.0,2023_01
18-309-00157,1.411764705882353,2023_01
18-310-00158,1.0909090909090908,2023_01
18-310-00159,1.0,2023_01
18-310-00160,1.125,2023_01
18-310-00161,1.0,2023_01
18-310-00162,1.6,2023_01
18-310-00163,1.0,2023_01
18-310-00164,1.0,2023_01
18-311-00165,1.1666666666666667,2023_01
18-311-00166,1.0,2023_01
18-311-00167,0.2,2023_01
18-311-00168,1.0,2023_01
18-312-00169,1.0,2023_01
18-312-00170,0.0,2023_01
18-312-00171,0.625,2023_01
18-313-00172,1.2727272727272727,2023_01
18-313-00173,1.0,2023_01
18-313-00174,0.8,2023_01
18-313-00175,0.3,2023_01
18-313-00176,1.25,2023_01
18-313-00177,0.2727272727272727,2023_01
18-314-00178,0.088235294117647,2023_01
18-314-00179,2.0,2023_01
18-315-00180,0.7391304347826086,2023_01
18-315-00181,2.2,2023_01
18-315-00182,4.833333333333333,2023_01
18-315-00183,1.0769230769230769,2023_01
18-316-00184,0.3,2023_01
18-316-00185,0.0,2023_01
18-316-00186,0.0,2023_01
18-316-00187,0.0,2023_01
18-316-00188,0.0,2023_01
18-317-00189,0.0,2023_01
18-317-00190,0.0,2023_01
18-317-00191,0.0,2023_01
18-317-00192,0.0,2023_01
18-317-00193,0.0,2023_01
18-318-00194,0.0,2023_01
18-318-00195,0.0,2023_01
18-318-00196,0.0,2023_01
18-318-00197,0.0,2023_01
18-319-00198,0.0,2023_01
18-319-00199,0.0,2023_01
18-319-00200,0.0,2023_01
18-319-00201,0.0,2023_01
18-319-00202,0.0,2023_01
18-320-00203,0.0,2023_01
18-320-00204,,2023_01
18-320-00205,2.6,2023_01
18-320-00206,0.0,2023_01
18-320-00207,0.0,2023_01
18-321-00208,0.0,2023_01
18-321-00209,0.0,2023_01
18-321-00210,0.0,2023_01
18-321-00211,0.0,2023_01
18-321-00212,0.0,2023_01
18-321-00213,0.0,2023_01
18-321-00214,0.0,2023_01
18-321-00215,0.0,2023_01
18-321-00216,0.0,2023_01
18-321-00217,0.0,2023_01
18-321-00218,0.0,2023_01
18-322-00219,0.0,2023_01
18-322-00220,0.0,2023_01
18-322-00221,0.0,2023_01
18-323-00222,0.0,2023_01
18-323-00223,0.0,2023_01
18-323-00224,0.0,2023_01
18-323-00225,0.0,2023_01
18-323-00226,0.0,2023_01
18-323-00227,0.0,2023_01
18-323-00228,0.0,2023_01
18-324-00260,1.25,2023_01
18-323-00230,,2023_01
18-324-00231,0.0,2023_01
18-324-00232,0.0,2023_01
18-324-00233,0.0,2023_01
18-324-00234,0.0,2023_01
18-816-00235,,2023_01
18-816-00236,,2023_01
18-325-00237,,2023_01
18-325-00238,0.0,2023_01
18-325-00239,0.0,2023_01
18-326-00240,0.0,2023_01
18-326-00241,0.0,2023_01
18-326-00242,,2023_01
18-326-00243,,2023_01
18-326-00244,0.0,2023_01
18-326-00245,1.25,2023_01
18-326-00246,0.75,2023_01
18-326-00247,0.3333333333333333,2023_01
18-755-00248,1.0,2023_01
18-756-00249,0.6153846153846154,2023_01
18-756-00250,1.0,2023_01
18-756-00251,1.0,2023_01
18-757-00252,0.0,2023_01
18-757-00253,0.0,2023_01
18-757-00254,0.0,2023_01
18-759-00255,0.8333333333333334,2023_01
18-758-00256,0.0,2023_01
18-758-00257,0.0,2023_01
