object_id,Greening & Urban Forestry_tenders_awarded_value,timeperiod
18-310-00158,2933297.2,2023_05
18-316-00185,6500000.0,2025_12
18-322-00219,85348900.0,2025_12
18-326-00247,3181348.8,2025_12
18-307-00145,14973348.0,2020_12
18-316-00187,7144127.0,2024_03
18-322-00219,32571000.5,2024_03
18-304-00271,5642872.199999999,2022_07
18-317-00192,4184701.2,2022_07
18-760-00281,11879114.45,2021_06
18-303-00122,61289994.0,2021_07
18-316-00185,9000000.0,2025_07
18-318-00195,18875700.0,2025_07
18-304-00271,8665516.79,2022_08
18-305-00136,6555959.29,2022_08
18-306-00138,7244137.8,2022_08
18-321-00211,10553510.7,2022_08
18-321-00216,4138009.2,2022_08
18-322-00219,3193165.8,2022_08
18-322-00220,5086285.2,2022_08
18-322-00221,697801.5,2022_08
18-308-00150,5212620.0,2020_10
18-316-00185,75679640.0,2020_10
18-755-00279,6555136.5,2026_05
18-322-00219,28000000.55,2023_06
18-300-00104,7499163.65,2024_11
18-309-00156,3253476.0,2024_11
18-317-00189,23645162.62,2022_02
18-312-00276,326397426.41,2026_02
18-757-00254,8410307.4,2026_02
18-313-00175,10572578.5,2021_08
18-323-00226,26068062.8,2021_08
18-322-00219,307945881.0,2025_09
18-302-00115,14250000.0,2021_03
18-758-00257,6820924.0,2021_03
18-303-00122,8819999.76,2018_01
18-300-00103,3800000.0,2025_05
18-322-00219,8125300.0,2025_05
18-322-00219,28247819.65,2021_02
18-309-00157,3876840.0,2023_10
18-300-00104,253853000.0,2025_03
18-755-00278,4802400.0,2025_03
18-757-00254,17401995.9,2025_10
18-306-00138,4423728.0,2019_10
18-320-00206,4944795.42,2022_12
18-322-00219,660023.1,2024_05
18-302-00115,4142367.9,2026_01
18-310-00159,519279068.29,2026_01
18-312-00276,635878394.39,2026_01
18-313-00175,672222563.8199999,2026_01
18-760-00281,163535194.6,2026_01
18-316-00185,0.0,2023_11
18-300-00104,7205000.0,2026_03
18-305-00134,3309206.0,2026_03
18-310-00159,246368230.59,2026_03
18-312-00276,200843424.54,2026_03
18-313-00175,340026066.4,2026_03
18-320-00206,2490000.0,2026_03
18-316-00185,31350240.0,2025_11
18-326-00246,4725423.0,2024_10
18-324-00262,2898751.0,2019_03
