district,mean_heatdays,zscore,heat_risk_class
Anugul,33.021427,0.6707891,4
Balangir,29.995401,-0.2645484,3
Baleshwar,31.372,0.16095497,3
Bargarh,31.402597,0.17041264,3
Bhadrak,27.205713,-1.1268345,2
Boudh,32.621056,0.5470352,4
Cuttack,32.51786,0.51513785,4
Deogarh,33.65263,0.8658924,4
Dhenkanal,31.236668,0.11912412,3
Gajapati,26.090908,-1.4714181,2
Ganjam,32.040367,0.36754578,3
Jagatsinghapur,35.4,1.406001,4
Jajapur,31.170588,0.09869892,3
Jharsuguda,35.365517,1.3953418,4
Kalahandi,27.598114,-1.0055443,2
Kandhamal,26.267923,-1.4167032,2
Kendrapara,29.211765,-0.50676847,2
Kendujhar,32.967274,0.65405047,4
Khordha,30.729412,-0.03766739,3
Koraput,26.760715,-1.2643822,2
Malkangiri,31.56962,0.22203897,3
Mayurbhanj,34.144928,1.0180607,4
Nabarangpur,22.608334,-2.547874,1
Nayagarh,31.666666,0.25203562,3
Nuapada,26.507406,-1.3426796,2
Puri,30.506384,-0.10660488,3
Rayagada,27.332632,-1.0876042,2
Sambalpur,34.686047,1.1853192,4
Sonepur,34.451614,1.1128567,4
Sundargarh,35.436638,1.4173251,4
